# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_xDpthg0Q","[""file:///C:\\Annotation\\ACM\\ACM0000.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_8MIDm8B7","[""file:///C:\\Annotation\\ACM\\ACM0000.mp4""]",2.01,2.91,"{""BalletSteps"":""15""}"
"1_nyG5QguM","[""file:///C:\\Annotation\\ACM\\ACM0000.mp4""]",11.686,12.626,"{""BalletSteps"":""15""}"
"1_lt5XwIUH","[""file:///C:\\Annotation\\ACM\\ACM0000.mp4""]",20.673,21.193,"{""BalletSteps"":""9""}"
"1_gpXgXXpc","[""file:///C:\\Annotation\\ACM\\ACM0000.mp4""]",21.193,21.913,"{""BalletSteps"":""9""}"
"1_UqgMpe6z","[""file:///C:\\Annotation\\ACM\\ACM0000.mp4""]",21.913,22.593,"{""BalletSteps"":""9""}"
"1_j2NuGvLV","[""file:///C:\\Annotation\\ACM\\ACM0000.mp4""]",22.593,23.273,"{""BalletSteps"":""9""}"
"1_2FQ5TdjG","[""file:///C:\\Annotation\\ACM\\ACM0000.mp4""]",23.273,23.933,"{""BalletSteps"":""9""}"
"1_JeuyynhH","[""file:///C:\\Annotation\\ACM\\ACM0000.mp4""]",23.933,24.573,"{""BalletSteps"":""9""}"
"1_kiHThgwO","[""file:///C:\\Annotation\\ACM\\ACM0000.mp4""]",24.573,25.453,"{""BalletSteps"":""9""}"
"1_ezyvyj2v","[""file:///C:\\Annotation\\ACM\\ACM0000.mp4""]",25.453,26.253,"{""BalletSteps"":""9""}"
"1_SY2t6s4m","[""file:///C:\\Annotation\\ACM\\ACM0000.mp4""]",26.253,27.053,"{""BalletSteps"":""9""}"
"1_50XMI0j3","[""file:///C:\\Annotation\\ACM\\ACM0000.mp4""]",27.053,27.633,"{""BalletSteps"":""9""}"
"1_J4n2M8Cy","[""file:///C:\\Annotation\\ACM\\ACM0000.mp4""]",27.633,28.153,"{""BalletSteps"":""9""}"
"1_DYXVeX4F","[""file:///C:\\Annotation\\ACM\\ACM0000.mp4""]",37.221,37.881,"{""BalletSteps"":""9""}"
"1_OW7vgItH","[""file:///C:\\Annotation\\ACM\\ACM0000.mp4""]",38.283,39.243,"{""BalletSteps"":""14""}"
"1_2BOiJc9Q","[""file:///C:\\Annotation\\ACM\\ACM0000.mp4""]",42.731,43.191,"{""BalletSteps"":""9""}"
"1_vFVmJjtK","[""file:///C:\\Annotation\\ACM\\ACM0000.mp4""]",43.604,44.584,"{""BalletSteps"":""14""}"
"1_IQXR6HTO","[""file:///C:\\Annotation\\ACM\\ACM0000.mp4""]",47.671,48.131,"{""BalletSteps"":""9""}"
"1_Dk4CEDQU","[""file:///C:\\Annotation\\ACM\\ACM0000.mp4""]",48.535,49.435,"{""BalletSteps"":""14""}"
"1_sYYYP9N4","[""file:///C:\\Annotation\\ACM\\ACM0000.mp4""]",54.344,54.844,"{""BalletSteps"":""7""}"
"1_zCLjAe5o","[""file:///C:\\Annotation\\ACM\\ACM0000.mp4""]",55.666,56.546,"{""BalletSteps"":""14""}"
"2_woXnbjTR","[""file:///C:\\Annotation\\ACM\\ACM0001.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"2_XPeBlVUI","[""file:///C:\\Annotation\\ACM\\ACM0001.mp4""]",2.58,3.56,"{""BalletSteps"":""15""}"
"2_ekrHdnrK","[""file:///C:\\Annotation\\ACM\\ACM0001.mp4""]",11.486,12.366,"{""BalletSteps"":""15""}"
"2_F89SeZuz","[""file:///C:\\Annotation\\ACM\\ACM0001.mp4""]",18.348,18.848,"{""BalletSteps"":""9""}"
"2_MsxqFLXF","[""file:///C:\\Annotation\\ACM\\ACM0001.mp4""]",18.848,19.348,"{""BalletSteps"":""9""}"
"2_QQCpBgz5","[""file:///C:\\Annotation\\ACM\\ACM0001.mp4""]",19.348,19.848,"{""BalletSteps"":""9""}"
"2_mnKxnGTe","[""file:///C:\\Annotation\\ACM\\ACM0001.mp4""]",19.848,20.388,"{""BalletSteps"":""9""}"
"2_Zf9AX8C3","[""file:///C:\\Annotation\\ACM\\ACM0001.mp4""]",20.388,20.948,"{""BalletSteps"":""9""}"
"2_aWXWpI8L","[""file:///C:\\Annotation\\ACM\\ACM0001.mp4""]",20.948,21.828,"{""BalletSteps"":""9""}"
"2_9HDAXneX","[""file:///C:\\Annotation\\ACM\\ACM0001.mp4""]",26.54,27.38,"{""BalletSteps"":""14""}"
"2_0z80MXJK","[""file:///C:\\Annotation\\ACM\\ACM0001.mp4""]",31.644,32.424,"{""BalletSteps"":""14""}"
"2_QgsVm4eN","[""file:///C:\\Annotation\\ACM\\ACM0001.mp4""]",41.596,42.116,"{""BalletSteps"":""9""}"
"2_19ZDp9bm","[""file:///C:\\Annotation\\ACM\\ACM0001.mp4""]",42.116,42.636,"{""BalletSteps"":""9""}"
"2_H6C0XYd3","[""file:///C:\\Annotation\\ACM\\ACM0001.mp4""]",42.636,43.196,"{""BalletSteps"":""9""}"
"2_vvHBDKge","[""file:///C:\\Annotation\\ACM\\ACM0001.mp4""]",43.196,43.696,"{""BalletSteps"":""9""}"
"2_PXxWisdN","[""file:///C:\\Annotation\\ACM\\ACM0001.mp4""]",43.892,44.672,"{""BalletSteps"":""14""}"
"3_IAlq4OWN","[""file:///C:\\Annotation\\ACM\\ACM0002.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"3_84bWS4fe","[""file:///C:\\Annotation\\ACM\\ACM0002.mp4""]",2.176,3.036,"{""BalletSteps"":""15""}"
"3_S0ZsPjRu","[""file:///C:\\Annotation\\ACM\\ACM0002.mp4""]",6.325,7.025,"{""BalletSteps"":""14""}"
"3_Glu9N8lE","[""file:///C:\\Annotation\\ACM\\ACM0002.mp4""]",10.665,11.465,"{""BalletSteps"":""15""}"
"3_RmSccvIs","[""file:///C:\\Annotation\\ACM\\ACM0002.mp4""]",18.029,18.569,"{""BalletSteps"":""9""}"
"3_obxVSUXO","[""file:///C:\\Annotation\\ACM\\ACM0002.mp4""]",18.569,19.169,"{""BalletSteps"":""9""}"
"3_F7j1OKwJ","[""file:///C:\\Annotation\\ACM\\ACM0002.mp4""]",19.169,19.889,"{""BalletSteps"":""9""}"
"3_3iCDsCXw","[""file:///C:\\Annotation\\ACM\\ACM0002.mp4""]",19.889,20.629,"{""BalletSteps"":""9""}"
"3_p67jAjcd","[""file:///C:\\Annotation\\ACM\\ACM0002.mp4""]",20.629,21.209,"{""BalletSteps"":""9""}"
"3_Twdzq2Oc","[""file:///C:\\Annotation\\ACM\\ACM0002.mp4""]",21.209,21.809,"{""BalletSteps"":""9""}"
"3_XZLDse02","[""file:///C:\\Annotation\\ACM\\ACM0002.mp4""]",21.809,22.429,"{""BalletSteps"":""9""}"
"3_w1XujKSo","[""file:///C:\\Annotation\\ACM\\ACM0002.mp4""]",22.429,23.109,"{""BalletSteps"":""9""}"
"3_nVtbtWOd","[""file:///C:\\Annotation\\ACM\\ACM0002.mp4""]",23.109,24.109,"{""BalletSteps"":""9""}"
"3_f8pEVu77","[""file:///C:\\Annotation\\ACM\\ACM0002.mp4""]",25.484,26.024,"{""BalletSteps"":""8""}"
"3_XlckBSZH","[""file:///C:\\Annotation\\ACM\\ACM0002.mp4""]",27.861,28.361,"{""BalletSteps"":""9""}"
"3_399Yfe95","[""file:///C:\\Annotation\\ACM\\ACM0002.mp4""]",28.361,28.861,"{""BalletSteps"":""9""}"
"3_qyP6VHyG","[""file:///C:\\Annotation\\ACM\\ACM0002.mp4""]",28.861,29.361,"{""BalletSteps"":""9""}"
"3_ZorzIlsy","[""file:///C:\\Annotation\\ACM\\ACM0002.mp4""]",29.361,29.881,"{""BalletSteps"":""9""}"
"3_VzxPaSlQ","[""file:///C:\\Annotation\\ACM\\ACM0002.mp4""]",29.881,30.441,"{""BalletSteps"":""9""}"
"3_RsRPw9rL","[""file:///C:\\Annotation\\ACM\\ACM0002.mp4""]",30.441,31.401,"{""BalletSteps"":""9""}"
"3_jt0xKaoc","[""file:///C:\\Annotation\\ACM\\ACM0002.mp4""]",35.224,36.124,"{""BalletSteps"":""14""}"
"3_LQu2nVoi","[""file:///C:\\Annotation\\ACM\\ACM0002.mp4""]",39.38,39.72,"{""BalletSteps"":""9""}"
