# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_XY36qeVA","[""file:///C:\\Annotation\\ALB\\ALB0000.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_XEO2oiZ8","[""file:///C:\\Annotation\\ALB\\ALB0000.mp4""]",1.274,1.974,"{""BalletSteps"":""4""}"
"1_gLozoIgI","[""file:///C:\\Annotation\\ALB\\ALB0000.mp4""]",4.782,5.402,"{""BalletSteps"":""4""}"
"1_7u5EWJxi","[""file:///C:\\Annotation\\ALB\\ALB0000.mp4""]",8.556,8.896,"{""BalletSteps"":""0""}"
"1_3HtHYQO7","[""file:///C:\\Annotation\\ALB\\ALB0000.mp4""]",16.879,17.219,"{""BalletSteps"":""0""}"
"1_lUb9FUZA","[""file:///C:\\Annotation\\ALB\\ALB0000.mp4""]",18.67,19.35,"{""BalletSteps"":""14""}"
"1_3dmNeXXQ","[""file:///C:\\Annotation\\ALB\\ALB0000.mp4""]",21.604,22.144,"{""BalletSteps"":""9""}"
"1_XtQxEJsK","[""file:///C:\\Annotation\\ALB\\ALB0000.mp4""]",22.144,22.744,"{""BalletSteps"":""9""}"
"1_XFmad1kZ","[""file:///C:\\Annotation\\ALB\\ALB0000.mp4""]",22.744,23.864,"{""BalletSteps"":""9""}"
"1_XRXgXM6O","[""file:///C:\\Annotation\\ALB\\ALB0000.mp4""]",34.744,35.724,"{""BalletSteps"":""14""}"
"1_5GiFRFxc","[""file:///C:\\Annotation\\ALB\\ALB0000.mp4""]",38.419,39.379,"{""BalletSteps"":""14""}"
"1_J0x2uAED","[""file:///C:\\Annotation\\ALB\\ALB0000.mp4""]",42.241,42.881,"{""BalletSteps"":""14""}"
"1_3r4bwaQ4","[""file:///C:\\Annotation\\ALB\\ALB0000.mp4""]",44.827,45.407,"{""BalletSteps"":""9""}"
"1_z16v2Nrg","[""file:///C:\\Annotation\\ALB\\ALB0000.mp4""]",45.407,46.087,"{""BalletSteps"":""9""}"
"1_9ZREoGaM","[""file:///C:\\Annotation\\ALB\\ALB0000.mp4""]",46.087,46.987,"{""BalletSteps"":""14""}"
"2_Me473h5s","[""file:///C:\\Annotation\\ALB\\ALB0001.mp4""]",,,"{""OnlyOneDancer?"":""1""}"
"2_QTALVX9O","[""file:///C:\\Annotation\\ALB\\ALB0001.mp4""]",2.01,2.77,"{""BalletSteps"":""4""}"
"2_OgAb66Xy","[""file:///C:\\Annotation\\ALB\\ALB0001.mp4""]",6.342,7.142,"{""BalletSteps"":""4""}"
"2_hoFZKGO5","[""file:///C:\\Annotation\\ALB\\ALB0001.mp4""]",10.74,11.14,"{""BalletSteps"":""0""}"
"2_NeuUArpp","[""file:///C:\\Annotation\\ALB\\ALB0001.mp4""]",14.25,14.87,"{""BalletSteps"":""8""}"
"2_PrPrepng","[""file:///C:\\Annotation\\ALB\\ALB0001.mp4""]",20.186,20.606,"{""BalletSteps"":""0""}"
"2_eU9igSV6","[""file:///C:\\Annotation\\ALB\\ALB0001.mp4""]",22.319,23.159,"{""BalletSteps"":""14""}"
"2_jKWhQ8JC","[""file:///C:\\Annotation\\ALB\\ALB0001.mp4""]",25.416,25.976,"{""BalletSteps"":""9""}"
"2_5HBcXwMg","[""file:///C:\\Annotation\\ALB\\ALB0001.mp4""]",25.976,26.436,"{""BalletSteps"":""9""}"
"2_nL0eZ79X","[""file:///C:\\Annotation\\ALB\\ALB0001.mp4""]",26.436,27.036,"{""BalletSteps"":""9""}"
"2_gS0wdKCa","[""file:///C:\\Annotation\\ALB\\ALB0001.mp4""]",27.036,27.776,"{""BalletSteps"":""9""}"
"2_jplx2AQO","[""file:///C:\\Annotation\\ALB\\ALB0001.mp4""]",27.776,28.576,"{""BalletSteps"":""9""}"
"2_XAfc0rmi","[""file:///C:\\Annotation\\ALB\\ALB0001.mp4""]",39.906,40.766,"{""BalletSteps"":""14""}"
"2_aXsxnYfg","[""file:///C:\\Annotation\\ALB\\ALB0001.mp4""]",44.025,45.005,"{""BalletSteps"":""14""}"
"2_Q4zlr1jh","[""file:///C:\\Annotation\\ALB\\ALB0001.mp4""]",47.145,48.045,"{""BalletSteps"":""14""}"
"2_vuTpHFLK","[""file:///C:\\Annotation\\ALB\\ALB0001.mp4""]",50.772,51.292,"{""BalletSteps"":""9""}"
"2_JEzcB7gS","[""file:///C:\\Annotation\\ALB\\ALB0001.mp4""]",51.292,51.772,"{""BalletSteps"":""9""}"
"2_d9wXG3UI","[""file:///C:\\Annotation\\ALB\\ALB0001.mp4""]",51.772,52.212,"{""BalletSteps"":""9""}"
"2_nNXqMQdA","[""file:///C:\\Annotation\\ALB\\ALB0001.mp4""]",52.212,52.772,"{""BalletSteps"":""9""}"
"2_H3jNnJ5o","[""file:///C:\\Annotation\\ALB\\ALB0001.mp4""]",52.948,53.568,"{""BalletSteps"":""14""}"
"3_MavK5y0H","[""file:///C:\\Annotation\\ALB\\ALB0002.mp4""]",,,"{""OnlyOneDancer?"":""1""}"
"3_6nF16ztk","[""file:///C:\\Annotation\\ALB\\ALB0002.mp4""]",1.301,2.001,"{""BalletSteps"":""4""}"
"3_nmxhBuyX","[""file:///C:\\Annotation\\ALB\\ALB0002.mp4""]",5.526,6.306,"{""BalletSteps"":""4""}"
"3_vtuHkAAG","[""file:///C:\\Annotation\\ALB\\ALB0002.mp4""]",9.279,9.739,"{""BalletSteps"":""0""}"
"3_SJ1T8cOJ","[""file:///C:\\Annotation\\ALB\\ALB0002.mp4""]",18.327,18.847,"{""BalletSteps"":""0""}"
"3_7lHTw2pF","[""file:///C:\\Annotation\\ALB\\ALB0002.mp4""]",20.569,21.529,"{""BalletSteps"":""14""}"
"3_cxc1FvTb","[""file:///C:\\Annotation\\ALB\\ALB0002.mp4""]",25.203,25.743,"{""BalletSteps"":""9""}"
"3_mDIaFrDD","[""file:///C:\\Annotation\\ALB\\ALB0002.mp4""]",25.743,26.223,"{""BalletSteps"":""9""}"
"3_lBaa9EYu","[""file:///C:\\Annotation\\ALB\\ALB0002.mp4""]",26.223,26.883,"{""BalletSteps"":""9""}"
"3_0TfOZ9qD","[""file:///C:\\Annotation\\ALB\\ALB0002.mp4""]",26.883,28.003,"{""BalletSteps"":""9""}"
"3_vgmokzt8","[""file:///C:\\Annotation\\ALB\\ALB0002.mp4""]",37.968,38.908,"{""BalletSteps"":""14""}"
"3_zCUxEGni","[""file:///C:\\Annotation\\ALB\\ALB0002.mp4""]",42.303,43.163,"{""BalletSteps"":""14""}"
"3_fp1sL4nN","[""file:///C:\\Annotation\\ALB\\ALB0002.mp4""]",46.015,46.875,"{""BalletSteps"":""14""}"
"3_msb5zf2r","[""file:///C:\\Annotation\\ALB\\ALB0002.mp4""]",49.049,49.509,"{""BalletSteps"":""9""}"
"3_TGRdIb7T","[""file:///C:\\Annotation\\ALB\\ALB0002.mp4""]",49.509,49.969,"{""BalletSteps"":""9""}"
"3_fhxWv6Os","[""file:///C:\\Annotation\\ALB\\ALB0002.mp4""]",49.969,50.429,"{""BalletSteps"":""9""}"
"3_slzj4KiG","[""file:///C:\\Annotation\\ALB\\ALB0002.mp4""]",50.429,51.009,"{""BalletSteps"":""9""}"
"3_ayFm8swS","[""file:///C:\\Annotation\\ALB\\ALB0002.mp4""]",51.225,52.105,"{""BalletSteps"":""14""}"
"4_spyoM7Ob","[""file:///C:\\Annotation\\ALB\\ALB0004.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"4_XXe2Y9IA","[""file:///C:\\Annotation\\ALB\\ALB0004.mp4""]",1.693,2.513,"{""BalletSteps"":""4""}"
"4_hq0MUqCa","[""file:///C:\\Annotation\\ALB\\ALB0004.mp4""]",6.204,7.044,"{""BalletSteps"":""4""}"
"4_VZtKoAwp","[""file:///C:\\Annotation\\ALB\\ALB0004.mp4""]",10.405,10.745,"{""BalletSteps"":""0""}"
