# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_tgc90hSr,""[""""file:///C:\\Annotation\\AUR\\AUR0000.mp4""""]"",,,""{""""OnlyOneDancer?"""":""""1""""}"""
"1_toataM6f,""[""""file:///C:\\Annotation\\AUR\\AUR0000.mp4""""]"",1.135,1.715,""{""""BalletSteps"""":""""0""""}"""
"1_SIkHSQmH,""[""""file:///C:\\Annotation\\AUR\\AUR0000.mp4""""]"",5.714,6.214,""{""""BalletSteps"""":""""1""""}"""
"1_huiKgwrT,""[""""file:///C:\\Annotation\\AUR\\AUR0000.mp4""""]"",10.135,10.615,""{""""BalletSteps"""":""""0""""}"""
"1_SQe2BHhj,""[""""file:///C:\\Annotation\\AUR\\AUR0000.mp4""""]"",14.351,14.851,""{""""BalletSteps"""":""""1""""}"""
"1_7Ue2apNL,""[""""file:///C:\\Annotation\\AUR\\AUR0000.mp4""""]"",28.792,29.312,""{""""BalletSteps"""":""""0""""}"""
"1_6lXzgQp9,""[""""file:///C:\\Annotation\\AUR\\AUR0000.mp4""""]"",53.987,54.727,""{""""BalletSteps"""":""""2""""}"""
"1_N5BYXF9v,""[""""file:///C:\\Annotation\\AUR\\AUR0000.mp4""""]"",78.698,79.138,""{""""BalletSteps"""":""""1""""}"""
"1_Dtfrj3Uy,""[""""file:///C:\\Annotation\\AUR\\AUR0000.mp4""""]"",86.965,87.505,""{""""BalletSteps"""":""""12""""}"""
"1_SOp5qBgU,""[""""file:///C:\\Annotation\\AUR\\AUR0000.mp4""""]"",105.627,106.127,""{""""BalletSteps"""":""""8""""}"""
"1_pW5ClZ3E,""[""""file:///C:\\Annotation\\AUR\\AUR0000.mp4""""]"",110.1,110.72,""{""""BalletSteps"""":""""0""""}"""
"2_sQlBXx54,""[""""file:///C:\\Annotation\\AUR\\AUR0001.mp4""""]"",,,""{""""OnlyOneDancer?"""":""""0""""}"""
"2_XUhiLZvq,""[""""file:///C:\\Annotation\\AUR\\AUR0001.mp4""""]"",1.593,2.113,""{""""BalletSteps"""":""""0""""}"""
"2_solw1hOi,""[""""file:///C:\\Annotation\\AUR\\AUR0001.mp4""""]"",6.707,7.107,""{""""BalletSteps"""":""""1""""}"""
"2_krkdIpgi,""[""""file:///C:\\Annotation\\AUR\\AUR0001.mp4""""]"",11.587,11.967,""{""""BalletSteps"""":""""0""""}"""
"2_TvJDWX8s,""[""""file:///C:\\Annotation\\AUR\\AUR0001.mp4""""]"",16.325,16.745,""{""""BalletSteps"""":""""1""""}"""
"2_e3XzlnNP,""[""""file:///C:\\Annotation\\AUR\\AUR0001.mp4""""]"",26.071,26.631,""{""""BalletSteps"""":""""0""""}"""
"2_eEY4eHFr,""[""""file:///C:\\Annotation\\AUR\\AUR0001.mp4""""]"",28.3,28.88,""{""""BalletSteps"""":""""0""""}"""
"2_WUHzEC7m,""[""""file:///C:\\Annotation\\AUR\\AUR0001.mp4""""]"",30.477,31.037,""{""""BalletSteps"""":""""0""""}"""
"2_alp3VtWy,""[""""file:///C:\\Annotation\\AUR\\AUR0001.mp4""""]"",32.691,33.131,""{""""BalletSteps"""":""""0""""}"""
"2_qstzqhvA,""[""""file:///C:\\Annotation\\AUR\\AUR0001.mp4""""]"",34.131,34.871,""{""""BalletSteps"""":""""10""""}"""
"2_sOUqWRvh,""[""""file:///C:\\Annotation\\AUR\\AUR0001.mp4""""]"",34.871,35.591,""{""""BalletSteps"""":""""11""""}"""
"2_s8WkDKSX,""[""""file:///C:\\Annotation\\AUR\\AUR0001.mp4""""]"",35.591,36.371,""{""""BalletSteps"""":""""10""""}"""
