# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_3vxZNNsN","[""file:///C:\\Annotation\\BAS\\BAS0001.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_mQaGx9NP","[""file:///C:\\Annotation\\BAS\\BAS0001.mp4""]",2.21,2.93,"{""BalletSteps"":""14""}"
"1_SlvWKTcN","[""file:///C:\\Annotation\\BAS\\BAS0001.mp4""]",6.413,7.193,"{""BalletSteps"":""15""}"
"1_gXQ4rgeb","[""file:///C:\\Annotation\\BAS\\BAS0001.mp4""]",10.916,11.679,"{""BalletSteps"":""14""}"
"1_1PGICFwY","[""file:///C:\\Annotation\\BAS\\BAS0001.mp4""]",18.4,18.88,"{""BalletSteps"":""8""}"
"1_mxmsSYq2","[""file:///C:\\Annotation\\BAS\\BAS0001.mp4""]",18.88,19.3,"{""BalletSteps"":""8""}"
"1_0XH5eRAB","[""file:///C:\\Annotation\\BAS\\BAS0001.mp4""]",19.3,19.78,"{""BalletSteps"":""8""}"
"1_0vZF9SNS","[""file:///C:\\Annotation\\BAS\\BAS0001.mp4""]",19.78,20.48,"{""BalletSteps"":""8""}"
"1_3OsCVUDX","[""file:///C:\\Annotation\\BAS\\BAS0001.mp4""]",20.48,21.18,"{""BalletSteps"":""8""}"
"1_LT1vjKYL","[""file:///C:\\Annotation\\BAS\\BAS0001.mp4""]",21.18,21.88,"{""BalletSteps"":""8""}"
"1_XHH8WIfI","[""file:///C:\\Annotation\\BAS\\BAS0001.mp4""]",21.88,22.82,"{""BalletSteps"":""8""}"
"1_umTxur6O","[""file:///C:\\Annotation\\BAS\\BAS0001.mp4""]",24.668,25.348,"{""BalletSteps"":""6""}"
"1_sMsBRcDi","[""file:///C:\\Annotation\\BAS\\BAS0001.mp4""]",28.706,29.206,"{""BalletSteps"":""8""}"
