# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_z6zgwFVE","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_sXB6KqpA","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",0.11,0.57,"{""BalletSteps"":""13""}"
"1_UNGBo55S","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",1.463,2.023,"{""BalletSteps"":""2""}"
"1_ZqoVAEqs","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",2.486,2.906,"{""BalletSteps"":""12""}"
"1_2gWqA5vJ","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",3.71,4.11,"{""BalletSteps"":""2""}"
"1_46LqIn7X","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",4.884,5.304,"{""BalletSteps"":""0""}"
"1_6MXV8J37","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",7,7.44,"{""BalletSteps"":""1""}"
"1_3YG1yf8T","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",9.022,9.422,"{""BalletSteps"":""13""}"
"1_hywEi2zL","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",10.206,10.546,"{""BalletSteps"":""2""}"
"1_SXD5VWA6","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",11.134,11.614,"{""BalletSteps"":""12""}"
"1_g26Y14ZH","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",12.366,12.706,"{""BalletSteps"":""2""}"
"1_UefgSTKf","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",14.384,14.864,"{""BalletSteps"":""1""}"
"1_pQhSX6gY","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",16.972,17.832,"{""BalletSteps"":""3""}"
"1_hXBHX5oU","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",19.781,20.181,"{""BalletSteps"":""1""}"
"1_czRgTZA6","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",21.109,22.109,"{""BalletSteps"":""3""}"
"1_47dHl0oY","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",24.086,24.586,"{""BalletSteps"":""1""}"
"1_TnlE9MS1","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",25.437,26.357,"{""BalletSteps"":""3""}"
"1_MNkpKJpn","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",28.313,28.693,"{""BalletSteps"":""1""}"
"1_nsii8iz6","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",35.024,35.704,"{""BalletSteps"":""9""}"
"1_1akRAezU","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",41.862,42.402,"{""BalletSteps"":""8""}"
"1_FXybP5zH","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",42.776,43.216,"{""BalletSteps"":""8""}"
"1_MYdXJIp3","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",43.216,43.716,"{""BalletSteps"":""8""}"
"1_kqtgWMNB","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",43.966,44.666,"{""BalletSteps"":""8""}"
"1_4MHYTPgl","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",44.942,45.402,"{""BalletSteps"":""8""}"
"1_eDnzwmVC","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",45.402,45.942,"{""BalletSteps"":""8""}"
"1_qXSSCvoe","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",46.567,46.947,"{""BalletSteps"":""9""}"
"1_3HV82uhX","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",46.947,47.427,"{""BalletSteps"":""9""}"
"1_UAOzIwqS","[""file:///C:\\Annotation\\BLU\\BLU0000.mp4""]",47.864,48.344,"{""BalletSteps"":""0""}"
"2_T0OmcvkT","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"2_eFJGB3fc","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",0.232,0.672,"{""BalletSteps"":""13""}"
"2_VXgiXC4n","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",1.592,2.192,"{""BalletSteps"":""2""}"
"2_gil77Mhh","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",2.708,3.148,"{""BalletSteps"":""12""}"
"2_XF5Jw92y","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",4.052,4.612,"{""BalletSteps"":""2""}"
"2_RNPT4htf","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",5.238,5.858,"{""BalletSteps"":""0""}"
"2_Snm03B0f","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",7.775,8.275,"{""BalletSteps"":""1""}"
"2_rV0cCj9T","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",9.851,10.271,"{""BalletSteps"":""13""}"
"2_zQV6LvSI","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",11.159,11.659,"{""BalletSteps"":""2""}"
"2_WI28Wyx6","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",12.172,12.592,"{""BalletSteps"":""12""}"
"2_XzmvCoEq","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",13.48,13.96,"{""BalletSteps"":""2""}"
"2_navyz1Il","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",15.773,16.113,"{""BalletSteps"":""1""}"
"2_AXTQI1vQ","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",17.823,18.423,"{""BalletSteps"":""2""}"
"2_FRC15ScL","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",18.793,19.793,"{""BalletSteps"":""3""}"
"2_a4hdBNBh","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",19.793,20.873,"{""BalletSteps"":""3""}"
"2_kXaiYo9d","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",23.5,24.46,"{""BalletSteps"":""3""}"
"2_HycXI8fK","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",24.46,25.52,"{""BalletSteps"":""3""}"
"2_DXXDgJlE","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",28.17,29.07,"{""BalletSteps"":""3""}"
"2_osVm7SLC","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",29.07,30.11,"{""BalletSteps"":""3""}"
"2_4Kh043aq","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",36.258,37.758,"{""BalletSteps"":""2""}"
"2_v0OEx4o6","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",39.294,39.894,"{""BalletSteps"":""9""}"
"2_RCESiB1R","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",40.718,42.198,"{""BalletSteps"":""2""}"
"2_nWScAZdC","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",45.572,46.152,"{""BalletSteps"":""8""}"
"2_AXNEQXC0","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",46.515,47.175,"{""BalletSteps"":""8""}"
"2_stiqUfP1","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",47.472,48.152,"{""BalletSteps"":""8""}"
"2_VN2OyTX8","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",48.485,49.185,"{""BalletSteps"":""8""}"
"2_XnQWkvRq","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",49.605,50.245,"{""BalletSteps"":""8""}"
"2_pTvKXlt8","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",50.574,51.294,"{""BalletSteps"":""8""}"
"2_IfIbPQN8","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",51.765,52.425,"{""BalletSteps"":""8""}"
"2_mv0fXJeA","[""file:///C:\\Annotation\\BLU\\BLU0003.mp4""]",52.783,53.203,"{""BalletSteps"":""0""}"
"3_cMyCU9sa","[""file:///C:\\Annotation\\BLU\\BLU0004.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"3_mR2mPKtX","[""file:///C:\\Annotation\\BLU\\BLU0004.mp4""]",0.748,1.128,"{""BalletSteps"":""13""}"
"3_sqdsaO5v","[""file:///C:\\Annotation\\BLU\\BLU0004.mp4""]",2.169,2.549,"{""BalletSteps"":""2""}"
"3_AbPn8hbb","[""file:///C:\\Annotation\\BLU\\BLU0004.mp4""]",3.281,3.661,"{""BalletSteps"":""12""}"
"3_zfaBtzDP","[""file:///C:\\Annotation\\BLU\\BLU0004.mp4""]",4.524,5.084,"{""BalletSteps"":""2""}"
"3_IgMmI3qy","[""file:///C:\\Annotation\\BLU\\BLU0004.mp4""]",5.952,6.412,"{""BalletSteps"":""0""}"
"3_KeYSiZt7","[""file:///C:\\Annotation\\BLU\\BLU0004.mp4""]",8.209,8.809,"{""BalletSteps"":""1""}"
"3_c8XbuD7f","[""file:///C:\\Annotation\\BLU\\BLU0004.mp4""]",10.508,10.888,"{""BalletSteps"":""13""}"
"3_UsgnYxr3","[""file:///C:\\Annotation\\BLU\\BLU0004.mp4""]",11.854,12.234,"{""BalletSteps"":""2""}"
"3_LBwPFEkQ","[""file:///C:\\Annotation\\BLU\\BLU0004.mp4""]",12.914,13.314,"{""BalletSteps"":""12""}"
"3_wIFI74ir","[""file:///C:\\Annotation\\BLU\\BLU0004.mp4""]",14.135,14.635,"{""BalletSteps"":""2""}"
