# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_KnuJIgVa,""[""""file:///C:\\Annotation\\BRO\\BRO0000.mp4""""]"",,,""{""""OnlyOneDancer?"""":""""1""""}"""
"1_P20DlPQt,""[""""file:///C:\\Annotation\\BRO\\BRO0000.mp4""""]"",5.791,6.591,""{""""BalletSteps"""":""""6""""}"""
"1_6suTCATL,""[""""file:///C:\\Annotation\\BRO\\BRO0000.mp4""""]"",7.84,8.6,""{""""BalletSteps"""":""""6""""}"""
"1_vjAypVAu,""[""""file:///C:\\Annotation\\BRO\\BRO0000.mp4""""]"",13.636,14.356,""{""""BalletSteps"""":""""7""""}"""
"1_qsZaUNrn,""[""""file:///C:\\Annotation\\BRO\\BRO0000.mp4""""]"",15.745,16.485,""{""""BalletSteps"""":""""7""""}"""
"1_A0FL1zKO,""[""""file:///C:\\Annotation\\BRO\\BRO0000.mp4""""]"",19.117,20.077,""{""""BalletSteps"""":""""17""""}"""
"1_VONhwTGK,""[""""file:///C:\\Annotation\\BRO\\BRO0000.mp4""""]"",22.607,23.007,""{""""BalletSteps"""":""""12""""}"""
"1_RgKlG5rE,""[""""file:///C:\\Annotation\\BRO\\BRO0000.mp4""""]"",23.395,24.195,""{""""BalletSteps"""":""""17""""}"""
"1_2nTKgXrV,""[""""file:///C:\\Annotation\\BRO\\BRO0000.mp4""""]"",26.635,27.015,""{""""BalletSteps"""":""""12""""}"""
"1_KqeJPZaM,""[""""file:///C:\\Annotation\\BRO\\BRO0000.mp4""""]"",27.456,28.216,""{""""BalletSteps"""":""""17""""}"""
"1_lfLQizf1,""[""""file:///C:\\Annotation\\BRO\\BRO0000.mp4""""]"",29.407,30.967,""{""""BalletSteps"""":""""19""""}"""
"1_i35fw3BB,""[""""file:///C:\\Annotation\\BRO\\BRO0000.mp4""""]"",29.587,30.067,""{""""BalletSteps"""":""""8""""}"""
"1_QOgHTpyG,""[""""file:///C:\\Annotation\\BRO\\BRO0000.mp4""""]"",30.067,30.627,""{""""BalletSteps"""":""""8""""}"""
"1_UeJwEWv7,""[""""file:///C:\\Annotation\\BRO\\BRO0000.mp4""""]"",35.744,36.404,""{""""BalletSteps"""":""""6""""}"""
"1_KClXrODr,""[""""file:///C:\\Annotation\\BRO\\BRO0000.mp4""""]"",36.854,39.843,""{""""BalletSteps"""":""""19""""}"""
"1_tXGd158C,""[""""file:///C:\\Annotation\\BRO\\BRO0000.mp4""""]"",38.642,39.282,""{""""BalletSteps"""":""""7""""}"""
"1_zY4EM6q2,""[""""file:///C:\\Annotation\\BRO\\BRO0000.mp4""""]"",40.076,40.736,""{""""BalletSteps"""":""""7""""}"""
"1_vxGwoT5y,""[""""file:///C:\\Annotation\\BRO\\BRO0000.mp4""""]"",41.636,42.256,""{""""BalletSteps"""":""""7""""}"""
"1_FZSwNnPr,""[""""file:///C:\\Annotation\\BRO\\BRO0000.mp4""""]"",41.336,42.316,""{""""BalletSteps"""":""""19""""}"""
"1_SIZ0w44H,""[""""file:///C:\\Annotation\\BRO\\BRO0000.mp4""""]"",45.228,45.908,""{""""BalletSteps"""":""""6""""}"""
"1_2x8wbkK4,""[""""file:///C:\\Annotation\\BRO\\BRO0000.mp4""""]"",46.132,46.852,""{""""BalletSteps"""":""""6""""}"""
"1_Q2O3YuXb,""[""""file:///C:\\Annotation\\BRO\\BRO0000.mp4""""]"",47.083,47.843,""{""""BalletSteps"""":""""6""""}"""
"2_zHoc3e4q,""[""""file:///C:\\Annotation\\BRO\\BRO0002.mp4""""]"",,,""{""""OnlyOneDancer?"""":""""1""""}"""
"2_Xv8efBws,""[""""file:///C:\\Annotation\\BRO\\BRO0002.mp4""""]"",4.661,5.401,""{""""BalletSteps"""":""""6""""}"""
"2_AoXHM5qJ,""[""""file:///C:\\Annotation\\BRO\\BRO0002.mp4""""]"",6.668,7.388,""{""""BalletSteps"""":""""6""""}"""
"2_MNFUlefR,""[""""file:///C:\\Annotation\\BRO\\BRO0002.mp4""""]"",11.807,12.527,""{""""BalletSteps"""":""""7""""}"""
"2_Vl1YT14b,""[""""file:///C:\\Annotation\\BRO\\BRO0002.mp4""""]"",13.791,14.571,""{""""BalletSteps"""":""""7""""}"""
"2_qVMDXCTR,""[""""file:///C:\\Annotation\\BRO\\BRO0002.mp4""""]"",16.88,17.78,""{""""BalletSteps"""":""""17""""}"""
"2_DJyidcY9,""[""""file:///C:\\Annotation\\BRO\\BRO0002.mp4""""]"",20.264,20.664,""{""""BalletSteps"""":""""12""""}"""
"2_rMrTD2lf,""[""""file:///C:\\Annotation\\BRO\\BRO0002.mp4""""]"",20.864,21.664,""{""""BalletSteps"""":""""17""""}"""
"2_cAdMER9g,""[""""file:///C:\\Annotation\\BRO\\BRO0002.mp4""""]"",24.008,24.328,""{""""BalletSteps"""":""""12""""}"""
"2_O81gEevT,""[""""file:///C:\\Annotation\\BRO\\BRO0002.mp4""""]"",24.609,25.229,""{""""BalletSteps"""":""""17""""}"""
"2_7gazhpCr,""[""""file:///C:\\Annotation\\BRO\\BRO0002.mp4""""]"",26.957,27.437,""{""""BalletSteps"""":""""8""""}"""
"2_aAbC5pn1,""[""""file:///C:\\Annotation\\BRO\\BRO0002.mp4""""]"",27.437,27.957,""{""""BalletSteps"""":""""8""""}"""
"2_4W6BkQXc,""[""""file:///C:\\Annotation\\BRO\\BRO0002.mp4""""]"",32.39,33.07,""{""""BalletSteps"""":""""6""""}"""
"2_JJu7XsJI,""[""""file:///C:\\Annotation\\BRO\\BRO0002.mp4""""]"",33.908,34.628,""{""""BalletSteps"""":""""6""""}"""
"2_HYEaX6uL,""[""""file:///C:\\Annotation\\BRO\\BRO0002.mp4""""]"",33.728,36.868,""{""""BalletSteps"""":""""19""""}"""
"2_RedIE4GH,""[""""file:///C:\\Annotation\\BRO\\BRO0002.mp4""""]"",35.521,36.261,""{""""BalletSteps"""":""""7""""}"""
"2_THkeFBjJ,""[""""file:///C:\\Annotation\\BRO\\BRO0002.mp4""""]"",37.069,37.829,""{""""BalletSteps"""":""""7""""}"""
"2_LVzfhrKx,""[""""file:///C:\\Annotation\\BRO\\BRO0002.mp4""""]"",38.675,39.355,""{""""BalletSteps"""":""""7""""}"""
"2_YOjxmJVr,""[""""file:///C:\\Annotation\\BRO\\BRO0002.mp4""""]"",42.147,42.827,""{""""BalletSteps"""":""""6""""}"""
"2_Ch7UdyW8,""[""""file:///C:\\Annotation\\BRO\\BRO0002.mp4""""]"",43.095,43.755,""{""""BalletSteps"""":""""6""""}"""
"2_mFTFaxWx,""[""""file:///C:\\Annotation\\BRO\\BRO0002.mp4""""]"",43.995,44.655,""{""""BalletSteps"""":""""6""""}"""
"3_sB0sgysm,""[""""file:///C:\\Annotation\\BRO\\BRO0003.mp4""""]"",,,""{""""OnlyOneDancer?"""":""""1""""}"""
"3_LeUyUCuC,""[""""file:///C:\\Annotation\\BRO\\BRO0003.mp4""""]"",4.153,4.833,""{""""BalletSteps"""":""""6""""}"""
"3_7mgHZzmQ,""[""""file:///C:\\Annotation\\BRO\\BRO0003.mp4""""]"",6.271,6.971,""{""""BalletSteps"""":""""6""""}"""
"3_zDlrW18f,""[""""file:///C:\\Annotation\\BRO\\BRO0003.mp4""""]"",12.608,13.248,""{""""BalletSteps"""":""""7""""}"""
"3_E6YeH12a,""[""""file:///C:\\Annotation\\BRO\\BRO0003.mp4""""]"",14.206,15.826,""{""""BalletSteps"""":""""2""""}"""
"3_ZQIMRIwd,""[""""file:///C:\\Annotation\\BRO\\BRO0003.mp4""""]"",18.181,19.081,""{""""BalletSteps"""":""""17""""}"""
"3_zMqDUwsm,""[""""file:///C:\\Annotation\\BRO\\BRO0003.mp4""""]"",22.332,22.692,""{""""BalletSteps"""":""""12""""}"""
"3_kimsPZAe,""[""""file:///C:\\Annotation\\BRO\\BRO0003.mp4""""]"",23.125,23.965,""{""""BalletSteps"""":""""17""""}"""
"3_6u0BisXI,""[""""file:///C:\\Annotation\\BRO\\BRO0003.mp4""""]"",26.535,26.915,""{""""BalletSteps"""":""""12""""}"""
"3_wM0YPMjX,""[""""file:///C:\\Annotation\\BRO\\BRO0003.mp4""""]"",27.256,28.036,""{""""BalletSteps"""":""""17""""}"""
"3_rH6yt73g,""[""""file:///C:\\Annotation\\BRO\\BRO0003.mp4""""]"",35.465,35.925,""{""""BalletSteps"""":""""8""""}"""
"3_wMDfGJoK,""[""""file:///C:\\Annotation\\BRO\\BRO0003.mp4""""]"",35.925,36.405,""{""""BalletSteps"""":""""8""""}"""
"3_UOkMa2gm,""[""""file:///C:\\Annotation\\BRO\\BRO0003.mp4""""]"",36.8,37.24,""{""""BalletSteps"""":""""8""""}"""
"3_apxvqP7F,""[""""file:///C:\\Annotation\\BRO\\BRO0003.mp4""""]"",37.24,37.68,""{""""BalletSteps"""":""""8""""}"""
"3_4FploHpt,""[""""file:///C:\\Annotation\\BRO\\BRO0003.mp4""""]"",39.895,40.315,""{""""BalletSteps"""":""""8""""}"""
"3_kj9milPX,""[""""file:///C:\\Annotation\\BRO\\BRO0003.mp4""""]"",40.315,40.775,""{""""BalletSteps"""":""""8""""}"""
"3_GXLAvWws,""[""""file:///C:\\Annotation\\BRO\\BRO0003.mp4""""]"",41.138,41.558,""{""""BalletSteps"""":""""8""""}"""
"3_cImgmLes,""[""""file:///C:\\Annotation\\BRO\\BRO0003.mp4""""]"",41.558,42.038,""{""""BalletSteps"""":""""8""""}"""
"3_H8Y8WEFq,""[""""file:///C:\\Annotation\\BRO\\BRO0003.mp4""""]"",44.187,44.627,""{""""BalletSteps"""":""""8""""}"""
"3_g4tadeCI,""[""""file:///C:\\Annotation\\BRO\\BRO0003.mp4""""]"",44.627,45.147,""{""""BalletSteps"""":""""8""""}"""
"3_3Al2P7id,""[""""file:///C:\\Annotation\\BRO\\BRO0003.mp4""""]"",51.402,52.062,""{""""BalletSteps"""":""""7""""}"""
"4_5l7RjkbN,""[""""file:///C:\\Annotation\\BRO\\BRO0004.mp4""""]"",,,""{""""OnlyOneDancer?"""":""""0""""}"""
