# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_YUId5NmH","[""file:///C:\\Annotation\\CAL\\CAL0000.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_6Hk5Vz2l","[""file:///C:\\Annotation\\CAL\\CAL0000.mp4""]",2.621,3.021,"{""BalletSteps"":""9""}"
"1_IP91bDpI","[""file:///C:\\Annotation\\CAL\\CAL0000.mp4""]",3.021,3.621,"{""BalletSteps"":""9""}"
"1_sIgo78mM","[""file:///C:\\Annotation\\CAL\\CAL0000.mp4""]",3.621,4.441,"{""BalletSteps"":""9""}"
"1_IjexcXvX","[""file:///C:\\Annotation\\CAL\\CAL0000.mp4""]",4.441,5.241,"{""BalletSteps"":""9""}"
"1_6YqsaD0P","[""file:///C:\\Annotation\\CAL\\CAL0000.mp4""]",8.352,8.732,"{""BalletSteps"":""9""}"
"1_LJw98Osn","[""file:///C:\\Annotation\\CAL\\CAL0000.mp4""]",8.732,9.352,"{""BalletSteps"":""9""}"
"1_YOooTXHT","[""file:///C:\\Annotation\\CAL\\CAL0000.mp4""]",9.352,10.172,"{""BalletSteps"":""9""}"
"1_FFbzDiQf","[""file:///C:\\Annotation\\CAL\\CAL0000.mp4""]",10.172,11.052,"{""BalletSteps"":""9""}"
"1_E0q5kZKK","[""file:///C:\\Annotation\\CAL\\CAL0000.mp4""]",15.09,15.49,"{""BalletSteps"":""0""}"
"1_FmEFSF2T","[""file:///C:\\Annotation\\CAL\\CAL0000.mp4""]",17.541,17.921,"{""BalletSteps"":""0""}"
"1_plxXqznC","[""file:///C:\\Annotation\\CAL\\CAL0000.mp4""]",23.955,24.315,"{""BalletSteps"":""9""}"
"1_hk92c8xO","[""file:///C:\\Annotation\\CAL\\CAL0000.mp4""]",24.315,24.955,"{""BalletSteps"":""9""}"
"1_j24X9LEX","[""file:///C:\\Annotation\\CAL\\CAL0000.mp4""]",24.955,25.815,"{""BalletSteps"":""9""}"
