# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_7YRtRmwm","[""file:///C:\\Annotation\\COL\\COL0000.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_n6WiX3bn","[""file:///C:\\Annotation\\COL\\COL0000.mp4""]",0.76,1.76,"{""BalletSteps"":""14""}"
"1_RdXWgXbS","[""file:///C:\\Annotation\\COL\\COL0000.mp4""]",1.714,2.234,"{""BalletSteps"":""8""}"
"1_Jqc4HfmG","[""file:///C:\\Annotation\\COL\\COL0000.mp4""]",4.597,5.377,"{""BalletSteps"":""6""}"
"1_5JXckWQA","[""file:///C:\\Annotation\\COL\\COL0000.mp4""]",8.047,8.527,"{""BalletSteps"":""8""}"
"1_pipfCUO6","[""file:///C:\\Annotation\\COL\\COL0000.mp4""]",8.527,8.967,"{""BalletSteps"":""8""}"
"1_ojZQyj33","[""file:///C:\\Annotation\\COL\\COL0000.mp4""]",8.967,9.487,"{""BalletSteps"":""8""}"
"1_0hecTexG","[""file:///C:\\Annotation\\COL\\COL0000.mp4""]",9.487,10.147,"{""BalletSteps"":""8""}"
"1_UufsldkZ","[""file:///C:\\Annotation\\COL\\COL0000.mp4""]",13.087,13.867,"{""BalletSteps"":""7""}"
"1_q98GVida","[""file:///C:\\Annotation\\COL\\COL0000.mp4""]",26.731,27.271,"{""BalletSteps"":""9""}"
"1_D03Fwwnj","[""file:///C:\\Annotation\\COL\\COL0000.mp4""]",27.271,27.811,"{""BalletSteps"":""9""}"
"1_Nva1UJww","[""file:///C:\\Annotation\\COL\\COL0000.mp4""]",27.811,28.651,"{""BalletSteps"":""9""}"
"1_Jj38pRE2","[""file:///C:\\Annotation\\COL\\COL0000.mp4""]",40.514,41.254,"{""BalletSteps"":""6""}"
"1_sRZn8LRo","[""file:///C:\\Annotation\\COL\\COL0000.mp4""]",51.962,52.702,"{""BalletSteps"":""7""}"
"1_BNcK5G8n","[""file:///C:\\Annotation\\COL\\COL0000.mp4""]",60.588,61.228,"{""BalletSteps"":""8""}"
"1_h8CSiBQ4","[""file:///C:\\Annotation\\COL\\COL0000.mp4""]",61.228,61.888,"{""BalletSteps"":""8""}"
"1_p6JJMTZw","[""file:///C:\\Annotation\\COL\\COL0000.mp4""]",64.097,64.697,"{""BalletSteps"":""8""}"
