# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_1aD7lf5O","[""file:///C:\\Annotation\\CUP\\CUP0000.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_vrdNtBhP","[""file:///C:\\Annotation\\CUP\\CUP0000.mp4""]",2.011,2.431,"{""BalletSteps"":""0""}"
"1_DGslKKb3","[""file:///C:\\Annotation\\CUP\\CUP0000.mp4""]",4.148,4.608,"{""BalletSteps"":""1""}"
"1_0ToJQh0X","[""file:///C:\\Annotation\\CUP\\CUP0000.mp4""]",6.309,6.849,"{""BalletSteps"":""0""}"
"1_ATdAYROu","[""file:///C:\\Annotation\\CUP\\CUP0000.mp4""]",8.379,8.939,"{""BalletSteps"":""1""}"
"1_jsX2WL3A","[""file:///C:\\Annotation\\CUP\\CUP0000.mp4""]",10.539,11.039,"{""BalletSteps"":""0""}"
"1_MDR4hSB9","[""file:///C:\\Annotation\\CUP\\CUP0000.mp4""]",12.907,13.267,"{""BalletSteps"":""1""}"
"1_Glk2hYO0","[""file:///C:\\Annotation\\CUP\\CUP0000.mp4""]",21.069,21.789,"{""BalletSteps"":""8""}"
"1_CPyT2uGZ","[""file:///C:\\Annotation\\CUP\\CUP0000.mp4""]",21.069,32.849,"{""BalletSteps"":""19""}"
"1_thAaEEwO","[""file:///C:\\Annotation\\CUP\\CUP0000.mp4""]",22.053,22.773,"{""BalletSteps"":""8""}"
"1_MKhWAw7I","[""file:///C:\\Annotation\\CUP\\CUP0000.mp4""]",23.073,23.833,"{""BalletSteps"":""8""}"
"1_MLbXQGIZ","[""file:///C:\\Annotation\\CUP\\CUP0000.mp4""]",24.163,24.983,"{""BalletSteps"":""8""}"
"1_niZcTsEV","[""file:///C:\\Annotation\\CUP\\CUP0000.mp4""]",25.227,26.007,"{""BalletSteps"":""8""}"
"1_D1fRAcsa","[""file:///C:\\Annotation\\CUP\\CUP0000.mp4""]",26.325,27.145,"{""BalletSteps"":""8""}"
"1_eBkBgAEk","[""file:///C:\\Annotation\\CUP\\CUP0000.mp4""]",27.465,28.285,"{""BalletSteps"":""8""}"
