# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_tnRhPhDU","[""file:///C:\\Annotation\\DAA\\DAA0000.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_mE1c0Ufa","[""file:///C:\\Annotation\\DAA\\DAA0000.mp4""]",1.222,1.822,"{""BalletSteps"":""0""}"
"1_XQjqsWze","[""file:///C:\\Annotation\\DAA\\DAA0000.mp4""]",3.845,4.285,"{""BalletSteps"":""1""}"
"1_uEE7nuqK","[""file:///C:\\Annotation\\DAA\\DAA0000.mp4""]",5.966,6.946,"{""BalletSteps"":""8""}"
"1_I6EzyeD2","[""file:///C:\\Annotation\\DAA\\DAA0000.mp4""]",18.489,19.089,"{""BalletSteps"":""0""}"
"1_rio6GoAH","[""file:///C:\\Annotation\\DAA\\DAA0000.mp4""]",20.876,21.436,"{""BalletSteps"":""1""}"
"1_6fBMJJVR","[""file:///C:\\Annotation\\DAA\\DAA0000.mp4""]",23.163,24.223,"{""BalletSteps"":""8""}"
"1_PHLSNb3X","[""file:///C:\\Annotation\\DAA\\DAA0000.mp4""]",43.17,43.61,"{""BalletSteps"":""9""}"
"1_vA3h425H","[""file:///C:\\Annotation\\DAA\\DAA0000.mp4""]",43.61,44.27,"{""BalletSteps"":""9""}"
"1_4caukhuL","[""file:///C:\\Annotation\\DAA\\DAA0000.mp4""]",44.718,45.098,"{""BalletSteps"":""0""}"
"1_KJQkMZ12","[""file:///C:\\Annotation\\DAA\\DAA0000.mp4""]",48.634,51.714,"{""BalletSteps"":""19""}"
"1_uxwD6AQh","[""file:///C:\\Annotation\\DAA\\DAA0000.mp4""]",51.068,51.728,"{""BalletSteps"":""7""}"
"1_XDbewV9Y","[""file:///C:\\Annotation\\DAA\\DAA0000.mp4""]",61.081,61.501,"{""BalletSteps"":""9""}"
"1_PLf5Z9XZ","[""file:///C:\\Annotation\\DAA\\DAA0000.mp4""]",61.501,62.101,"{""BalletSteps"":""9""}"
"1_m9XctXpb","[""file:///C:\\Annotation\\DAA\\DAA0000.mp4""]",62.605,62.965,"{""BalletSteps"":""0""}"
"1_ZNVgzanN","[""file:///C:\\Annotation\\DAA\\DAA0000.mp4""]",64.636,65.136,"{""BalletSteps"":""1""}"
"1_HlZCfRmh","[""file:///C:\\Annotation\\DAA\\DAA0000.mp4""]",68.677,69.317,"{""BalletSteps"":""12""}"
"1_yIz174Ao","[""file:///C:\\Annotation\\DAA\\DAA0000.mp4""]",73.578,74.118,"{""BalletSteps"":""0""}"
"1_JFVU1n8o","[""file:///C:\\Annotation\\DAA\\DAA0000.mp4""]",78.168,78.788,"{""BalletSteps"":""0""}"
"1_GNb4AX6L","[""file:///C:\\Annotation\\DAA\\DAA0000.mp4""]",82.762,83.302,"{""BalletSteps"":""0""}"
"1_Vu0R4C0X","[""file:///C:\\Annotation\\DAA\\DAA0000.mp4""]",87.166,87.686,"{""BalletSteps"":""0""}"
"1_kwT0PVsv","[""file:///C:\\Annotation\\DAA\\DAA0000.mp4""]",89.798,90.238,"{""BalletSteps"":""9""}"
