# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_1Vb2ySki","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_qAUS3kX2","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",2.219,2.839,"{""BalletSteps"":""0""}"
"1_LzGiCk4q","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",8.285,9.365,"{""BalletSteps"":""0""}"
"1_df8hZsdw","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",12.529,13.149,"{""BalletSteps"":""1""}"
"1_2ZEaesaL","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",18.345,19.305,"{""BalletSteps"":""1""}"
"1_mRHMKGeI","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",22.597,23.197,"{""BalletSteps"":""0""}"
"1_wPOH1SeP","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",28.368,29.088,"{""BalletSteps"":""0""}"
"1_hAr12LdH","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",33.039,35.079,"{""BalletSteps"":""2""}"
"1_G7MDXQzF","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",64.297,66.097,"{""BalletSteps"":""2""}"
"1_BK9TFjPJ","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",67.243,68.703,"{""BalletSteps"":""2""}"
"1_xtXgHo1X","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",69.946,71.006,"{""BalletSteps"":""0""}"
"1_vNNy2goH","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",72.497,73.217,"{""BalletSteps"":""0""}"
"1_5o7T8dUM","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",74.736,75.336,"{""BalletSteps"":""0""}"
"1_0SULXo8H","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",76.958,77.718,"{""BalletSteps"":""0""}"
"1_PblgVBDS","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",79.021,79.561,"{""BalletSteps"":""0""}"
"1_5X8XO0rZ","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",80.778,82.978,"{""BalletSteps"":""2""}"
"1_iOIM7bY5","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",88.111,88.831,"{""BalletSteps"":""8""}"
"1_nNdPP0dP","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",88.831,89.571,"{""BalletSteps"":""8""}"
"1_iC2A86by","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",89.571,90.311,"{""BalletSteps"":""8""}"
"1_pruEHopj","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",90.311,91.071,"{""BalletSteps"":""8""}"
"1_2yKo5V06","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",91.071,91.811,"{""BalletSteps"":""8""}"
"1_I7wPF6pC","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",91.071,95.611,"{""BalletSteps"":""19""}"
"1_lQccoHL1","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",91.811,92.571,"{""BalletSteps"":""8""}"
"1_gkJuvGgw","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",92.571,93.331,"{""BalletSteps"":""8""}"
"1_FwlABEsj","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",93.331,94.051,"{""BalletSteps"":""8""}"
"1_XLKfWi9j","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",94.051,94.831,"{""BalletSteps"":""8""}"
"1_NJNrifmS","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",94.831,95.611,"{""BalletSteps"":""8""}"
"1_82y9PsOq","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",95.611,96.391,"{""BalletSteps"":""8""}"
"1_K7qOWb2G","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",96.391,97.231,"{""BalletSteps"":""8""}"
"1_pUK8iwk0","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",97.231,98.071,"{""BalletSteps"":""8""}"
"1_gwZkIC3C","[""file:///C:\\Annotation\\DUL\\DUL0001.mp4""]",99.938,100.33726,"{""BalletSteps"":""0""}"
"2_C3yJZD8E","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"2_UrV81YJ5","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",2.641,3.601,"{""BalletSteps"":""1""}"
"2_Bue2lmZr","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",9.092,9.972,"{""BalletSteps"":""1""}"
"2_dJqsVtS1","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",14.131,14.851,"{""BalletSteps"":""0""}"
"2_IOVWCkNg","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",20.456,21.156,"{""BalletSteps"":""0""}"
"2_mh1oqXtx","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",25.57,26.19,"{""BalletSteps"":""1""}"
"2_Pr0eYo6x","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",31.196,32.076,"{""BalletSteps"":""1""}"
"2_fWxN9gdp","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",36.54,39.68,"{""BalletSteps"":""2""}"
"2_y8Y9edBw","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",63.069,63.729,"{""BalletSteps"":""2""}"
"2_9adeAMuf","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",65.705,66.405,"{""BalletSteps"":""2""}"
"2_BSmga4Xq","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",73.399,74.079,"{""BalletSteps"":""1""}"
"2_1jwj6G8T","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",75.528,76.348,"{""BalletSteps"":""1""}"
"2_OtPX3rU6","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",77.736,78.536,"{""BalletSteps"":""1""}"
"2_3jU9bHNf","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",80.034,80.814,"{""BalletSteps"":""1""}"
"2_KtxhcN9w","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",82.151,82.871,"{""BalletSteps"":""1""}"
"2_ctEA1vaE","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",89.507,90.367,"{""BalletSteps"":""8""}"
"2_swusaqJc","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",90.367,91.167,"{""BalletSteps"":""8""}"
"2_JX3hXZR5","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",91.167,91.967,"{""BalletSteps"":""8""}"
"2_oHXXTN1L","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",91.167,95.107,"{""BalletSteps"":""19""}"
"2_2NOUNLNc","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",91.967,92.767,"{""BalletSteps"":""8""}"
"2_pQo9oNh6","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",92.767,93.527,"{""BalletSteps"":""8""}"
"2_rteat78G","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",93.527,94.307,"{""BalletSteps"":""8""}"
"2_gvAUA2SK","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",94.307,95.107,"{""BalletSteps"":""8""}"
"2_r4NCC2R2","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",95.107,95.867,"{""BalletSteps"":""8""}"
"2_lwXPeG3U","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",95.867,96.707,"{""BalletSteps"":""8""}"
"2_BtDQLbXv","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",96.707,97.507,"{""BalletSteps"":""8""}"
"2_wLtXDgGw","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",97.507,98.267,"{""BalletSteps"":""8""}"
"2_gePkZYVe","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",98.267,99.067,"{""BalletSteps"":""8""}"
"2_ImQBJtE0","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",99.067,99.907,"{""BalletSteps"":""8""}"
"2_IlFmU3LB","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",99.907,100.747,"{""BalletSteps"":""8""}"
"2_7PNGNJY5","[""file:///C:\\Annotation\\DUL\\DUL0002.mp4""]",102.933,103.513,"{""BalletSteps"":""0""}"
"3_lzV9JhVH","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"3_QXg1iQZl","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",2.287,2.987,"{""BalletSteps"":""0""}"
"3_KXIDXiVX","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",7.437,7.737,"{""BalletSteps"":""13""}"
"3_R1wDXZzw","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",8.304,9.304,"{""BalletSteps"":""0""}"
"3_CiB9wNMC","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",12.85,13.65,"{""BalletSteps"":""1""}"
"3_iVWeB0Xo","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",17.221,17.541,"{""BalletSteps"":""12""}"
"3_PnoVKDmH","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",18.044,19.064,"{""BalletSteps"":""1""}"
"3_4Mhk6PB6","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",23.048,23.428,"{""BalletSteps"":""0""}"
"3_XIsDgsPX","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",27.542,27.842,"{""BalletSteps"":""13""}"
"3_hAtNNGDN","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",28.275,29.415,"{""BalletSteps"":""0""}"
"3_r6dejbe6","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",70.311,71.171,"{""BalletSteps"":""0""}"
"3_aX82D0tA","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",72.676,73.916,"{""BalletSteps"":""0""}"
"3_XXvDVuDZ","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",75.497,76.437,"{""BalletSteps"":""0""}"
"3_8IRgNhEf","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",77.978,78.758,"{""BalletSteps"":""0""}"
"3_yWo76Su5","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",80.307,81.167,"{""BalletSteps"":""0""}"
"3_zkpVFSIJ","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",87.944,88.804,"{""BalletSteps"":""8""}"
"3_4cVPNVDO","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",88.804,89.604,"{""BalletSteps"":""8""}"
"3_twbQs3Dc","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",89.604,90.364,"{""BalletSteps"":""8""}"
"3_eQg1jbyQ","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",90.364,91.104,"{""BalletSteps"":""8""}"
"3_mSOBuADa","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",91.104,91.884,"{""BalletSteps"":""8""}"
"3_xR88PdJq","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",91.884,92.644,"{""BalletSteps"":""8""}"
"3_dbqnKk4V","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",91.884,95.784,"{""BalletSteps"":""19""}"
"3_4OcrVYPy","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",92.644,93.444,"{""BalletSteps"":""8""}"
"3_u1DzK8JX","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",93.444,94.244,"{""BalletSteps"":""8""}"
"3_snsEpNIy","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",94.244,95.004,"{""BalletSteps"":""8""}"
"3_L1ebdfOu","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",95.004,95.784,"{""BalletSteps"":""8""}"
"3_XVncEXwb","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",97.533,98.073,"{""BalletSteps"":""2""}"
"3_IduYCJ8e","[""file:///C:\\Annotation\\DUL\\DUL0007.mp4""]",99.784,100.464,"{""BalletSteps"":""6""}"
"4_3p8plnNX","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"4_mZqUzwa7","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",3.64,4.34,"{""BalletSteps"":""0""}"
"4_OiqcvKkJ","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",9.086,9.526,"{""BalletSteps"":""13""}"
"4_ag1YZde2","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",10.111,11.071,"{""BalletSteps"":""0""}"
"4_A50RCxkX","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",15.6,16.38,"{""BalletSteps"":""1""}"
"4_zc7EPwlZ","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",20.533,21.033,"{""BalletSteps"":""12""}"
"4_S5BXWmDF","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",21.468,22.668,"{""BalletSteps"":""1""}"
"4_1t4pV0Fo","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",26.973,27.693,"{""BalletSteps"":""0""}"
"4_LqTG9C9O","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",31.931,32.311,"{""BalletSteps"":""13""}"
"4_0U4YW2ps","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",32.857,33.857,"{""BalletSteps"":""0""}"
"4_7Cg8eOt5","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",60.575,61.195,"{""BalletSteps"":""12""}"
"4_CoRYlbBP","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",75.524,76.444,"{""BalletSteps"":""0""}"
"4_3oBL1b3w","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",78.29,79.09,"{""BalletSteps"":""0""}"
"4_teSAFFHp","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",80.886,81.626,"{""BalletSteps"":""0""}"
"4_UwfEdjn0","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",83.394,84.234,"{""BalletSteps"":""0""}"
"4_bGV1zhPJ","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",86.015,86.755,"{""BalletSteps"":""0""}"
"4_4XAXHPDV","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",91.847,92.927,"{""BalletSteps"":""8""}"
"4_j2ZgMzMt","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",92.927,93.867,"{""BalletSteps"":""8""}"
"4_ESPIXmNL","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",93.867,94.847,"{""BalletSteps"":""8""}"
"4_f0rXlfVu","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",92.927,98.727,"{""BalletSteps"":""19""}"
"4_SPfmCDE0","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",94.847,95.767,"{""BalletSteps"":""8""}"
"4_8wQ2dYCo","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",95.767,96.727,"{""BalletSteps"":""8""}"
"4_1J9yyBXl","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",96.727,97.747,"{""BalletSteps"":""8""}"
"4_mEO8n7se","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",97.747,98.727,"{""BalletSteps"":""8""}"
"4_MD22rxCR","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",98.727,99.867,"{""BalletSteps"":""8""}"
"4_4XzoBEVy","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",99.867,100.807,"{""BalletSteps"":""8""}"
"4_Xih19HZL","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",100.807,101.867,"{""BalletSteps"":""8""}"
"4_xg4PiSMs","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",101.867,102.947,"{""BalletSteps"":""8""}"
"4_ue7N4PUV","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",102.947,103.907,"{""BalletSteps"":""8""}"
"4_UdbP4tD8","[""file:///C:\\Annotation\\DUL\\DUL0009.mp4""]",104.468,105.468,"{""BalletSteps"":""0""}"
"5_FoV7uGoA","[""file:///C:\\Annotation\\DUL\\DUL0010.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
