# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_KdztY8ng","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_ClL4AniN","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",1.237,2.637,"{""BalletSteps"":""3""}"
"1_3lfXGCay","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",4.254,4.994,"{""BalletSteps"":""12""}"
"1_X3pSREw6","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",7.11,8.55,"{""BalletSteps"":""3""}"
"1_zrAmCqT5","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",9.999,10.719,"{""BalletSteps"":""12""}"
"1_ty9ZzTG3","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",12.847,14.307,"{""BalletSteps"":""3""}"
"1_kmCWTBxU","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",15.69,16.21,"{""BalletSteps"":""12""}"
"1_KLQnF66n","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",18.668,19.428,"{""BalletSteps"":""8""}"
"1_kcE1ktJw","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",19.789,20.429,"{""BalletSteps"":""8""}"
"1_uRX1KGbJ","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",20.509,20.949,"{""BalletSteps"":""9""}"
"1_Q3yHyzge","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",20.949,21.589,"{""BalletSteps"":""9""}"
"1_lhMMx1qu","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",23.028,23.528,"{""BalletSteps"":""9""}"
"1_yugVCYdi","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",23.528,24.068,"{""BalletSteps"":""9""}"
"1_VdxIGXhB","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",24.068,24.588,"{""BalletSteps"":""9""}"
"1_UzUzWsHB","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",28.265,29.145,"{""BalletSteps"":""1""}"
"1_StrxVybQ","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",29.927,30.667,"{""BalletSteps"":""2""}"
"1_XljSCOdN","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",33.842,34.502,"{""BalletSteps"":""1""}"
"1_N25DSQ3I","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",35.389,35.849,"{""BalletSteps"":""2""}"
"1_xsfSPX4q","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",39.209,39.689,"{""BalletSteps"":""1""}"
"1_5ZXn3kGX","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",40.532,41.092,"{""BalletSteps"":""2""}"
"1_IvMK1h5O","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",44.324,44.884,"{""BalletSteps"":""8""}"
"1_nZZ9Ybsa","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",44.884,45.544,"{""BalletSteps"":""8""}"
"1_vDVYl5ng","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",46.128,46.828,"{""BalletSteps"":""9""}"
"1_vm3txmfX","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",48.397,48.897,"{""BalletSteps"":""9""}"
"1_Rn6hDXv8","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",48.897,49.417,"{""BalletSteps"":""9""}"
"1_ElKDmkQk","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",49.417,49.917,"{""BalletSteps"":""9""}"
"1_rrbf9qyx","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",56.832,57.252,"{""BalletSteps"":""9""}"
"1_aEJ14Oof","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",57.252,57.892,"{""BalletSteps"":""9""}"
"1_lOu1CJ9O","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",56.832,64.452,"{""BalletSteps"":""19""}"
"1_AOrrwPXk","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",63.434,63.954,"{""BalletSteps"":""9""}"
"1_WZbExtX6","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",63.954,64.434,"{""BalletSteps"":""9""}"
"1_a9J2fL8w","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",70.242,70.642,"{""BalletSteps"":""9""}"
"1_8SBQP9K2","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",70.642,71.542,"{""BalletSteps"":""9""}"
"1_nv54oj5f","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",72.566,73.526,"{""BalletSteps"":""8""}"
"1_ZyXnDkOo","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",91.771,92.491,"{""BalletSteps"":""8""}"
"1_3OTvbU3p","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",92.491,93.351,"{""BalletSteps"":""8""}"
"1_paCqtbhh","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",93.351,94.031,"{""BalletSteps"":""8""}"
"1_QurY52L4","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",94.031,94.871,"{""BalletSteps"":""8""}"
"1_TH7kmNJz","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",95.051,95.471,"{""BalletSteps"":""9""}"
"1_Uag6oZjV","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",95.471,96.171,"{""BalletSteps"":""9""}"
"1_XBiGEhbQ","[""file:///C:\\Annotation\\ESM\\ESM0000.mp4""]",96.513,97.353,"{""BalletSteps"":""0""}"
"2_sWLXCXPg","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"2_WOkfXuo4","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",0.885,2.165,"{""BalletSteps"":""3""}"
"2_A9cKlKGW","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",3.658,4.218,"{""BalletSteps"":""12""}"
"2_4sL3DOAR","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",6.711,8.291,"{""BalletSteps"":""3""}"
"2_XxFdxPRJ","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",9.703,10.283,"{""BalletSteps"":""12""}"
"2_2VMveB5I","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",12.665,14.205,"{""BalletSteps"":""3""}"
"2_w0XOhzV5","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",15.556,16.136,"{""BalletSteps"":""12""}"
"2_doYISX3Q","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",18.872,19.652,"{""BalletSteps"":""8""}"
"2_auwcPuZm","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",19.652,20.592,"{""BalletSteps"":""8""}"
"2_UZahP4JM","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",20.692,21.312,"{""BalletSteps"":""9""}"
"2_RYKZsXxl","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",22.43,23.03,"{""BalletSteps"":""9""}"
"2_tX97U4ys","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",23.03,23.59,"{""BalletSteps"":""9""}"
"2_e5kgaTHG","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",26.834,27.234,"{""BalletSteps"":""1""}"
"2_vXIbIJuI","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",28.394,29.374,"{""BalletSteps"":""2""}"
"2_RI74IGAi","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",32.536,32.956,"{""BalletSteps"":""1""}"
"2_wV7qZgsR","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",34.042,34.442,"{""BalletSteps"":""2""}"
"2_eBCzXNEj","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",37.855,38.255,"{""BalletSteps"":""1""}"
"2_FNkkcA21","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",39.392,39.952,"{""BalletSteps"":""2""}"
"2_QoJOVXLi","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",42.97,43.81,"{""BalletSteps"":""8""}"
"2_WldGmSy3","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",43.81,44.77,"{""BalletSteps"":""8""}"
"2_jWiaxUdo","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",44.87,45.47,"{""BalletSteps"":""9""}"
"2_o2WpLmJJ","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",46.52,47.14,"{""BalletSteps"":""9""}"
"2_9dHhBKps","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",47.14,47.64,"{""BalletSteps"":""9""}"
"2_7XryWcXT","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",52.593,52.933,"{""BalletSteps"":""2""}"
"2_y9Qyit6g","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",52.593,60.933,"{""BalletSteps"":""19""}"
"2_7353vMXk","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",54.05,54.83,"{""BalletSteps"":""9""}"
"2_rIdQJXhw","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",58.79,59.03,"{""BalletSteps"":""2""}"
"2_XkCAF35x","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",60.185,60.925,"{""BalletSteps"":""9""}"
"2_NAv2pyop","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",65.609,65.909,"{""BalletSteps"":""2""}"
"2_Cq67s4iQ","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",66.925,67.325,"{""BalletSteps"":""9""}"
"2_QpoRpv57","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",67.325,67.845,"{""BalletSteps"":""9""}"
"2_jKGXpdhw","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",88.2,88.8,"{""BalletSteps"":""12""}"
"2_kcZmRXgq","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",91.241,92.001,"{""BalletSteps"":""8""}"
"2_B8KHcaH0","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",92.001,92.801,"{""BalletSteps"":""8""}"
"2_aev0sKYT","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",92.801,93.341,"{""BalletSteps"":""8""}"
"2_xehDeqc9","[""file:///C:\\Annotation\\ESM\\ESM0006.mp4""]",94.736,95.356,"{""BalletSteps"":""6""}"
"3_uEJTckKF","[""file:///C:\\Annotation\\ESM\\ESM0010.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"3_uwDM3s4j","[""file:///C:\\Annotation\\ESM\\ESM0010.mp4""]",1.011,2.411,"{""BalletSteps"":""3""}"
"3_zW5DeA6Z","[""file:///C:\\Annotation\\ESM\\ESM0010.mp4""]",3.955,4.455,"{""BalletSteps"":""12""}"
"3_sIEkqyWA","[""file:///C:\\Annotation\\ESM\\ESM0010.mp4""]",6.882,8.362,"{""BalletSteps"":""3""}"
"3_PXFQ7Eqt","[""file:///C:\\Annotation\\ESM\\ESM0010.mp4""]",9.689,10.229,"{""BalletSteps"":""12""}"
"3_XgE1vJLG","[""file:///C:\\Annotation\\ESM\\ESM0010.mp4""]",12.64,13.96,"{""BalletSteps"":""3""}"
"3_hBpnONNo","[""file:///C:\\Annotation\\ESM\\ESM0010.mp4""]",15.531,16.071,"{""BalletSteps"":""12""}"
"3_2UPEVODn","[""file:///C:\\Annotation\\ESM\\ESM0010.mp4""]",18.2,18.88,"{""BalletSteps"":""8""}"
"3_a5qehtKr","[""file:///C:\\Annotation\\ESM\\ESM0010.mp4""]",18.88,19.7,"{""BalletSteps"":""8""}"
"3_xs0YnxdD","[""file:///C:\\Annotation\\ESM\\ESM0010.mp4""]",20.152,20.492,"{""BalletSteps"":""9""}"
"3_Y3cqj6FA","[""file:///C:\\Annotation\\ESM\\ESM0010.mp4""]",20.492,21.212,"{""BalletSteps"":""9""}"
"3_8uwnLUH7","[""file:///C:\\Annotation\\ESM\\ESM0010.mp4""]",22.917,23.417,"{""BalletSteps"":""9""}"
"3_xeB6T0uW","[""file:///C:\\Annotation\\ESM\\ESM0010.mp4""]",23.417,23.897,"{""BalletSteps"":""9""}"
"3_S2PW70li","[""file:///C:\\Annotation\\ESM\\ESM0010.mp4""]",23.897,24.257,"{""BalletSteps"":""9""}"
"3_d29c0pBf","[""file:///C:\\Annotation\\ESM\\ESM0010.mp4""]",26.642,27.342,"{""BalletSteps"":""1""}"
"3_x1eEJWzj","[""file:///C:\\Annotation\\ESM\\ESM0010.mp4""]",28.124,28.864,"{""BalletSteps"":""2""}"
"3_uCOZ0JVX","[""file:///C:\\Annotation\\ESM\\ESM0010.mp4""]",32.278,33.058,"{""BalletSteps"":""1""}"
"3_l58uQs2y","[""file:///C:\\Annotation\\ESM\\ESM0010.mp4""]",33.863,34.603,"{""BalletSteps"":""2""}"
