# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_LNTWwk8c","[""file:///C:\\Annotation\\FPF\\FPF0002.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_GAl2AZrt","[""file:///C:\\Annotation\\FPF\\FPF0002.mp4""]",4.974,6.194,"{""BalletSteps"":""2""}"
"1_sfulkr2J","[""file:///C:\\Annotation\\FPF\\FPF0002.mp4""]",8.141,9.381,"{""BalletSteps"":""2""}"
"1_gFiJPA2r","[""file:///C:\\Annotation\\FPF\\FPF0002.mp4""]",11.613,12.813,"{""BalletSteps"":""2""}"
"1_MX3XQDOX","[""file:///C:\\Annotation\\FPF\\FPF0002.mp4""]",18,19.18,"{""BalletSteps"":""2""}"
"1_OVSHYheu","[""file:///C:\\Annotation\\FPF\\FPF0002.mp4""]",21.56,22.5,"{""BalletSteps"":""2""}"
"1_4B3ZqW7I","[""file:///C:\\Annotation\\FPF\\FPF0002.mp4""]",25.353,26.533,"{""BalletSteps"":""2""}"
"1_wKvcZLER","[""file:///C:\\Annotation\\FPF\\FPF0002.mp4""]",33.623,34.083,"{""BalletSteps"":""9""}"
"1_b2e3OTSX","[""file:///C:\\Annotation\\FPF\\FPF0002.mp4""]",34.083,34.743,"{""BalletSteps"":""9""}"
"1_Ct502Hav","[""file:///C:\\Annotation\\FPF\\FPF0002.mp4""]",40.185,40.525,"{""BalletSteps"":""0""}"
"1_dVKUBw17","[""file:///C:\\Annotation\\FPF\\FPF0002.mp4""]",65.886,66.486,"{""BalletSteps"":""9""}"
"1_b9aBYjKD","[""file:///C:\\Annotation\\FPF\\FPF0002.mp4""]",71.008,72.568,"{""BalletSteps"":""2""}"
"1_6kDpZjHr","[""file:///C:\\Annotation\\FPF\\FPF0002.mp4""]",73.035,73.755,"{""BalletSteps"":""9""}"
"1_XFR6zXvA","[""file:///C:\\Annotation\\FPF\\FPF0002.mp4""]",73.755,74.535,"{""BalletSteps"":""9""}"
"1_iAtrHN0f","[""file:///C:\\Annotation\\FPF\\FPF0002.mp4""]",74.535,75.375,"{""BalletSteps"":""9""}"
"1_HQsqqA8A","[""file:///C:\\Annotation\\FPF\\FPF0002.mp4""]",75.375,76.215,"{""BalletSteps"":""9""}"
"1_wNjYe9rB","[""file:///C:\\Annotation\\FPF\\FPF0002.mp4""]",76.215,77.195,"{""BalletSteps"":""9""}"
"2_Ot120n0S","[""file:///C:\\Annotation\\FPF\\FPF0003.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"2_6NJbNU4w","[""file:///C:\\Annotation\\FPF\\FPF0003.mp4""]",4.974,6.134,"{""BalletSteps"":""2""}"
"2_UEK7XGVD","[""file:///C:\\Annotation\\FPF\\FPF0003.mp4""]",7.649,8.429,"{""BalletSteps"":""2""}"
"2_52z4K2XX","[""file:///C:\\Annotation\\FPF\\FPF0003.mp4""]",10.316,11.476,"{""BalletSteps"":""2""}"
"2_Y23pUV6D","[""file:///C:\\Annotation\\FPF\\FPF0003.mp4""]",15.139,16.079,"{""BalletSteps"":""2""}"
"2_af7IJoli","[""file:///C:\\Annotation\\FPF\\FPF0003.mp4""]",18.075,18.755,"{""BalletSteps"":""2""}"
"2_rKJvvULE","[""file:///C:\\Annotation\\FPF\\FPF0003.mp4""]",26.957,27.337,"{""BalletSteps"":""0""}"
"2_rRXD99yu","[""file:///C:\\Annotation\\FPF\\FPF0003.mp4""]",28.575,29.175,"{""BalletSteps"":""9""}"
"2_PRT8dXwk","[""file:///C:\\Annotation\\FPF\\FPF0003.mp4""]",29.175,29.775,"{""BalletSteps"":""9""}"
"2_uewKjyO4","[""file:///C:\\Annotation\\FPF\\FPF0003.mp4""]",34.111,34.491,"{""BalletSteps"":""0""}"
"2_8RplK8Kh","[""file:///C:\\Annotation\\FPF\\FPF0003.mp4""]",51.196,55.596,"{""BalletSteps"":""19""}"
"2_l0E67Xf9","[""file:///C:\\Annotation\\FPF\\FPF0003.mp4""]",51.867,52.327,"{""BalletSteps"":""9""}"
"2_vrhaOPsk","[""file:///C:\\Annotation\\FPF\\FPF0003.mp4""]",52.701,53.161,"{""BalletSteps"":""9""}"
"2_L9QOPf0O","[""file:///C:\\Annotation\\FPF\\FPF0003.mp4""]",53.468,53.908,"{""BalletSteps"":""9""}"
"2_cyHTYNF1","[""file:///C:\\Annotation\\FPF\\FPF0003.mp4""]",54.258,54.678,"{""BalletSteps"":""9""}"
"2_IXRmrwHY","[""file:///C:\\Annotation\\FPF\\FPF0003.mp4""]",56.003,56.483,"{""BalletSteps"":""9""}"
"2_OifLYyFx","[""file:///C:\\Annotation\\FPF\\FPF0003.mp4""]",56.483,57.163,"{""BalletSteps"":""9""}"
"2_yvknPwxq","[""file:///C:\\Annotation\\FPF\\FPF0003.mp4""]",60.758,62.058,"{""BalletSteps"":""2""}"
"2_aA4DPXiA","[""file:///C:\\Annotation\\FPF\\FPF0003.mp4""]",62.503,62.983,"{""BalletSteps"":""9""}"
"3_2i4He7Li","[""file:///C:\\Annotation\\FPF\\FPF0004.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"3_AKNWe9Wf","[""file:///C:\\Annotation\\FPF\\FPF0004.mp4""]",5.45,6.55,"{""BalletSteps"":""2""}"
"3_aAL5cgDj","[""file:///C:\\Annotation\\FPF\\FPF0004.mp4""]",8.469,9.749,"{""BalletSteps"":""2""}"
"3_MQdAGQXy","[""file:///C:\\Annotation\\FPF\\FPF0004.mp4""]",11.504,12.724,"{""BalletSteps"":""2""}"
"3_Pav24pwV","[""file:///C:\\Annotation\\FPF\\FPF0004.mp4""]",17.949,18.709,"{""BalletSteps"":""2""}"
"3_osIXX88t","[""file:///C:\\Annotation\\FPF\\FPF0004.mp4""]",20.932,21.692,"{""BalletSteps"":""2""}"
"3_O5J59lUh","[""file:///C:\\Annotation\\FPF\\FPF0004.mp4""]",23.723,24.363,"{""BalletSteps"":""2""}"
"3_7rvth52t","[""file:///C:\\Annotation\\FPF\\FPF0004.mp4""]",30.503,30.863,"{""BalletSteps"":""0""}"
"3_UhlNUX31","[""file:///C:\\Annotation\\FPF\\FPF0004.mp4""]",31.918,32.478,"{""BalletSteps"":""9""}"
"3_cOib5j64","[""file:///C:\\Annotation\\FPF\\FPF0004.mp4""]",32.478,33.098,"{""BalletSteps"":""9""}"
"3_bIhSCYaV","[""file:///C:\\Annotation\\FPF\\FPF0004.mp4""]",37.011,37.511,"{""BalletSteps"":""0""}"
"3_mNzyDfgK","[""file:///C:\\Annotation\\FPF\\FPF0004.mp4""]",58.012,64.312,"{""BalletSteps"":""19""}"
"3_XHsej3hL","[""file:///C:\\Annotation\\FPF\\FPF0004.mp4""]",58.272,58.712,"{""BalletSteps"":""9""}"
"3_mLET9JtW","[""file:///C:\\Annotation\\FPF\\FPF0004.mp4""]",59.196,59.596,"{""BalletSteps"":""9""}"
"3_HvPmZSXy","[""file:///C:\\Annotation\\FPF\\FPF0004.mp4""]",60.079,60.479,"{""BalletSteps"":""9""}"
"3_VTvTcxi3","[""file:///C:\\Annotation\\FPF\\FPF0004.mp4""]",60.479,60.999,"{""BalletSteps"":""9""}"
"3_NiSGvqvv","[""file:///C:\\Annotation\\FPF\\FPF0004.mp4""]",61.37,61.81,"{""BalletSteps"":""9""}"
"3_BDc7z4V0","[""file:///C:\\Annotation\\FPF\\FPF0004.mp4""]",62.202,62.642,"{""BalletSteps"":""9""}"
"3_vp0DPB9U","[""file:///C:\\Annotation\\FPF\\FPF0004.mp4""]",63.061,63.501,"{""BalletSteps"":""9""}"
"3_kS5l0qG1","[""file:///C:\\Annotation\\FPF\\FPF0004.mp4""]",63.501,64.141,"{""BalletSteps"":""9""}"
"3_9snu9GHX","[""file:///C:\\Annotation\\FPF\\FPF0004.mp4""]",69.397,70.077,"{""BalletSteps"":""9""}"
"3_pECT71MK","[""file:///C:\\Annotation\\FPF\\FPF0004.mp4""]",72.784,73.264,"{""BalletSteps"":""9""}"
"3_erPnctpM","[""file:///C:\\Annotation\\FPF\\FPF0004.mp4""]",73.264,74.144,"{""BalletSteps"":""9""}"
"4_tHwLrR06","[""file:///C:\\Annotation\\FPF\\FPF0005.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"4_whhFdd5V","[""file:///C:\\Annotation\\FPF\\FPF0005.mp4""]",3.609,4.589,"{""BalletSteps"":""2""}"
"4_YWXXExxG","[""file:///C:\\Annotation\\FPF\\FPF0005.mp4""]",6.292,7.352,"{""BalletSteps"":""2""}"
"4_Xv9v4NOE","[""file:///C:\\Annotation\\FPF\\FPF0005.mp4""]",9.024,9.984,"{""BalletSteps"":""2""}"
"4_yzCPq4q6","[""file:///C:\\Annotation\\FPF\\FPF0005.mp4""]",14.491,15.311,"{""BalletSteps"":""2""}"
"4_V51CMrfY","[""file:///C:\\Annotation\\FPF\\FPF0005.mp4""]",17.07,17.79,"{""BalletSteps"":""2""}"
"4_QWTXmCWo","[""file:///C:\\Annotation\\FPF\\FPF0005.mp4""]",26.331,26.791,"{""BalletSteps"":""9""}"
"4_SND7XdoK","[""file:///C:\\Annotation\\FPF\\FPF0005.mp4""]",26.791,27.411,"{""BalletSteps"":""9""}"
"4_4pryiDFk","[""file:///C:\\Annotation\\FPF\\FPF0005.mp4""]",32.655,32.895,"{""BalletSteps"":""0""}"
"4_sRj75YL6","[""file:///C:\\Annotation\\FPF\\FPF0005.mp4""]",50.276,51.136,"{""BalletSteps"":""9""}"
"4_oun0ueF1","[""file:///C:\\Annotation\\FPF\\FPF0005.mp4""]",61.343,61.843,"{""BalletSteps"":""9""}"
"4_Doq3i99B","[""file:///C:\\Annotation\\FPF\\FPF0005.mp4""]",62.473,62.953,"{""BalletSteps"":""9""}"
