# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_VwSSajrM","[""file:///C:\\Annotation\\FPM\\FPM0000.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_UtmA5nc7","[""file:///C:\\Annotation\\FPM\\FPM0000.mp4""]",1.228,2.108,"{""BalletSteps"":""6""}"
"1_EHcNgxm4","[""file:///C:\\Annotation\\FPM\\FPM0000.mp4""]",3.309,4.249,"{""BalletSteps"":""6""}"
"1_ZKXI9rmQ","[""file:///C:\\Annotation\\FPM\\FPM0000.mp4""]",8.795,9.775,"{""BalletSteps"":""14""}"
"1_Bt2IWeJp","[""file:///C:\\Annotation\\FPM\\FPM0000.mp4""]",17.318,17.798,"{""BalletSteps"":""8""}"
"1_2V9THNw7","[""file:///C:\\Annotation\\FPM\\FPM0000.mp4""]",17.798,18.378,"{""BalletSteps"":""8""}"
"1_GBCQKvuk","[""file:///C:\\Annotation\\FPM\\FPM0000.mp4""]",18.378,18.978,"{""BalletSteps"":""8""}"
"1_0tdArtj3","[""file:///C:\\Annotation\\FPM\\FPM0000.mp4""]",18.978,19.658,"{""BalletSteps"":""8""}"
"1_ODiwCzJW","[""file:///C:\\Annotation\\FPM\\FPM0000.mp4""]",19.658,20.178,"{""BalletSteps"":""8""}"
"1_2CAjH9BD","[""file:///C:\\Annotation\\FPM\\FPM0000.mp4""]",20.178,20.838,"{""BalletSteps"":""8""}"
"1_kB3qFJ1Z","[""file:///C:\\Annotation\\FPM\\FPM0000.mp4""]",20.838,21.478,"{""BalletSteps"":""8""}"
"1_UUPpWtbL","[""file:///C:\\Annotation\\FPM\\FPM0000.mp4""]",22.616,23.396,"{""BalletSteps"":""18""}"
"1_BuVjdfc4","[""file:///C:\\Annotation\\FPM\\FPM0000.mp4""]",26.376,26.856,"{""BalletSteps"":""8""}"
"1_sVXXYhVX","[""file:///C:\\Annotation\\FPM\\FPM0000.mp4""]",26.856,27.296,"{""BalletSteps"":""8""}"
"1_HWTawRdj","[""file:///C:\\Annotation\\FPM\\FPM0000.mp4""]",27.296,27.836,"{""BalletSteps"":""8""}"
"1_2BIBNhZ7","[""file:///C:\\Annotation\\FPM\\FPM0000.mp4""]",27.836,28.236,"{""BalletSteps"":""8""}"
"1_rp1dWf1x","[""file:///C:\\Annotation\\FPM\\FPM0000.mp4""]",28.236,28.656,"{""BalletSteps"":""8""}"
"1_uToDqPSr","[""file:///C:\\Annotation\\FPM\\FPM0000.mp4""]",45.209,45.549,"{""BalletSteps"":""1""}"
"1_CIAmjTnu","[""file:///C:\\Annotation\\FPM\\FPM0000.mp4""]",49.26,49.74,"{""BalletSteps"":""6""}"
"2_vlCwC5Vb","[""file:///C:\\Annotation\\FPM\\FPM0001.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
