# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_yuFSs0pM","[""file:///C:\\Annotation\\FRA\\FRA0000.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_ZwyxGUcX","[""file:///C:\\Annotation\\FRA\\FRA0000.mp4""]",6.385,7.145,"{""BalletSteps"":""6""}"
"1_WzTyWnXX","[""file:///C:\\Annotation\\FRA\\FRA0000.mp4""]",12.128,12.928,"{""BalletSteps"":""16""}"
"1_lP1oZnkP","[""file:///C:\\Annotation\\FRA\\FRA0000.mp4""]",18.001,18.481,"{""BalletSteps"":""8""}"
"1_s960VNTI","[""file:///C:\\Annotation\\FRA\\FRA0000.mp4""]",18.481,18.961,"{""BalletSteps"":""8""}"
"1_HnMYUUN7","[""file:///C:\\Annotation\\FRA\\FRA0000.mp4""]",18.961,19.521,"{""BalletSteps"":""8""}"
"1_E5mUn81Y","[""file:///C:\\Annotation\\FRA\\FRA0000.mp4""]",19.521,20.381,"{""BalletSteps"":""8""}"
"1_HubOfXWq","[""file:///C:\\Annotation\\FRA\\FRA0000.mp4""]",20.381,21.061,"{""BalletSteps"":""8""}"
"1_8zr6TK1i","[""file:///C:\\Annotation\\FRA\\FRA0000.mp4""]",10.292,10.872,"{""BalletSteps"":""15""}"
"1_xHoGs5ZQ","[""file:///C:\\Annotation\\FRA\\FRA0000.mp4""]",22.475,23.035,"{""BalletSteps"":""16""}"
"1_UBqoBDyF","[""file:///C:\\Annotation\\FRA\\FRA0000.mp4""]",23.484,24.004,"{""BalletSteps"":""15""}"
"1_SSgj5c2x","[""file:///C:\\Annotation\\FRA\\FRA0000.mp4""]",26.292,26.732,"{""BalletSteps"":""8""}"
"1_Xx2vkbSW","[""file:///C:\\Annotation\\FRA\\FRA0000.mp4""]",26.732,27.152,"{""BalletSteps"":""8""}"
"1_mwp1bXqj","[""file:///C:\\Annotation\\FRA\\FRA0000.mp4""]",27.152,27.632,"{""BalletSteps"":""8""}"
"1_etsHVh5K","[""file:///C:\\Annotation\\FRA\\FRA0000.mp4""]",37.033,37.873,"{""BalletSteps"":""14""}"
"1_aYQkfEk4","[""file:///C:\\Annotation\\FRA\\FRA0000.mp4""]",41.033,41.793,"{""BalletSteps"":""14""}"
"1_sUae26XD","[""file:///C:\\Annotation\\FRA\\FRA0000.mp4""]",46.198,46.718,"{""BalletSteps"":""6""}"
"1_TJpzu10m","[""file:///C:\\Annotation\\FRA\\FRA0000.mp4""]",47.138,47.658,"{""BalletSteps"":""6""}"
"1_FhDXTM8B","[""file:///C:\\Annotation\\FRA\\FRA0000.mp4""]",46.198,47.658,"{""BalletSteps"":""19""}"
"1_mkXHxIOY","[""file:///C:\\Annotation\\FRA\\FRA0000.mp4""]",47.973,48.573,"{""BalletSteps"":""8""}"
"1_VFme6DcR","[""file:///C:\\Annotation\\FRA\\FRA0000.mp4""]",48.848,49.628,"{""BalletSteps"":""14""}"
"2_XiNSexQR","[""file:///C:\\Annotation\\FRA\\FRA0001.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"2_x3jU5yDX","[""file:///C:\\Annotation\\FRA\\FRA0001.mp4""]",6.27,6.99,"{""BalletSteps"":""7""}"
"2_BbiQWUjm","[""file:///C:\\Annotation\\FRA\\FRA0001.mp4""]",12.302,13.042,"{""BalletSteps"":""4""}"
"2_075XrglX","[""file:///C:\\Annotation\\FRA\\FRA0001.mp4""]",17.979,18.839,"{""BalletSteps"":""10""}"
"2_UeX5MDIR","[""file:///C:\\Annotation\\FRA\\FRA0001.mp4""]",18.839,19.759,"{""BalletSteps"":""11""}"
"2_YcLhLXK0","[""file:///C:\\Annotation\\FRA\\FRA0001.mp4""]",20.774,21.314,"{""BalletSteps"":""9""}"
"2_pRfvso4X","[""file:///C:\\Annotation\\FRA\\FRA0001.mp4""]",21.314,21.934,"{""BalletSteps"":""9""}"
"2_QcPoIs8S","[""file:///C:\\Annotation\\FRA\\FRA0001.mp4""]",28.077,28.657,"{""BalletSteps"":""9""}"
"2_wmh0O9QU","[""file:///C:\\Annotation\\FRA\\FRA0001.mp4""]",28.657,29.177,"{""BalletSteps"":""9""}"
"2_M1gmWIt8","[""file:///C:\\Annotation\\FRA\\FRA0001.mp4""]",29.177,29.837,"{""BalletSteps"":""9""}"
"2_JXObnLIF","[""file:///C:\\Annotation\\FRA\\FRA0001.mp4""]",38.335,39.275,"{""BalletSteps"":""14""}"
"2_AQHU7rnv","[""file:///C:\\Annotation\\FRA\\FRA0001.mp4""]",42.528,43.308,"{""BalletSteps"":""14""}"
"2_3KkQd5D5","[""file:///C:\\Annotation\\FRA\\FRA0001.mp4""]",44.901,45.941,"{""BalletSteps"":""0""}"
"2_AfkPYdK1","[""file:///C:\\Annotation\\FRA\\FRA0001.mp4""]",49.124,49.664,"{""BalletSteps"":""6""}"
"2_NK20o2Me","[""file:///C:\\Annotation\\FRA\\FRA0001.mp4""]",50.11,50.69,"{""BalletSteps"":""6""}"
"2_QVUKioGL","[""file:///C:\\Annotation\\FRA\\FRA0001.mp4""]",51.782,52.562,"{""BalletSteps"":""14""}"
"3_d6Y7oNCn","[""file:///C:\\Annotation\\FRA\\FRA0002.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"3_ahLjOWba","[""file:///C:\\Annotation\\FRA\\FRA0002.mp4""]",6.135,6.855,"{""BalletSteps"":""7""}"
"3_YXX9bgFJ","[""file:///C:\\Annotation\\FRA\\FRA0002.mp4""]",12.159,12.859,"{""BalletSteps"":""4""}"
"3_WBmyQ2VN","[""file:///C:\\Annotation\\FRA\\FRA0002.mp4""]",17.709,18.609,"{""BalletSteps"":""10""}"
"3_62M43Vja","[""file:///C:\\Annotation\\FRA\\FRA0002.mp4""]",18.609,19.589,"{""BalletSteps"":""11""}"
"3_cgjW2w9n","[""file:///C:\\Annotation\\FRA\\FRA0002.mp4""]",20.456,21.036,"{""BalletSteps"":""9""}"
"3_miVgfOCZ","[""file:///C:\\Annotation\\FRA\\FRA0002.mp4""]",21.036,21.716,"{""BalletSteps"":""9""}"
"3_P7QuWfPm","[""file:///C:\\Annotation\\FRA\\FRA0002.mp4""]",27.682,28.282,"{""BalletSteps"":""9""}"
"3_8x20t36S","[""file:///C:\\Annotation\\FRA\\FRA0002.mp4""]",28.282,28.802,"{""BalletSteps"":""9""}"
"3_6MVk5Kpd","[""file:///C:\\Annotation\\FRA\\FRA0002.mp4""]",28.802,29.362,"{""BalletSteps"":""9""}"
"3_QaJLSzp0","[""file:///C:\\Annotation\\FRA\\FRA0002.mp4""]",29.362,30.122,"{""BalletSteps"":""9""}"
"3_DPhXTkDB","[""file:///C:\\Annotation\\FRA\\FRA0002.mp4""]",38.274,39.194,"{""BalletSteps"":""14""}"
"3_CLWJXMR6","[""file:///C:\\Annotation\\FRA\\FRA0002.mp4""]",42.491,43.471,"{""BalletSteps"":""14""}"
"3_JvaLmrjW","[""file:///C:\\Annotation\\FRA\\FRA0002.mp4""]",44.804,45.424,"{""BalletSteps"":""0""}"
"3_w4yG5uN3","[""file:///C:\\Annotation\\FRA\\FRA0002.mp4""]",48.821,49.421,"{""BalletSteps"":""6""}"
"3_xTmSCiGs","[""file:///C:\\Annotation\\FRA\\FRA0002.mp4""]",49.841,50.461,"{""BalletSteps"":""6""}"
"3_WRMcFsJX","[""file:///C:\\Annotation\\FRA\\FRA0002.mp4""]",51.517,52.197,"{""BalletSteps"":""14""}"
"4_zW3WjzdN","[""file:///C:\\Annotation\\FRA\\FRA0003.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"4_xXcF4Oh7","[""file:///C:\\Annotation\\FRA\\FRA0003.mp4""]",1.652,2.392,"{""BalletSteps"":""4""}"
"4_eViL9JKF","[""file:///C:\\Annotation\\FRA\\FRA0003.mp4""]",6.018,6.798,"{""BalletSteps"":""7""}"
"4_7CTQcupb","[""file:///C:\\Annotation\\FRA\\FRA0003.mp4""]",9.974,10.234,"{""BalletSteps"":""0""}"
"4_BRErgqgi","[""file:///C:\\Annotation\\FRA\\FRA0003.mp4""]",11.762,12.582,"{""BalletSteps"":""15""}"
"4_YICMRH2D","[""file:///C:\\Annotation\\FRA\\FRA0003.mp4""]",17.565,18.025,"{""BalletSteps"":""9""}"
"4_ADsW19Na","[""file:///C:\\Annotation\\FRA\\FRA0003.mp4""]",18.025,18.485,"{""BalletSteps"":""9""}"
"4_xBX3iRe2","[""file:///C:\\Annotation\\FRA\\FRA0003.mp4""]",18.485,19.005,"{""BalletSteps"":""9""}"
"4_8evBIWYs","[""file:///C:\\Annotation\\FRA\\FRA0003.mp4""]",19.005,19.745,"{""BalletSteps"":""9""}"
"4_nXdFeIEB","[""file:///C:\\Annotation\\FRA\\FRA0003.mp4""]",19.745,20.265,"{""BalletSteps"":""9""}"
"4_9Tz3VQXc","[""file:///C:\\Annotation\\FRA\\FRA0003.mp4""]",21.892,22.412,"{""BalletSteps"":""15""}"
"4_ir80Ewi6","[""file:///C:\\Annotation\\FRA\\FRA0003.mp4""]",22.814,23.434,"{""BalletSteps"":""16""}"
"4_kmFLt3o1","[""file:///C:\\Annotation\\FRA\\FRA0003.mp4""]",25.992,26.432,"{""BalletSteps"":""9""}"
"4_Lqaqmvsv","[""file:///C:\\Annotation\\FRA\\FRA0003.mp4""]",26.432,26.892,"{""BalletSteps"":""9""}"
"4_0oQQwHY1","[""file:///C:\\Annotation\\FRA\\FRA0003.mp4""]",26.892,27.332,"{""BalletSteps"":""9""}"
"4_gFcR4NbL","[""file:///C:\\Annotation\\FRA\\FRA0003.mp4""]",27.332,27.872,"{""BalletSteps"":""9""}"
"4_0QWXopGI","[""file:///C:\\Annotation\\FRA\\FRA0003.mp4""]",37.009,37.889,"{""BalletSteps"":""14""}"
"4_HCB9nXuB","[""file:///C:\\Annotation\\FRA\\FRA0003.mp4""]",40.625,41.505,"{""BalletSteps"":""14""}"
"4_UK5eMXxI","[""file:///C:\\Annotation\\FRA\\FRA0003.mp4""]",42.308,42.648,"{""BalletSteps"":""0""}"
"4_yo9L7jch","[""file:///C:\\Annotation\\FRA\\FRA0003.mp4""]",46.712,47.172,"{""BalletSteps"":""9""}"
"4_vbabMOSn","[""file:///C:\\Annotation\\FRA\\FRA0003.mp4""]",47.172,47.612,"{""BalletSteps"":""9""}"
"4_kmGREuaF","[""file:///C:\\Annotation\\FRA\\FRA0003.mp4""]",47.612,48.032,"{""BalletSteps"":""9""}"
"4_PFnTzd2x","[""file:///C:\\Annotation\\FRA\\FRA0003.mp4""]",48.032,48.552,"{""BalletSteps"":""9""}"
"4_lezo2LUR","[""file:///C:\\Annotation\\FRA\\FRA0003.mp4""]",48.815,49.435,"{""BalletSteps"":""14""}"
"5_aAJE61bt","[""file:///C:\\Annotation\\FRA\\FRA0004.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"5_z3GuIuOv","[""file:///C:\\Annotation\\FRA\\FRA0004.mp4""]",1.415,2.095,"{""BalletSteps"":""4""}"
"5_nDncQ3G4","[""file:///C:\\Annotation\\FRA\\FRA0004.mp4""]",5.734,6.494,"{""BalletSteps"":""7""}"
"5_WNT0LG4P","[""file:///C:\\Annotation\\FRA\\FRA0004.mp4""]",11.803,12.583,"{""BalletSteps"":""15""}"
"5_qwfrPWx9","[""file:///C:\\Annotation\\FRA\\FRA0004.mp4""]",18.372,18.932,"{""BalletSteps"":""8""}"
"5_95m0Grkz","[""file:///C:\\Annotation\\FRA\\FRA0004.mp4""]",18.932,19.412,"{""BalletSteps"":""8""}"
"5_xBegggGO","[""file:///C:\\Annotation\\FRA\\FRA0004.mp4""]",19.412,19.992,"{""BalletSteps"":""8""}"
"5_RJ57oxbY","[""file:///C:\\Annotation\\FRA\\FRA0004.mp4""]",19.992,20.812,"{""BalletSteps"":""8""}"
"5_pex2Lj2N","[""file:///C:\\Annotation\\FRA\\FRA0004.mp4""]",23.004,23.604,"{""BalletSteps"":""16""}"
"5_ADWvHoB9","[""file:///C:\\Annotation\\FRA\\FRA0004.mp4""]",24.048,24.628,"{""BalletSteps"":""15""}"
"5_NNXavmvJ","[""file:///C:\\Annotation\\FRA\\FRA0004.mp4""]",26.929,27.489,"{""BalletSteps"":""8""}"
"5_Rd3jyshk","[""file:///C:\\Annotation\\FRA\\FRA0004.mp4""]",27.489,27.969,"{""BalletSteps"":""8""}"
"5_elqe8VNP","[""file:///C:\\Annotation\\FRA\\FRA0004.mp4""]",27.969,28.609,"{""BalletSteps"":""8""}"
"5_le37n7by","[""file:///C:\\Annotation\\FRA\\FRA0004.mp4""]",28.609,29.509,"{""BalletSteps"":""8""}"
"5_7pd7mwmE","[""file:///C:\\Annotation\\FRA\\FRA0004.mp4""]",38.567,39.587,"{""BalletSteps"":""14""}"
"5_seoaxK7m","[""file:///C:\\Annotation\\FRA\\FRA0004.mp4""]",42.733,43.773,"{""BalletSteps"":""14""}"
"5_6GwlglwK","[""file:///C:\\Annotation\\FRA\\FRA0004.mp4""]",46.907,47.747,"{""BalletSteps"":""14""}"
"5_edSgw2F3","[""file:///C:\\Annotation\\FRA\\FRA0004.mp4""]",50.103,50.583,"{""BalletSteps"":""8""}"
"5_OpX5KgkJ","[""file:///C:\\Annotation\\FRA\\FRA0004.mp4""]",50.583,51.043,"{""BalletSteps"":""8""}"
"5_9nxoCOen","[""file:///C:\\Annotation\\FRA\\FRA0004.mp4""]",51.043,51.543,"{""BalletSteps"":""8""}"
"5_xveZoNdN","[""file:///C:\\Annotation\\FRA\\FRA0004.mp4""]",51.718,52.558,"{""BalletSteps"":""14""}"
"6_NLsCDhSC","[""file:///C:\\Annotation\\FRA\\FRA0005.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"6_SrkWUD0D","[""file:///C:\\Annotation\\FRA\\FRA0005.mp4""]",1.803,2.703,"{""BalletSteps"":""15""}"
