# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_V2tzudtW","[""file:///C:\\Annotation\\GAM\\GAM0001.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_D4R7OXib","[""file:///C:\\Annotation\\GAM\\GAM0001.mp4""]",2.236,2.876,"{""BalletSteps"":""4""}"
"1_BA13SCO8","[""file:///C:\\Annotation\\GAM\\GAM0001.mp4""]",4.273,4.973,"{""BalletSteps"":""6""}"
"1_X7Ms2Z4F","[""file:///C:\\Annotation\\GAM\\GAM0001.mp4""]",11.727,12.467,"{""BalletSteps"":""7""}"
"1_rLBIYJmb","[""file:///C:\\Annotation\\GAM\\GAM0001.mp4""]",13.562,14.302,"{""BalletSteps"":""7""}"
"1_gxjlpt58","[""file:///C:\\Annotation\\GAM\\GAM0001.mp4""]",22.781,23.841,"{""BalletSteps"":""8""}"
"1_O3VZIZ7q","[""file:///C:\\Annotation\\GAM\\GAM0001.mp4""]",28.272,29.272,"{""BalletSteps"":""8""}"
"1_AEADOis3","[""file:///C:\\Annotation\\GAM\\GAM0001.mp4""]",33.3,34.06,"{""BalletSteps"":""8""}"
"1_g2MwOLxx","[""file:///C:\\Annotation\\GAM\\GAM0001.mp4""]",34.06,34.72,"{""BalletSteps"":""8""}"
"1_EP9BAuAE","[""file:///C:\\Annotation\\GAM\\GAM0001.mp4""]",42.05,42.93,"{""BalletSteps"":""8""}"
"1_dVXkVJYJ","[""file:///C:\\Annotation\\GAM\\GAM0001.mp4""]",42.93,43.91,"{""BalletSteps"":""8""}"
"1_UT3MnX7k","[""file:///C:\\Annotation\\GAM\\GAM0001.mp4""]",43.91,44.43,"{""BalletSteps"":""8""}"
"1_ZlThoiX7","[""file:///C:\\Annotation\\GAM\\GAM0001.mp4""]",47.208,47.968,"{""BalletSteps"":""8""}"
"1_XwXct126","[""file:///C:\\Annotation\\GAM\\GAM0001.mp4""]",47.968,48.908,"{""BalletSteps"":""8""}"
"1_eWcheSWd","[""file:///C:\\Annotation\\GAM\\GAM0001.mp4""]",48.908,49.548,"{""BalletSteps"":""8""}"
"1_am7ElDUv","[""file:///C:\\Annotation\\GAM\\GAM0001.mp4""]",62.308,62.968,"{""BalletSteps"":""6""}"
"1_hzBIBjv8","[""file:///C:\\Annotation\\GAM\\GAM0001.mp4""]",71.583,72.243,"{""BalletSteps"":""7""}"
"1_WeEmbzfi","[""file:///C:\\Annotation\\GAM\\GAM0001.mp4""]",71.583,72.243,"{""BalletSteps"":""19""}"
"1_XqgrWhQ8","[""file:///C:\\Annotation\\GAM\\GAM0001.mp4""]",74.101,74.641,"{""BalletSteps"":""0""}"
"1_tzVhMAH7","[""file:///C:\\Annotation\\GAM\\GAM0001.mp4""]",64.872,65.272,"{""BalletSteps"":""12""}"
"1_wqQyWCtM","[""file:///C:\\Annotation\\GAM\\GAM0001.mp4""]",76.774,77.334,"{""BalletSteps"":""6""}"
"1_4RvL3Nr1","[""file:///C:\\Annotation\\GAM\\GAM0001.mp4""]",77.685,78.325,"{""BalletSteps"":""6""}"
"1_rezi6zaa","[""file:///C:\\Annotation\\GAM\\GAM0001.mp4""]",78.668,79.368,"{""BalletSteps"":""6""}"
"2_MVd5GD4Z","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"2_4ZaUJAdN","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",2.249,2.909,"{""BalletSteps"":""4""}"
"2_FiS8D8h7","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",4.294,4.934,"{""BalletSteps"":""6""}"
"2_Nv85TRIm","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",11.373,12.053,"{""BalletSteps"":""7""}"
"2_ZIrDp4fR","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",12.386,13.086,"{""BalletSteps"":""7""}"
"2_iUyBXfcc","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",15.255,16.735,"{""BalletSteps"":""2""}"
"2_K3YXnOeK","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",21.997,23.017,"{""BalletSteps"":""8""}"
"2_2R5m8ZXW","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",26.865,27.985,"{""BalletSteps"":""8""}"
"2_bxG51iFv","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",30.645,31.425,"{""BalletSteps"":""8""}"
"2_jq2SLtSf","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",31.425,32.125,"{""BalletSteps"":""8""}"
"1_FPX3b5Xs","[""file:///C:\\Annotation\\GAM\\GAM0001.mp4""]",22.781,23.861,"{""BalletSteps"":""19""}"
"1_SiaKKX2b","[""file:///C:\\Annotation\\GAM\\GAM0001.mp4""]",28.272,29.272,"{""BalletSteps"":""19""}"
"2_FHiXaK4Z","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",13.41,14.09,"{""BalletSteps"":""7""}"
"2_oBvGvOes","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",21.997,23.017,"{""BalletSteps"":""19""}"
"2_JQHr2prT","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",26.865,27.985,"{""BalletSteps"":""19""}"
"2_DGwWGNhd","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",40.045,40.965,"{""BalletSteps"":""8""}"
"2_y1llLktr","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",40.965,41.885,"{""BalletSteps"":""8""}"
"2_32UBXBhs","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",41.885,42.505,"{""BalletSteps"":""8""}"
"2_VPagvXFA","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",45.313,46.253,"{""BalletSteps"":""8""}"
"2_4qvkDXTA","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",46.253,47.113,"{""BalletSteps"":""8""}"
"2_Xbo6ZfPV","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",50.492,51.292,"{""BalletSteps"":""8""}"
"2_R8tPxDTR","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",51.292,52.392,"{""BalletSteps"":""8""}"
"2_EXGcysuD","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",60.071,60.791,"{""BalletSteps"":""6""}"
"2_JXvvoOb8","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",64.492,65.192,"{""BalletSteps"":""7""}"
"2_PXVVLXii","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",64.492,69.352,"{""BalletSteps"":""19""}"
"2_nagf8IsL","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",66.53,66.91,"{""BalletSteps"":""0""}"
"2_PEZSAqlq","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",68.617,69.337,"{""BalletSteps"":""7""}"
"2_QOMqE6xU","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",72.677,73.377,"{""BalletSteps"":""6""}"
"2_0vAQ9E8F","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",73.694,74.334,"{""BalletSteps"":""6""}"
"2_8SJj8XsM","[""file:///C:\\Annotation\\GAM\\GAM0002.mp4""]",74.637,75.277,"{""BalletSteps"":""6""}"
"3_MANLOaVU","[""file:///C:\\Annotation\\GAM\\GAM0003.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"3_9ZAy6Syu","[""file:///C:\\Annotation\\GAM\\GAM0003.mp4""]",1.41,1.95,"{""BalletSteps"":""12""}"
"3_ooNNrbdd","[""file:///C:\\Annotation\\GAM\\GAM0003.mp4""]",4.254,4.974,"{""BalletSteps"":""6""}"
"3_Camudmcs","[""file:///C:\\Annotation\\GAM\\GAM0003.mp4""]",11.098,11.798,"{""BalletSteps"":""7""}"
"3_kxqCNoXI","[""file:///C:\\Annotation\\GAM\\GAM0003.mp4""]",13.122,13.762,"{""BalletSteps"":""7""}"
"3_tMOkKYdX","[""file:///C:\\Annotation\\GAM\\GAM0003.mp4""]",22.39,23.29,"{""BalletSteps"":""8""}"
"3_bdkWY50r","[""file:///C:\\Annotation\\GAM\\GAM0003.mp4""]",22.39,23.29392,"{""BalletSteps"":""19""}"
"3_YsNPavPn","[""file:///C:\\Annotation\\GAM\\GAM0003.mp4""]",26.635,27.435,"{""BalletSteps"":""8""}"
"3_AyLyQYcU","[""file:///C:\\Annotation\\GAM\\GAM0003.mp4""]",26.635,27.435,"{""BalletSteps"":""19""}"
