# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_8v7M6LJ6","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_SALuBUXa","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",6.93,8.49,"{""BalletSteps"":""0""}"
"1_OXC9xzcj","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",18.689,19.649,"{""BalletSteps"":""1""}"
"1_wlN0ARst","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",25.453,26.073,"{""BalletSteps"":""1""}"
"1_yVIOFIql","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",30.617,31.617,"{""BalletSteps"":""8""}"
"1_RCqQz1u2","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",33.843,34.423,"{""BalletSteps"":""1""}"
"1_Yp486c6U","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",30.617,31.617,"{""BalletSteps"":""19""}"
"1_NcZBRJgA","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",36.538,37.598,"{""BalletSteps"":""8""}"
"1_pZXRVlJX","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",36.538,37.598,"{""BalletSteps"":""19""}"
"1_3G9yXteb","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",43.272,44.192,"{""BalletSteps"":""8""}"
"1_cZLIeLwI","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",44.192,44.832,"{""BalletSteps"":""9""}"
"1_LhOeWgUE","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",44.832,45.752,"{""BalletSteps"":""9""}"
"1_wTvSqiSd","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",47.964,48.944,"{""BalletSteps"":""9""}"
"1_lC0TODJz","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",48.944,50.024,"{""BalletSteps"":""8""}"
"1_0P807QCy","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",83.085,83.885,"{""BalletSteps"":""8""}"
"1_BaL98NiZ","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",83.885,84.745,"{""BalletSteps"":""8""}"
"1_j9JxYQSu","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",84.745,85.505,"{""BalletSteps"":""8""}"
"1_4VJ9AT9f","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",84.745,89.785,"{""BalletSteps"":""19""}"
"1_gx6YSZ6G","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",85.505,86.165,"{""BalletSteps"":""8""}"
"1_dAPMnP4t","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",86.165,86.865,"{""BalletSteps"":""8""}"
"1_sGD3x6GY","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",86.865,87.625,"{""BalletSteps"":""8""}"
"1_AqvMvyXX","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",87.625,88.485,"{""BalletSteps"":""8""}"
"1_E2yQRLzz","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",88.485,89.145,"{""BalletSteps"":""8""}"
"1_AmqdnuAc","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",89.145,89.785,"{""BalletSteps"":""8""}"
"1_qigH6qUn","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",89.785,90.505,"{""BalletSteps"":""8""}"
"1_SFTPuZUl","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",90.505,91.345,"{""BalletSteps"":""8""}"
"1_qKTOxjVY","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",91.345,92.305,"{""BalletSteps"":""8""}"
"1_OdBpAZdq","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",92.305,93.745,"{""BalletSteps"":""8""}"
"1_dwwKmkH1","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",95.741,96.461,"{""BalletSteps"":""9""}"
"1_yQnEPOFX","[""file:///C:\\Annotation\\GIS\\GIS0002.mp4""]",96.461,97.401,"{""BalletSteps"":""9""}"
"2_1eWVuhwX","[""file:///C:\\Annotation\\GIS\\GIS0004.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"2_SgkSAtwQ","[""file:///C:\\Annotation\\GIS\\GIS0004.mp4""]",6.766,8.246,"{""BalletSteps"":""0""}"
"2_MpkrKGFo","[""file:///C:\\Annotation\\GIS\\GIS0004.mp4""]",12.066,12.426,"{""BalletSteps"":""1""}"
"2_Ho0cCGtx","[""file:///C:\\Annotation\\GIS\\GIS0004.mp4""]",18.223,19.763,"{""BalletSteps"":""1""}"
"2_FXG1f8A7","[""file:///C:\\Annotation\\GIS\\GIS0004.mp4""]",27.787,28.427,"{""BalletSteps"":""1""}"
"2_D3OXdCmj","[""file:///C:\\Annotation\\GIS\\GIS0004.mp4""]",30.286,31.186,"{""BalletSteps"":""8""}"
