# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_R0UmEYvk","[""file:///C:\\Annotation\\GPM\\GPM0000.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"20_Ma5LTvX7","[""file:///C:\\Annotation\\GPM\\GPM0023.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"19_lu6GAPyp","[""file:///C:\\Annotation\\GPM\\GPM0022.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_RjMRxMGq","[""file:///C:\\Annotation\\GPM\\GPM0000.mp4""]",2.19,2.93,"{""BalletSteps"":""7""}"
"1_v6JF2lq6","[""file:///C:\\Annotation\\GPM\\GPM0000.mp4""]",3.026,3.866,"{""BalletSteps"":""9""}"
"1_nwjwkvum","[""file:///C:\\Annotation\\GPM\\GPM0000.mp4""]",3.866,5.086,"{""BalletSteps"":""14""}"
"1_LDfJ0cZO","[""file:///C:\\Annotation\\GPM\\GPM0000.mp4""]",6.957,7.677,"{""BalletSteps"":""7""}"
"1_uXQ0uInb","[""file:///C:\\Annotation\\GPM\\GPM0000.mp4""]",7.837,8.537,"{""BalletSteps"":""9""}"
"1_hOXdIDeH","[""file:///C:\\Annotation\\GPM\\GPM0000.mp4""]",8.537,9.737,"{""BalletSteps"":""14""}"
"1_d5XoShSs","[""file:///C:\\Annotation\\GPM\\GPM0000.mp4""]",11.443,12.163,"{""BalletSteps"":""7""}"
"1_ipJ6GUVF","[""file:///C:\\Annotation\\GPM\\GPM0000.mp4""]",12.323,13.063,"{""BalletSteps"":""9""}"
"1_zfDAQsOQ","[""file:///C:\\Annotation\\GPM\\GPM0000.mp4""]",13.063,14.243,"{""BalletSteps"":""14""}"
"1_Yu8q2Qfy","[""file:///C:\\Annotation\\GPM\\GPM0000.mp4""]",21.139,21.859,"{""BalletSteps"":""6""}"
