# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_1Jk2uF5A","[""file:///C:\\Annotation\\GUL\\GUL0000.mp4""]",,,"{""OnlyOneDancer?"":""1""}"
"20_gyQFDWAf","[""file:///C:\\Annotation\\GUL\\GUL0022.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_uroNpp5b","[""file:///C:\\Annotation\\GUL\\GUL0000.mp4""]",1.63,2.01,"{""BalletSteps"":""12""}"
"1_vVBCkGW5","[""file:///C:\\Annotation\\GUL\\GUL0000.mp4""]",3.948,4.248,"{""BalletSteps"":""2""}"
"1_4llB7LXy","[""file:///C:\\Annotation\\GUL\\GUL0000.mp4""]",10.673,11.133,"{""BalletSteps"":""12""}"
"1_9xjXZxQd","[""file:///C:\\Annotation\\GUL\\GUL0000.mp4""]",12.935,13.295,"{""BalletSteps"":""2""}"
"1_ZbgLhuwn","[""file:///C:\\Annotation\\GUL\\GUL0000.mp4""]",16.975,17.51642,"{""BalletSteps"":""2""}"
"1_FxA2MZso","[""file:///C:\\Annotation\\GUL\\GUL0000.mp4""]",29.193,29.833,"{""BalletSteps"":""2""}"
"1_il7cqjJN","[""file:///C:\\Annotation\\GUL\\GUL0000.mp4""]",30.696,31.236,"{""BalletSteps"":""2""}"
"19_z4XseRTT","[""file:///C:\\Annotation\\GUL\\GUL0021.mp4""]",,,"{""OnlyOneDancer?"":""1""}"
"18_9PlXpWPK","[""file:///C:\\Annotation\\GUL\\GUL0020.mp4""]",,,"{""OnlyOneDancer?"":""1""}"
"1_Ma8VjswT","[""file:///C:\\Annotation\\GUL\\GUL0000.mp4""]",45.628,46.328,"{""BalletSteps"":""8""}"
"1_phOrpZIX","[""file:///C:\\Annotation\\GUL\\GUL0000.mp4""]",46.328,46.948,"{""BalletSteps"":""8""}"
"1_HhknXKnf","[""file:///C:\\Annotation\\GUL\\GUL0000.mp4""]",47.972,48.632,"{""BalletSteps"":""8""}"
"1_o1vN9WFE","[""file:///C:\\Annotation\\GUL\\GUL0000.mp4""]",48.632,49.292,"{""BalletSteps"":""8""}"
"1_MLghbimQ","[""file:///C:\\Annotation\\GUL\\GUL0000.mp4""]",52.12,52.52,"{""BalletSteps"":""0""}"
"1_v8Y4MSuP","[""file:///C:\\Annotation\\GUL\\GUL0000.mp4""]",6.568,7.16476,"{""BalletSteps"":""1""}"
"1_UoagMhsW","[""file:///C:\\Annotation\\GUL\\GUL0000.mp4""]",8.787,9.25226,"{""BalletSteps"":""0""}"
"1_04zwzY5R","[""file:///C:\\Annotation\\GUL\\GUL0000.mp4""]",55.003,55.703,"{""BalletSteps"":""8""}"
"1_Ngn2L8UP","[""file:///C:\\Annotation\\GUL\\GUL0000.mp4""]",57.231,57.931,"{""BalletSteps"":""8""}"
"1_XDKtDpF0","[""file:///C:\\Annotation\\GUL\\GUL0000.mp4""]",57.931,58.531,"{""BalletSteps"":""8""}"
"1_OSIxn6kR","[""file:///C:\\Annotation\\GUL\\GUL0000.mp4""]",63.39,64.23,"{""BalletSteps"":""2""}"
"1_yNv3T1PU","[""file:///C:\\Annotation\\GUL\\GUL0000.mp4""]",65.04,65.82,"{""BalletSteps"":""8""}"
"1_cUUvtaCq","[""file:///C:\\Annotation\\GUL\\GUL0000.mp4""]",65.82,66.64,"{""BalletSteps"":""8""}"
"2_dXVRmZH1","[""file:///C:\\Annotation\\GUL\\GUL0001.mp4""]",,,"{""OnlyOneDancer?"":""1""}"
"2_XhT8FUjN","[""file:///C:\\Annotation\\GUL\\GUL0001.mp4""]",1.669,2.129,"{""BalletSteps"":""12""}"
"2_ziAUI1na","[""file:///C:\\Annotation\\GUL\\GUL0001.mp4""]",4.432,5.452,"{""BalletSteps"":""2""}"
"2_Vkk6iPrX","[""file:///C:\\Annotation\\GUL\\GUL0001.mp4""]",7.271,7.691,"{""BalletSteps"":""0""}"
"2_T8IbRKtE","[""file:///C:\\Annotation\\GUL\\GUL0001.mp4""]",9.579,10.02142,"{""BalletSteps"":""1""}"
"2_qilyc8UQ","[""file:///C:\\Annotation\\GUL\\GUL0001.mp4""]",11.531,11.931,"{""BalletSteps"":""13""}"
"2_ilXSnSXU","[""file:///C:\\Annotation\\GUL\\GUL0001.mp4""]",14.11,15.03,"{""BalletSteps"":""2""}"
"2_SggXQVQO","[""file:///C:\\Annotation\\GUL\\GUL0001.mp4""]",16.645,17.505,"{""BalletSteps"":""1""}"
"2_pKZmX64a","[""file:///C:\\Annotation\\GUL\\GUL0001.mp4""]",18.591,19.591,"{""BalletSteps"":""2""}"
"2_ZFQAO4v7","[""file:///C:\\Annotation\\GUL\\GUL0001.mp4""]",30.038,30.738,"{""BalletSteps"":""2""}"
"2_Qlx3beuR","[""file:///C:\\Annotation\\GUL\\GUL0001.mp4""]",31.575,32.075,"{""BalletSteps"":""2""}"
"2_tXqf5K6R","[""file:///C:\\Annotation\\GUL\\GUL0001.mp4""]",49.729,50.529,"{""BalletSteps"":""8""}"
"2_frRNyKJG","[""file:///C:\\Annotation\\GUL\\GUL0001.mp4""]",50.529,51.229,"{""BalletSteps"":""8""}"
"2_VaLvk3va","[""file:///C:\\Annotation\\GUL\\GUL0001.mp4""]",51.381,52.021,"{""BalletSteps"":""8""}"
"2_7i3SbO68","[""file:///C:\\Annotation\\GUL\\GUL0001.mp4""]",52.021,52.621,"{""BalletSteps"":""8""}"
