# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_zVt1GZim","[""file:///C:\\Annotation\\HAF\\HAF0002.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"20_YIWC1heu","[""file:///C:\\Annotation\\HAF\\HAF0025.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_DApdcA4b","[""file:///C:\\Annotation\\HAF\\HAF0002.mp4""]",5.57,5.91,"{""BalletSteps"":""0""}"
"1_V6NuqEQs","[""file:///C:\\Annotation\\HAF\\HAF0002.mp4""]",9.283,10.623,"{""BalletSteps"":""2""}"
"1_Lq74BitF","[""file:///C:\\Annotation\\HAF\\HAF0002.mp4""]",12.986,13.806,"{""BalletSteps"":""2""}"
"1_RTA37ugX","[""file:///C:\\Annotation\\HAF\\HAF0002.mp4""]",16.371,18.131,"{""BalletSteps"":""2""}"
"1_kTOZCuBO","[""file:///C:\\Annotation\\HAF\\HAF0002.mp4""]",21.296,21.696,"{""BalletSteps"":""0""}"
"1_9E2aXyI8","[""file:///C:\\Annotation\\HAF\\HAF0002.mp4""]",24.934,25.574,"{""BalletSteps"":""9""}"
"1_bJs9BmHq","[""file:///C:\\Annotation\\HAF\\HAF0002.mp4""]",25.574,26.114,"{""BalletSteps"":""9""}"
"1_xZk189XD","[""file:///C:\\Annotation\\HAF\\HAF0002.mp4""]",26.114,26.674,"{""BalletSteps"":""9""}"
"1_s1mbagfX","[""file:///C:\\Annotation\\HAF\\HAF0002.mp4""]",26.674,27.274,"{""BalletSteps"":""9""}"
"1_pjSxz10J","[""file:///C:\\Annotation\\HAF\\HAF0002.mp4""]",28.728,29.468,"{""BalletSteps"":""9""}"
"1_yLVvFEt5","[""file:///C:\\Annotation\\HAF\\HAF0002.mp4""]",29.468,30.028,"{""BalletSteps"":""9""}"
"1_ub2iCo1Y","[""file:///C:\\Annotation\\HAF\\HAF0002.mp4""]",30.028,30.728,"{""BalletSteps"":""9""}"
"2_vsxGMf5g","[""file:///C:\\Annotation\\HAF\\HAF0003.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_N6WLNXVB","[""file:///C:\\Annotation\\HAF\\HAF0002.mp4""]",32.666,33.946,"{""BalletSteps"":""2""}"
"1_kGK2JinH","[""file:///C:\\Annotation\\HAF\\HAF0002.mp4""]",42.893,43.413,"{""BalletSteps"":""9""}"
"1_Wz4hJqsG","[""file:///C:\\Annotation\\HAF\\HAF0002.mp4""]",46.675,47.475,"{""BalletSteps"":""9""}"
"1_6ScnAoDF","[""file:///C:\\Annotation\\HAF\\HAF0002.mp4""]",46.675,47.675,"{""BalletSteps"":""19""}"
"1_DWhMyu2x","[""file:///C:\\Annotation\\HAF\\HAF0002.mp4""]",48.138,48.798,"{""BalletSteps"":""9""}"
