# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_sdSiRIvw","[""file:///C:\\Annotation\\HAM\\HAM0000.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_0OxQj35Q","[""file:///C:\\Annotation\\HAM\\HAM0000.mp4""]",3.968,4.908,"{""BalletSteps"":""14""}"
"1_xZ62TCHC","[""file:///C:\\Annotation\\HAM\\HAM0000.mp4""]",9.767,10.747,"{""BalletSteps"":""14""}"
"1_0FY0Ulsg","[""file:///C:\\Annotation\\HAM\\HAM0000.mp4""]",15.248,16.228,"{""BalletSteps"":""14""}"
"1_t1f7DPst","[""file:///C:\\Annotation\\HAM\\HAM0000.mp4""]",27.774,28.234,"{""BalletSteps"":""8""}"
"1_Fhl6CTIX","[""file:///C:\\Annotation\\HAM\\HAM0000.mp4""]",28.234,28.694,"{""BalletSteps"":""8""}"
"1_lMC6Xux1","[""file:///C:\\Annotation\\HAM\\HAM0000.mp4""]",28.694,29.294,"{""BalletSteps"":""8""}"
"1_nLlVrjfH","[""file:///C:\\Annotation\\HAM\\HAM0000.mp4""]",29.294,30.194,"{""BalletSteps"":""8""}"
"1_gyHXDrcT","[""file:///C:\\Annotation\\HAM\\HAM0000.mp4""]",30.439,31.459,"{""BalletSteps"":""14""}"
"1_jLAfHNbQ","[""file:///C:\\Annotation\\HAM\\HAM0000.mp4""]",33.173,33.793,"{""BalletSteps"":""15""}"
"1_9hsKFkLR","[""file:///C:\\Annotation\\HAM\\HAM0000.mp4""]",34.255,34.875,"{""BalletSteps"":""16""}"
"1_YJOe5TU4","[""file:///C:\\Annotation\\HAM\\HAM0000.mp4""]",39.749,40.169,"{""BalletSteps"":""8""}"
"1_OLNxYye4","[""file:///C:\\Annotation\\HAM\\HAM0000.mp4""]",40.169,40.629,"{""BalletSteps"":""8""}"
"1_slRX1HNq","[""file:///C:\\Annotation\\HAM\\HAM0000.mp4""]",40.629,41.209,"{""BalletSteps"":""8""}"
"1_hdnTxQi1","[""file:///C:\\Annotation\\HAM\\HAM0000.mp4""]",41.209,41.749,"{""BalletSteps"":""8""}"
"1_EXA74vlx","[""file:///C:\\Annotation\\HAM\\HAM0000.mp4""]",52.912,53.792,"{""BalletSteps"":""14""}"
"1_IkvzWnyU","[""file:///C:\\Annotation\\HAM\\HAM0000.mp4""]",59.603,60.463,"{""BalletSteps"":""14""}"
"1_KO45Q7eF","[""file:///C:\\Annotation\\HAM\\HAM0000.mp4""]",65.456,66.336,"{""BalletSteps"":""14""}"
"1_0fJfD82H","[""file:///C:\\Annotation\\HAM\\HAM0000.mp4""]",72.346,73.146,"{""BalletSteps"":""8""}"
"1_DALGp0Jt","[""file:///C:\\Annotation\\HAM\\HAM0000.mp4""]",73.367,74.407,"{""BalletSteps"":""14""}"
"2_SXIXUOgE","[""file:///C:\\Annotation\\HAM\\HAM0002.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"2_EATm9k3c","[""file:///C:\\Annotation\\HAM\\HAM0002.mp4""]",4.678,5.758,"{""BalletSteps"":""14""}"
"2_X3oUyWwW","[""file:///C:\\Annotation\\HAM\\HAM0002.mp4""]",10.57,11.43,"{""BalletSteps"":""14""}"
"2_9Hsfqtj1","[""file:///C:\\Annotation\\HAM\\HAM0002.mp4""]",16.138,17.058,"{""BalletSteps"":""14""}"
"2_cBwwIahG","[""file:///C:\\Annotation\\HAM\\HAM0002.mp4""]",27.716,28.276,"{""BalletSteps"":""9""}"
"2_jKqZqCsj","[""file:///C:\\Annotation\\HAM\\HAM0002.mp4""]",28.276,28.856,"{""BalletSteps"":""9""}"
"2_dx1fz4hx","[""file:///C:\\Annotation\\HAM\\HAM0002.mp4""]",28.856,29.516,"{""BalletSteps"":""9""}"
"2_mjzXuPCg","[""file:///C:\\Annotation\\HAM\\HAM0002.mp4""]",29.516,30.236,"{""BalletSteps"":""9""}"
"2_azHE76EO","[""file:///C:\\Annotation\\HAM\\HAM0002.mp4""]",30.236,30.936,"{""BalletSteps"":""9""}"
"2_FXhyAJFp","[""file:///C:\\Annotation\\HAM\\HAM0002.mp4""]",30.936,31.556,"{""BalletSteps"":""9""}"
"2_pFeDlqNh","[""file:///C:\\Annotation\\HAM\\HAM0002.mp4""]",31.556,32.056,"{""BalletSteps"":""9""}"
"2_5tfX0vGQ","[""file:///C:\\Annotation\\HAM\\HAM0002.mp4""]",32.056,32.656,"{""BalletSteps"":""9""}"
"2_2mmSIsyN","[""file:///C:\\Annotation\\HAM\\HAM0002.mp4""]",32.656,33.556,"{""BalletSteps"":""9""}"
"2_lhDzwEFC","[""file:///C:\\Annotation\\HAM\\HAM0002.mp4""]",34.415,35.075,"{""BalletSteps"":""16""}"
"2_eQnRffLj","[""file:///C:\\Annotation\\HAM\\HAM0002.mp4""]",35.556,36.176,"{""BalletSteps"":""15""}"
"2_1Q1Ik8ke","[""file:///C:\\Annotation\\HAM\\HAM0002.mp4""]",40.161,40.621,"{""BalletSteps"":""9""}"
"2_ObhwO4kx","[""file:///C:\\Annotation\\HAM\\HAM0002.mp4""]",40.621,41.101,"{""BalletSteps"":""9""}"
"2_fGLvpins","[""file:///C:\\Annotation\\HAM\\HAM0002.mp4""]",41.101,41.681,"{""BalletSteps"":""9""}"
"2_hbijYkQg","[""file:///C:\\Annotation\\HAM\\HAM0002.mp4""]",55.014,55.794,"{""BalletSteps"":""14""}"
"2_A02m3Vnr","[""file:///C:\\Annotation\\HAM\\HAM0002.mp4""]",61.645,62.365,"{""BalletSteps"":""14""}"
"2_sf2yILJ4","[""file:///C:\\Annotation\\HAM\\HAM0002.mp4""]",68.208,68.888,"{""BalletSteps"":""14""}"
"2_DuelSETi","[""file:///C:\\Annotation\\HAM\\HAM0002.mp4""]",74.77,75.21,"{""BalletSteps"":""9""}"
"2_i1bJGBje","[""file:///C:\\Annotation\\HAM\\HAM0002.mp4""]",75.21,75.69,"{""BalletSteps"":""9""}"
"2_gHeX2Gb3","[""file:///C:\\Annotation\\HAM\\HAM0002.mp4""]",75.69,76.21,"{""BalletSteps"":""9""}"
"2_56g3uF9W","[""file:///C:\\Annotation\\HAM\\HAM0002.mp4""]",76.21,76.97,"{""BalletSteps"":""9""}"
