# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_gxOu9LPj","[""file:///C:\\Annotation\\KIT\\KIT0001.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"20_JSlXIaFX","[""file:///C:\\Annotation\\KIT\\KIT0047.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"19_boTwTHRc","[""file:///C:\\Annotation\\KIT\\KIT0046.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"18_X5Z7eYTR","[""file:///C:\\Annotation\\KIT\\KIT0033.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"2_QmXV8O5u","[""file:///C:\\Annotation\\KIT\\KIT0002.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"3_OVkv10eM","[""file:///C:\\Annotation\\KIT\\KIT0029.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"4_M4kEVyG1","[""file:///C:\\Annotation\\KIT\\KIT0003.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"5_SnxVjUsW","[""file:///C:\\Annotation\\KIT\\KIT0004.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"6_ZPyMbYgj","[""file:///C:\\Annotation\\KIT\\KIT0005.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"7_9wxzxlwm","[""file:///C:\\Annotation\\KIT\\KIT0006.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"8_0SxZPHbq","[""file:///C:\\Annotation\\KIT\\KIT0007.mp4""]",,,"{""OnlyOneDancer?"":""1""}"
"9_G3O6YoRc","[""file:///C:\\Annotation\\KIT\\KIT0008.mp4""]",,,"{""OnlyOneDancer?"":""1""}"
"10_zBbZAklP","[""file:///C:\\Annotation\\KIT\\KIT0010.mp4""]",,,"{""OnlyOneDancer?"":""1""}"
"11_NuDuoIY6","[""file:///C:\\Annotation\\KIT\\KIT0013.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"12_XjVmyqn5","[""file:///C:\\Annotation\\KIT\\KIT0015.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"13_eFlQiwOa","[""file:///C:\\Annotation\\KIT\\KIT0018.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
