# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_Y9JeV75X,""[""""file:///C:\\Annotation\\LA3\\LA30000.mp4""""]"",,,""{""""OnlyOneDancer?"""":""""1""""}"""
"1_M92F9H9E,""[""""file:///C:\\Annotation\\LA3\\LA30000.mp4""""]"",0.965,1.845,""{""""BalletSteps"""":""""12""""}"""
"1_iwnXmrQA,""[""""file:///C:\\Annotation\\LA3\\LA30000.mp4""""]"",6.639,7.539,""{""""BalletSteps"""":""""9""""}"""
"1_pGXtkh2q,""[""""file:///C:\\Annotation\\LA3\\LA30000.mp4""""]"",8.538,9.378,""{""""BalletSteps"""":""""12""""}"""
"1_616qp1WW,""[""""file:///C:\\Annotation\\LA3\\LA30000.mp4""""]"",13.774,14.754,""{""""BalletSteps"""":""""9""""}"""
"1_khyQMzb7,""[""""file:///C:\\Annotation\\LA3\\LA30000.mp4""""]"",15.72,16.6,""{""""BalletSteps"""":""""12""""}"""
"1_wFjRo2fi,""[""""file:///C:\\Annotation\\LA3\\LA30000.mp4""""]"",20.298,21.238,""{""""BalletSteps"""":""""9""""}"""
"1_BQHGLkcX,""[""""file:///C:\\Annotation\\LA3\\LA30000.mp4""""]"",22.141,22.921,""{""""BalletSteps"""":""""12""""}"""
"1_TUr51Y8e,""[""""file:///C:\\Annotation\\LA3\\LA30000.mp4""""]"",27.065,27.945,""{""""BalletSteps"""":""""9""""}"""
"1_u2LTDAf5,""[""""file:///C:\\Annotation\\LA3\\LA30000.mp4""""]"",30.743,31.643,""{""""BalletSteps"""":""""1""""}"""
"1_Pq6hSuBX,""[""""file:///C:\\Annotation\\LA3\\LA30000.mp4""""]"",33.84,34.28,""{""""BalletSteps"""":""""0""""}"""
"1_aLk7GwOK,""[""""file:///C:\\Annotation\\LA3\\LA30000.mp4""""]"",37.523,38.283,""{""""BalletSteps"""":""""1""""}"""
"1_WEqjqqlm,""[""""file:///C:\\Annotation\\LA3\\LA30000.mp4""""]"",40.467,41.147,""{""""BalletSteps"""":""""0""""}"""
"1_RlmLqAkP,""[""""file:///C:\\Annotation\\LA3\\LA30000.mp4""""]"",44.125,44.845,""{""""BalletSteps"""":""""1""""}"""
"1_tVW7UXDV,""[""""file:///C:\\Annotation\\LA3\\LA30000.mp4""""]"",73.724,76.584,""{""""BalletSteps"""":""""2""""}"""
"1_U8Smze7U,""[""""file:///C:\\Annotation\\LA3\\LA30000.mp4""""]"",77.304,77.704,""{""""BalletSteps"""":""""0""""}"""
"2_ODxz0xdE,""[""""file:///C:\\Annotation\\LA3\\LA30001.mp4""""]"",,,""{""""OnlyOneDancer?"""":""""0""""}"""
"2_DkeSLfBi,""[""""file:///C:\\Annotation\\LA3\\LA30001.mp4""""]"",1.281,2.101,""{""""BalletSteps"""":""""12""""}"""
"2_lTdegW2R,""[""""file:///C:\\Annotation\\LA3\\LA30001.mp4""""]"",6.539,7.499,""{""""BalletSteps"""":""""9""""}"""
"2_hwL42KK5,""[""""file:///C:\\Annotation\\LA3\\LA30001.mp4""""]"",8.341,9.021,""{""""BalletSteps"""":""""12""""}"""
"2_FXvXCdMz,""[""""file:///C:\\Annotation\\LA3\\LA30001.mp4""""]"",13.437,14.437,""{""""BalletSteps"""":""""9""""}"""
