# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_Ive4XZg3","[""file:///C:\\Annotation\\LAN\\LAN0000.mp4""]",,,"{""OnlyOneDancer?"":""1""}"
"1_Q6xnmNXz","[""file:///C:\\Annotation\\LAN\\LAN0000.mp4""]",18.556,19.296,"{""BalletSteps"":""0""}"
"1_WMMxUN4t","[""file:///C:\\Annotation\\LAN\\LAN0000.mp4""]",20.932,21.832,"{""BalletSteps"":""16""}"
"1_N8o19DKw","[""file:///C:\\Annotation\\LAN\\LAN0000.mp4""]",25.158,25.758,"{""BalletSteps"":""8""}"
"1_H7cX2uOg","[""file:///C:\\Annotation\\LAN\\LAN0000.mp4""]",25.758,26.438,"{""BalletSteps"":""8""}"
"1_XH6iUBH0","[""file:///C:\\Annotation\\LAN\\LAN0000.mp4""]",26.438,27.158,"{""BalletSteps"":""8""}"
"1_Hgsv0FNX","[""file:///C:\\Annotation\\LAN\\LAN0000.mp4""]",27.158,27.878,"{""BalletSteps"":""8""}"
"1_msCHADO9","[""file:///C:\\Annotation\\LAN\\LAN0000.mp4""]",27.878,28.418,"{""BalletSteps"":""8""}"
"1_hOqZh8j2","[""file:///C:\\Annotation\\LAN\\LAN0000.mp4""]",28.418,28.918,"{""BalletSteps"":""8""}"
"1_X3OVX3IV","[""file:///C:\\Annotation\\LAN\\LAN0000.mp4""]",28.918,29.478,"{""BalletSteps"":""8""}"
"1_ttYqRGHJ","[""file:///C:\\Annotation\\LAN\\LAN0000.mp4""]",29.478,30.338,"{""BalletSteps"":""8""}"
"1_BPDjd5Oi","[""file:///C:\\Annotation\\LAN\\LAN0000.mp4""]",37.9,39.02,"{""BalletSteps"":""14""}"
"1_3yYCEXoN","[""file:///C:\\Annotation\\LAN\\LAN0000.mp4""]",39.658,40.358,"{""BalletSteps"":""8""}"
"1_vsfMjqKT","[""file:///C:\\Annotation\\LAN\\LAN0000.mp4""]",40.358,41.098,"{""BalletSteps"":""8""}"
"1_MbvDOpiX","[""file:///C:\\Annotation\\LAN\\LAN0000.mp4""]",41.776,42.276,"{""BalletSteps"":""8""}"
"1_LesiVBd5","[""file:///C:\\Annotation\\LAN\\LAN0000.mp4""]",42.276,43.656,"{""BalletSteps"":""14""}"
"1_Lkj350bM","[""file:///C:\\Annotation\\LAN\\LAN0000.mp4""]",44.394,45.034,"{""BalletSteps"":""8""}"
"1_R7jMiqTg","[""file:///C:\\Annotation\\LAN\\LAN0000.mp4""]",45.034,45.814,"{""BalletSteps"":""8""}"
"1_1MEEbc3k","[""file:///C:\\Annotation\\LAN\\LAN0000.mp4""]",46.476,46.976,"{""BalletSteps"":""8""}"
"1_XznKfybl","[""file:///C:\\Annotation\\LAN\\LAN0000.mp4""]",47.156,48.276,"{""BalletSteps"":""14""}"
"1_4II6MwAu","[""file:///C:\\Annotation\\LAN\\LAN0000.mp4""]",51.883,52.783,"{""BalletSteps"":""8""}"
"1_lkdaSKnd","[""file:///C:\\Annotation\\LAN\\LAN0000.mp4""]",52.783,53.223,"{""BalletSteps"":""8""}"
"1_UiD9jSmk","[""file:///C:\\Annotation\\LAN\\LAN0000.mp4""]",53.223,53.743,"{""BalletSteps"":""8""}"
"1_7QLjyZte","[""file:///C:\\Annotation\\LAN\\LAN0000.mp4""]",53.743,54.383,"{""BalletSteps"":""8""}"
"1_eMp3Cmg2","[""file:///C:\\Annotation\\LAN\\LAN0000.mp4""]",54.383,55.323,"{""BalletSteps"":""8""}"
"2_AXaXgVts","[""file:///C:\\Annotation\\LAN\\LAN0001.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"2_b0am0wuP","[""file:///C:\\Annotation\\LAN\\LAN0001.mp4""]",19.776,20.776,"{""BalletSteps"":""14""}"
"2_tvPduPZ2","[""file:///C:\\Annotation\\LAN\\LAN0001.mp4""]",23.587,24.267,"{""BalletSteps"":""8""}"
"2_YzPicXsv","[""file:///C:\\Annotation\\LAN\\LAN0001.mp4""]",24.267,24.947,"{""BalletSteps"":""8""}"
"2_2lgmyzy4","[""file:///C:\\Annotation\\LAN\\LAN0001.mp4""]",24.947,25.567,"{""BalletSteps"":""8""}"
"2_ZMjrXWq2","[""file:///C:\\Annotation\\LAN\\LAN0001.mp4""]",25.567,26.147,"{""BalletSteps"":""8""}"
"2_Kj37X7Dw","[""file:///C:\\Annotation\\LAN\\LAN0001.mp4""]",26.147,26.547,"{""BalletSteps"":""8""}"
"2_2OYLd2L3","[""file:///C:\\Annotation\\LAN\\LAN0001.mp4""]",26.547,27.047,"{""BalletSteps"":""8""}"
"2_aTeCY8CO","[""file:///C:\\Annotation\\LAN\\LAN0001.mp4""]",27.047,27.947,"{""BalletSteps"":""8""}"
"2_LnW176w6","[""file:///C:\\Annotation\\LAN\\LAN0001.mp4""]",35.231,36.331,"{""BalletSteps"":""14""}"
"2_Zlz1q7F6","[""file:///C:\\Annotation\\LAN\\LAN0001.mp4""]",37.745,38.845,"{""BalletSteps"":""14""}"
"2_dpUlrEsT","[""file:///C:\\Annotation\\LAN\\LAN0001.mp4""]",39.893,41.013,"{""BalletSteps"":""14""}"
"2_7iq1iR9g","[""file:///C:\\Annotation\\LAN\\LAN0001.mp4""]",42.132,43.252,"{""BalletSteps"":""14""}"
"3_tXI8WO1e","[""file:///C:\\Annotation\\LAN\\LAN0003.mp4""]",,,"{""OnlyOneDancer?"":""1""}"
"3_ceukyHRO","[""file:///C:\\Annotation\\LAN\\LAN0003.mp4""]",19.099,19.679,"{""BalletSteps"":""0""}"
"3_QEX0MkLQ","[""file:///C:\\Annotation\\LAN\\LAN0003.mp4""]",21.322,22.242,"{""BalletSteps"":""16""}"
"3_fNuwXmDn","[""file:///C:\\Annotation\\LAN\\LAN0003.mp4""]",25.581,26.141,"{""BalletSteps"":""9""}"
"3_glwZeeHr","[""file:///C:\\Annotation\\LAN\\LAN0003.mp4""]",26.141,26.601,"{""BalletSteps"":""9""}"
"3_TXvGMtXG","[""file:///C:\\Annotation\\LAN\\LAN0003.mp4""]",26.601,27.141,"{""BalletSteps"":""9""}"
"3_P2c1bmPy","[""file:///C:\\Annotation\\LAN\\LAN0003.mp4""]",27.881,28.601,"{""BalletSteps"":""1""}"
"3_rfHLuuas","[""file:///C:\\Annotation\\LAN\\LAN0003.mp4""]",30.221,31.04809,"{""BalletSteps"":""14""}"
"3_WcmJbuUv","[""file:///C:\\Annotation\\LAN\\LAN0003.mp4""]",37.675,39.015,"{""BalletSteps"":""14""}"
"3_L0VqhOvH","[""file:///C:\\Annotation\\LAN\\LAN0003.mp4""]",40.062,41.262,"{""BalletSteps"":""14""}"
"3_eM2fQmlN","[""file:///C:\\Annotation\\LAN\\LAN0003.mp4""]",41.908,42.448,"{""BalletSteps"":""9""}"
"3_5qoQIRaI","[""file:///C:\\Annotation\\LAN\\LAN0003.mp4""]",42.611,43.951,"{""BalletSteps"":""14""}"
"3_DF7MCZW2","[""file:///C:\\Annotation\\LAN\\LAN0003.mp4""]",44.871,46.011,"{""BalletSteps"":""14""}"
"3_n45QFIFS","[""file:///C:\\Annotation\\LAN\\LAN0003.mp4""]",46.625,47.185,"{""BalletSteps"":""9""}"
"3_oFubXeJM","[""file:///C:\\Annotation\\LAN\\LAN0003.mp4""]",47.185,48.365,"{""BalletSteps"":""14""}"
"3_b1sH3NXG","[""file:///C:\\Annotation\\LAN\\LAN0003.mp4""]",48.365,49.565,"{""BalletSteps"":""14""}"
"3_2X1JN7KX","[""file:///C:\\Annotation\\LAN\\LAN0003.mp4""]",52.918,53.538,"{""BalletSteps"":""9""}"
"3_gsoqLTP6","[""file:///C:\\Annotation\\LAN\\LAN0003.mp4""]",53.538,53.978,"{""BalletSteps"":""9""}"
"3_ZyRfZ6Gp","[""file:///C:\\Annotation\\LAN\\LAN0003.mp4""]",53.978,54.598,"{""BalletSteps"":""9""}"
"3_NYW52lY4","[""file:///C:\\Annotation\\LAN\\LAN0003.mp4""]",55.123,56.123,"{""BalletSteps"":""14""}"
"4_Ljc86YTU","[""file:///C:\\Annotation\\LAN\\LAN0004.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"4_S2FE0p84","[""file:///C:\\Annotation\\LAN\\LAN0004.mp4""]",7.698,8.638,"{""BalletSteps"":""7""}"
"4_aWfV358q","[""file:///C:\\Annotation\\LAN\\LAN0004.mp4""]",20.547,21.547,"{""BalletSteps"":""14""}"
"4_d3AycNAM","[""file:///C:\\Annotation\\LAN\\LAN0004.mp4""]",25.5,26.12,"{""BalletSteps"":""8""}"
"4_IBLXhDHd","[""file:///C:\\Annotation\\LAN\\LAN0004.mp4""]",26.12,26.54,"{""BalletSteps"":""8""}"
"4_ztokCAB9","[""file:///C:\\Annotation\\LAN\\LAN0004.mp4""]",26.54,27.08,"{""BalletSteps"":""8""}"
"4_Hbk0KCCS","[""file:///C:\\Annotation\\LAN\\LAN0004.mp4""]",27.08,28.08,"{""BalletSteps"":""14""}"
"4_DeZnFbQv","[""file:///C:\\Annotation\\LAN\\LAN0004.mp4""]",37.939,38.939,"{""BalletSteps"":""14""}"
"4_D5cpvsHq","[""file:///C:\\Annotation\\LAN\\LAN0004.mp4""]",42.955,43.955,"{""BalletSteps"":""14""}"
"4_wa9wjx7M","[""file:///C:\\Annotation\\LAN\\LAN0004.mp4""]",52.015,53.015,"{""BalletSteps"":""14""}"
