# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_QJwqTiNZ","[""file:///C:\\Annotation\\LCM\\LCM0003.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_06JEXZ49","[""file:///C:\\Annotation\\LCM\\LCM0003.mp4""]",2.869,3.709,"{""BalletSteps"":""0""}"
"1_YxkMcgyz","[""file:///C:\\Annotation\\LCM\\LCM0003.mp4""]",7.502,8.462,"{""BalletSteps"":""0""}"
"1_fbgIj1aF","[""file:///C:\\Annotation\\LCM\\LCM0003.mp4""]",18.962,19.582,"{""BalletSteps"":""9""}"
"1_zOH6Ty3i","[""file:///C:\\Annotation\\LCM\\LCM0003.mp4""]",19.582,20.362,"{""BalletSteps"":""9""}"
"1_0BcOuT4M","[""file:///C:\\Annotation\\LCM\\LCM0003.mp4""]",20.362,21.082,"{""BalletSteps"":""9""}"
"1_KUX51Cs3","[""file:///C:\\Annotation\\LCM\\LCM0003.mp4""]",21.082,21.782,"{""BalletSteps"":""9""}"
"1_IOa4fDLH","[""file:///C:\\Annotation\\LCM\\LCM0003.mp4""]",21.782,22.282,"{""BalletSteps"":""9""}"
"1_0x5nnX5A","[""file:///C:\\Annotation\\LCM\\LCM0003.mp4""]",22.282,22.762,"{""BalletSteps"":""9""}"
"1_qA7BbQqH","[""file:///C:\\Annotation\\LCM\\LCM0003.mp4""]",22.762,23.262,"{""BalletSteps"":""9""}"
"1_kLTTx35Z","[""file:///C:\\Annotation\\LCM\\LCM0003.mp4""]",23.262,23.662,"{""BalletSteps"":""12""}"
"1_h7frewQ4","[""file:///C:\\Annotation\\LCM\\LCM0003.mp4""]",24.25,25.23,"{""BalletSteps"":""17""}"
"1_T85cfaUl","[""file:///C:\\Annotation\\LCM\\LCM0003.mp4""]",25.382,26.422,"{""BalletSteps"":""18""}"
"1_hA9Jr4Ec","[""file:///C:\\Annotation\\LCM\\LCM0003.mp4""]",29.301,29.821,"{""BalletSteps"":""9""}"
"1_I4OzD22B","[""file:///C:\\Annotation\\LCM\\LCM0003.mp4""]",29.821,30.301,"{""BalletSteps"":""9""}"
"1_3Je1uLkA","[""file:///C:\\Annotation\\LCM\\LCM0003.mp4""]",30.301,30.801,"{""BalletSteps"":""9""}"
"1_KRttqJea","[""file:///C:\\Annotation\\LCM\\LCM0003.mp4""]",30.801,31.361,"{""BalletSteps"":""9""}"
"1_WrDvvKbp","[""file:///C:\\Annotation\\LCM\\LCM0003.mp4""]",31.361,31.961,"{""BalletSteps"":""9""}"
"1_7TFmFyT6","[""file:///C:\\Annotation\\LCM\\LCM0003.mp4""]",31.961,32.801,"{""BalletSteps"":""9""}"
"1_qujHP5JP","[""file:///C:\\Annotation\\LCM\\LCM0003.mp4""]",53.414,54.014,"{""BalletSteps"":""9""}"
"1_tlsBdDUe","[""file:///C:\\Annotation\\LCM\\LCM0003.mp4""]",54.014,54.514,"{""BalletSteps"":""9""}"
"1_ru7f086F","[""file:///C:\\Annotation\\LCM\\LCM0003.mp4""]",54.514,55.014,"{""BalletSteps"":""9""}"
"1_Dd6huXep","[""file:///C:\\Annotation\\LCM\\LCM0003.mp4""]",55.014,55.714,"{""BalletSteps"":""9""}"
"1_I021alXX","[""file:///C:\\Annotation\\LCM\\LCM0003.mp4""]",55.874,56.954,"{""BalletSteps"":""14""}"
"2_jlwB2AR4","[""file:///C:\\Annotation\\LCM\\LCM0005.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"3_wM5ElGmn","[""file:///C:\\Annotation\\LCM\\LCM0006.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_bwIy4XQi","[""file:///C:\\Annotation\\LCM\\LCM0003.mp4""]",0.84,1.68,"{""BalletSteps"":""14""}"
"1_dCp1gSri","[""file:///C:\\Annotation\\LCM\\LCM0003.mp4""]",5.513,6.313,"{""BalletSteps"":""14""}"
"1_7DXM95Lg","[""file:///C:\\Annotation\\LCM\\LCM0003.mp4""]",10.286,11.066,"{""BalletSteps"":""14""}"
"2_DnhVZbSl","[""file:///C:\\Annotation\\LCM\\LCM0005.mp4""]",0.823,1.663,"{""BalletSteps"":""14""}"
"2_IFuLc46F","[""file:///C:\\Annotation\\LCM\\LCM0005.mp4""]",2.669,3.269,"{""BalletSteps"":""0""}"
"2_kli91Js0","[""file:///C:\\Annotation\\LCM\\LCM0005.mp4""]",5.047,5.907,"{""BalletSteps"":""14""}"
"2_4tYZreS8","[""file:///C:\\Annotation\\LCM\\LCM0005.mp4""]",6.989,7.689,"{""BalletSteps"":""0""}"
"2_7gRJrKRf","[""file:///C:\\Annotation\\LCM\\LCM0005.mp4""]",9.317,10.197,"{""BalletSteps"":""14""}"
"2_k3JxSfAi","[""file:///C:\\Annotation\\LCM\\LCM0005.mp4""]",17.858,18.458,"{""BalletSteps"":""8""}"
"2_C3ZxXzKv","[""file:///C:\\Annotation\\LCM\\LCM0005.mp4""]",18.458,19.098,"{""BalletSteps"":""8""}"
"2_egpaW1rM","[""file:///C:\\Annotation\\LCM\\LCM0005.mp4""]",19.098,19.818,"{""BalletSteps"":""8""}"
"2_Who46ZEU","[""file:///C:\\Annotation\\LCM\\LCM0005.mp4""]",19.818,20.658,"{""BalletSteps"":""8""}"
"2_BFRcsg4N","[""file:///C:\\Annotation\\LCM\\LCM0005.mp4""]",20.658,21.298,"{""BalletSteps"":""8""}"
"2_asrGvIHd","[""file:///C:\\Annotation\\LCM\\LCM0005.mp4""]",21.298,21.758,"{""BalletSteps"":""8""}"
"2_X7pD9o0v","[""file:///C:\\Annotation\\LCM\\LCM0005.mp4""]",21.758,22.658,"{""BalletSteps"":""8""}"
"2_gwKKH15V","[""file:///C:\\Annotation\\LCM\\LCM0005.mp4""]",23.026,23.926,"{""BalletSteps"":""18""}"
"2_K4wMXgMS","[""file:///C:\\Annotation\\LCM\\LCM0005.mp4""]",24.172,24.832,"{""BalletSteps"":""17""}"
"2_EVGRzOQs","[""file:///C:\\Annotation\\LCM\\LCM0005.mp4""]",28.106,28.626,"{""BalletSteps"":""8""}"
"2_XD3yg5a7","[""file:///C:\\Annotation\\LCM\\LCM0005.mp4""]",28.626,29.046,"{""BalletSteps"":""8""}"
"2_vykGvADi","[""file:///C:\\Annotation\\LCM\\LCM0005.mp4""]",29.046,29.466,"{""BalletSteps"":""8""}"
"2_6Heoa48G","[""file:///C:\\Annotation\\LCM\\LCM0005.mp4""]",29.466,29.926,"{""BalletSteps"":""8""}"
"2_tAvv6WfJ","[""file:///C:\\Annotation\\LCM\\LCM0005.mp4""]",51.526,52.026,"{""BalletSteps"":""6""}"
"2_OtMQGByJ","[""file:///C:\\Annotation\\LCM\\LCM0005.mp4""]",51.526,52.026,"{""BalletSteps"":""19""}"
"3_2aFfhXTn","[""file:///C:\\Annotation\\LCM\\LCM0006.mp4""]",0.445,1.305,"{""BalletSteps"":""14""}"
"3_adWIX7RF","[""file:///C:\\Annotation\\LCM\\LCM0006.mp4""]",2.603,3.503,"{""BalletSteps"":""0""}"
