# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_NEYlzQI7","[""file:///C:\\Annotation\\LFQ\\LFQ0001.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_wbCtwHrp","[""file:///C:\\Annotation\\LFQ\\LFQ0001.mp4""]",17.302,18.702,"{""BalletSteps"":""2""}"
"1_X4eYs5Wo","[""file:///C:\\Annotation\\LFQ\\LFQ0001.mp4""]",20.071,20.411,"{""BalletSteps"":""12""}"
"1_pf7Ar9IX","[""file:///C:\\Annotation\\LFQ\\LFQ0001.mp4""]",21.037,22.077,"{""BalletSteps"":""2""}"
"1_o4F4imE9","[""file:///C:\\Annotation\\LFQ\\LFQ0001.mp4""]",23.801,24.141,"{""BalletSteps"":""12""}"
"1_eNm62p4p","[""file:///C:\\Annotation\\LFQ\\LFQ0001.mp4""]",24.759,26.139,"{""BalletSteps"":""2""}"
"1_rSH5K6N4","[""file:///C:\\Annotation\\LFQ\\LFQ0001.mp4""]",27.581,27.861,"{""BalletSteps"":""12""}"
"1_cSPO3YWw","[""file:///C:\\Annotation\\LFQ\\LFQ0001.mp4""]",28.484,29.604,"{""BalletSteps"":""2""}"
"1_kkD4Pu1w","[""file:///C:\\Annotation\\LFQ\\LFQ0001.mp4""]",32.598,33.338,"{""BalletSteps"":""2""}"
"1_xT63TwaT","[""file:///C:\\Annotation\\LFQ\\LFQ0001.mp4""]",36.778,37.558,"{""BalletSteps"":""2""}"
"1_lXLQpcXe","[""file:///C:\\Annotation\\LFQ\\LFQ0001.mp4""]",40.868,41.908,"{""BalletSteps"":""2""}"
"1_HPYtUMvv","[""file:///C:\\Annotation\\LFQ\\LFQ0001.mp4""]",45.642,46.422,"{""BalletSteps"":""2""}"
"2_BcjpHDPB","[""file:///C:\\Annotation\\LFQ\\LFQ0002.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"2_sgmgFRiR","[""file:///C:\\Annotation\\LFQ\\LFQ0002.mp4""]",16.557,17.397,"{""BalletSteps"":""2""}"
"2_tGHT8Wdl","[""file:///C:\\Annotation\\LFQ\\LFQ0002.mp4""]",20.714,21.774,"{""BalletSteps"":""2""}"
"2_nUXfFZyN","[""file:///C:\\Annotation\\LFQ\\LFQ0002.mp4""]",24.439,25.419,"{""BalletSteps"":""2""}"
"2_FM2neSXy","[""file:///C:\\Annotation\\LFQ\\LFQ0002.mp4""]",28.282,29.222,"{""BalletSteps"":""2""}"
"2_FDxbre3U","[""file:///C:\\Annotation\\LFQ\\LFQ0002.mp4""]",32.003,33.183,"{""BalletSteps"":""2""}"
"2_hhvwb2Bl","[""file:///C:\\Annotation\\LFQ\\LFQ0002.mp4""]",36.11,36.71,"{""BalletSteps"":""2""}"
"2_9hjvm4Zh","[""file:///C:\\Annotation\\LFQ\\LFQ0002.mp4""]",40.141,40.881,"{""BalletSteps"":""2""}"
"2_XO3ilsye","[""file:///C:\\Annotation\\LFQ\\LFQ0002.mp4""]",44.139,44.639,"{""BalletSteps"":""2""}"
"2_UIBZmfhN","[""file:///C:\\Annotation\\LFQ\\LFQ0002.mp4""]",66.722,67.442,"{""BalletSteps"":""9""}"
"3_RzTNgrqs","[""file:///C:\\Annotation\\LFQ\\LFQ0004.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"3_ZUvpBmHi","[""file:///C:\\Annotation\\LFQ\\LFQ0004.mp4""]",15.927,16.907,"{""BalletSteps"":""2""}"
"3_VUlZwpwT","[""file:///C:\\Annotation\\LFQ\\LFQ0004.mp4""]",19.462,20.562,"{""BalletSteps"":""2""}"
"3_7yTp36x6","[""file:///C:\\Annotation\\LFQ\\LFQ0004.mp4""]",22.972,24.012,"{""BalletSteps"":""2""}"
