# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_9sUXzXKH","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_eWAxbYwn","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",2.896,3.196,"{""BalletSteps"":""0""}"
"1_UXG4FX7X","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",5.82,6.32,"{""BalletSteps"":""13""}"
"1_XQubPXb8","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",15.256,15.756,"{""BalletSteps"":""12""}"
"1_4ZZFFSbn","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",22.013,22.353,"{""BalletSteps"":""0""}"
"1_vdAYilXH","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",25.213,25.733,"{""BalletSteps"":""13""}"
"1_Ys3kiVt7","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",29.411,30.391,"{""BalletSteps"":""8""}"
"1_nMcjAVsQ","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",30.391,31.431,"{""BalletSteps"":""8""}"
"1_lH5ZmPaz","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",31.431,32.091,"{""BalletSteps"":""8""}"
"1_O118MCps","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",32.091,32.731,"{""BalletSteps"":""8""}"
"1_1rYTv1zv","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",34.264,34.744,"{""BalletSteps"":""2""}"
"1_KtJ8mpgB","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",36.192,36.732,"{""BalletSteps"":""8""}"
"1_rW8D1ivR","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",36.732,37.232,"{""BalletSteps"":""8""}"
"1_Nr6iwzgY","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",37.232,37.872,"{""BalletSteps"":""8""}"
"1_E2BFmyNa","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",44.644,45.664,"{""BalletSteps"":""2""}"
"1_e8Y83eer","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",46.628,46.988,"{""BalletSteps"":""0""}"
"1_CikVdFct","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",62.968,63.288,"{""BalletSteps"":""0""}"
"1_HVBpQ8zX","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",65.33,65.87,"{""BalletSteps"":""2""}"
"1_19KqjWIN","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",67.345,67.845,"{""BalletSteps"":""8""}"
"1_AYcsbV7A","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",67.845,68.325,"{""BalletSteps"":""8""}"
"1_QPtJoNIy","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",68.325,69.045,"{""BalletSteps"":""8""}"
"1_jaldXYQk","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",74.553,75.173,"{""BalletSteps"":""2""}"
"1_szmiXfcI","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",76.651,77.151,"{""BalletSteps"":""8""}"
"1_Hf7un7ld","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",77.151,77.671,"{""BalletSteps"":""8""}"
"1_yA5vXjLi","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",77.671,78.251,"{""BalletSteps"":""8""}"
"1_xWSobOSo","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",88.232,88.792,"{""BalletSteps"":""8""}"
"1_ScUForU3","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",88.792,89.372,"{""BalletSteps"":""8""}"
"1_srtm2XFu","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",89.372,90.252,"{""BalletSteps"":""8""}"
"1_JY5HPPzX","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",90.252,91.212,"{""BalletSteps"":""8""}"
"1_GdX37fI1","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",91.212,92.132,"{""BalletSteps"":""8""}"
"1_JFMh7SIk","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",92.132,93.072,"{""BalletSteps"":""8""}"
"1_hVTlUhPE","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",93.072,93.752,"{""BalletSteps"":""8""}"
"1_VXYjGpo6","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",93.752,94.292,"{""BalletSteps"":""8""}"
"1_28MnuXAl","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",17.605,18.305,"{""BalletSteps"":""2""}"
"1_csWq5JhP","[""file:///C:\\Annotation\\LFS\\LFS0000.mp4""]",27.906,28.886,"{""BalletSteps"":""2""}"
"2_4BWKKF2l","[""file:///C:\\Annotation\\LFS\\LFS0001.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"2_MubhkS7d","[""file:///C:\\Annotation\\LFS\\LFS0001.mp4""]",5.391,6.251,"{""BalletSteps"":""12""}"
"2_msYys9Gg","[""file:///C:\\Annotation\\LFS\\LFS0001.mp4""]",14.196,15.056,"{""BalletSteps"":""13""}"
"2_xGpXZm5H","[""file:///C:\\Annotation\\LFS\\LFS0001.mp4""]",22.761,23.67142,"{""BalletSteps"":""12""}"
"2_VyPecCZv","[""file:///C:\\Annotation\\LFS\\LFS0001.mp4""]",26.134,26.994,"{""BalletSteps"":""9""}"
"2_934t2Cv3","[""file:///C:\\Annotation\\LFS\\LFS0001.mp4""]",26.994,27.974,"{""BalletSteps"":""9""}"
"2_5o6QK6od","[""file:///C:\\Annotation\\LFS\\LFS0001.mp4""]",27.974,28.994,"{""BalletSteps"":""9""}"
"2_ermKQRfI","[""file:///C:\\Annotation\\LFS\\LFS0001.mp4""]",30.711,31.271,"{""BalletSteps"":""2""}"
