# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_ZzQmJtvJ","[""file:///C:\\Annotation\\LIF\\LIF0000.mp4""]",,,"{""OnlyOneDancer?"":""1""}"
"1_kaJ9xXxM","[""file:///C:\\Annotation\\LIF\\LIF0000.mp4""]",2.819,3.419,"{""BalletSteps"":""13""}"
"1_jsdU4AXd","[""file:///C:\\Annotation\\LIF\\LIF0000.mp4""]",5.515,6.015,"{""BalletSteps"":""1""}"
"1_XF2n5msr","[""file:///C:\\Annotation\\LIF\\LIF0000.mp4""]",8.428,9.048,"{""BalletSteps"":""13""}"
"1_EXIADOex","[""file:///C:\\Annotation\\LIF\\LIF0000.mp4""]",11.317,11.777,"{""BalletSteps"":""1""}"
"1_R1XkSzTT","[""file:///C:\\Annotation\\LIF\\LIF0000.mp4""]",14.169,14.709,"{""BalletSteps"":""13""}"
"1_PF0T9QVz","[""file:///C:\\Annotation\\LIF\\LIF0000.mp4""]",16.978,17.498,"{""BalletSteps"":""1""}"
"1_86Esrmd0","[""file:///C:\\Annotation\\LIF\\LIF0000.mp4""]",19.949,20.469,"{""BalletSteps"":""13""}"
"1_XEbTfU5y","[""file:///C:\\Annotation\\LIF\\LIF0000.mp4""]",22.951,23.551,"{""BalletSteps"":""1""}"
"1_YAdeX7z1","[""file:///C:\\Annotation\\LIF\\LIF0000.mp4""]",27.073,27.473,"{""BalletSteps"":""1""}"
"1_A6LXpnyv","[""file:///C:\\Annotation\\LIF\\LIF0000.mp4""]",28.096,29.736,"{""BalletSteps"":""19""}"
"1_XSBX8rPk","[""file:///C:\\Annotation\\LIF\\LIF0000.mp4""]",28.339,29.079,"{""BalletSteps"":""8""}"
"1_5NSDLunf","[""file:///C:\\Annotation\\LIF\\LIF0000.mp4""]",34.163,35.823,"{""BalletSteps"":""19""}"
"1_eGGLjLZJ","[""file:///C:\\Annotation\\LIF\\LIF0000.mp4""]",34.346,35.206,"{""BalletSteps"":""8""}"
"1_OQMtQbAa","[""file:///C:\\Annotation\\LIF\\LIF0000.mp4""]",32.972,33.392,"{""BalletSteps"":""1""}"
"1_ljClATAC","[""file:///C:\\Annotation\\LIF\\LIF0000.mp4""]",38.813,39.213,"{""BalletSteps"":""1""}"
"1_6JLbUgzc","[""file:///C:\\Annotation\\LIF\\LIF0000.mp4""]",39.997,41.437,"{""BalletSteps"":""19""}"
"1_YLfdYYbk","[""file:///C:\\Annotation\\LIF\\LIF0000.mp4""]",40.109,40.849,"{""BalletSteps"":""8""}"
"1_eHCLdXBb","[""file:///C:\\Annotation\\LIF\\LIF0000.mp4""]",44.47,44.91,"{""BalletSteps"":""1""}"
"1_Hxku6TKU","[""file:///C:\\Annotation\\LIF\\LIF0000.mp4""]",45.451,46.851,"{""BalletSteps"":""19""}"
"1_26X57FoX","[""file:///C:\\Annotation\\LIF\\LIF0000.mp4""]",45.688,46.488,"{""BalletSteps"":""8""}"
"1_hKBtmC38","[""file:///C:\\Annotation\\LIF\\LIF0000.mp4""]",47.441,48.441,"{""BalletSteps"":""2""}"
"1_ZGwROKte","[""file:///C:\\Annotation\\LIF\\LIF0000.mp4""]",49.647,50.507,"{""BalletSteps"":""2""}"
"1_4VX7iAmh","[""file:///C:\\Annotation\\LIF\\LIF0000.mp4""]",51.168,51.628,"{""BalletSteps"":""2""}"
"1_I0j3Jqjl","[""file:///C:\\Annotation\\LIF\\LIF0000.mp4""]",52.607,53.307,"{""BalletSteps"":""2""}"
"1_3dsH8cx0","[""file:///C:\\Annotation\\LIF\\LIF0000.mp4""]",55.92,59.32,"{""BalletSteps"":""2""}"
