# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_jsLTiyLs,""[""""file:///C:\\Annotation\\LUC\\LUC0000.mp4""""]"",,,""{""""OnlyOneDancer?"""":""""0""""}"""
"1_S8NbXJEN,""[""""file:///C:\\Annotation\\LUC\\LUC0000.mp4""""]"",1.639,2.399,""{""""BalletSteps"""":""""4""""}"""
"1_0EX6RpyQ,""[""""file:///C:\\Annotation\\LUC\\LUC0000.mp4""""]"",5.867,6.567,""{""""BalletSteps"""":""""4""""}"""
"1_3Xxen4ys,""[""""file:///C:\\Annotation\\LUC\\LUC0000.mp4""""]"",10.278,10.998,""{""""BalletSteps"""":""""14""""}"""
"1_kJzYVJFJ,""[""""file:///C:\\Annotation\\LUC\\LUC0000.mp4""""]"",22.676,23.396,""{""""BalletSteps"""":""""15""""}"""
"1_XTFBZCfH,""[""""file:///C:\\Annotation\\LUC\\LUC0000.mp4""""]"",35.053,35.513,""{""""BalletSteps"""":""""8""""}"""
"1_MxHy91cx,""[""""file:///C:\\Annotation\\LUC\\LUC0000.mp4""""]"",35.513,36.013,""{""""BalletSteps"""":""""8""""}"""
"1_0y1nO9MI,""[""""file:///C:\\Annotation\\LUC\\LUC0000.mp4""""]"",36.013,36.673,""{""""BalletSteps"""":""""8""""}"""
"1_kSO9IP5K,""[""""file:///C:\\Annotation\\LUC\\LUC0000.mp4""""]"",36.673,37.513,""{""""BalletSteps"""":""""8""""}"""
"1_zQfOac1T,""[""""file:///C:\\Annotation\\LUC\\LUC0000.mp4""""]"",37.513,38.313,""{""""BalletSteps"""":""""8""""}"""
"1_QieOp3ZQ,""[""""file:///C:\\Annotation\\LUC\\LUC0000.mp4""""]"",39.168,39.968,""{""""BalletSteps"""":""""18""""}"""
"1_xQwUVgly,""[""""file:///C:\\Annotation\\LUC\\LUC0000.mp4""""]"",43.845,44.325,""{""""BalletSteps"""":""""8""""}"""
"1_BvUTV8w8,""[""""file:///C:\\Annotation\\LUC\\LUC0000.mp4""""]"",44.325,44.845,""{""""BalletSteps"""":""""8""""}"""
"1_VTgZg1xY,""[""""file:///C:\\Annotation\\LUC\\LUC0000.mp4""""]"",44.845,45.425,""{""""BalletSteps"""":""""8""""}"""
"1_1KU6Iuoy,""[""""file:///C:\\Annotation\\LUC\\LUC0000.mp4""""]"",45.425,46.725,""{""""BalletSteps"""":""""8""""}"""
"1_6lXpx0Xl,""[""""file:///C:\\Annotation\\LUC\\LUC0000.mp4""""]"",51.12,52.14,""{""""BalletSteps"""":""""14""""}"""
"1_VHfHSKg9,""[""""file:///C:\\Annotation\\LUC\\LUC0000.mp4""""]"",55.17,56.31,""{""""BalletSteps"""":""""14""""}"""
"1_kdk9iHED,""[""""file:///C:\\Annotation\\LUC\\LUC0000.mp4""""]"",59.267,60.207,""{""""BalletSteps"""":""""14""""}"""
"1_tNlN2mqt,""[""""file:///C:\\Annotation\\LUC\\LUC0000.mp4""""]"",64.58,65.12,""{""""BalletSteps"""":""""8""""}"""
"1_zyMB63U1,""[""""file:///C:\\Annotation\\LUC\\LUC0000.mp4""""]"",65.12,65.62,""{""""BalletSteps"""":""""8""""}"""
"1_ko5d9Tp2,""[""""file:///C:\\Annotation\\LUC\\LUC0000.mp4""""]"",65.62,66.3,""{""""BalletSteps"""":""""8""""}"""
"1_96eMdbVw,""[""""file:///C:\\Annotation\\LUC\\LUC0000.mp4""""]"",66.468,67.528,""{""""BalletSteps"""":""""14""""}"""
"2_fO0NFdiT,""[""""file:///C:\\Annotation\\LUC\\LUC0001.mp4""""]"",,,""{""""OnlyOneDancer?"""":""""0""""}"""
"2_ZfHNhReL,""[""""file:///C:\\Annotation\\LUC\\LUC0001.mp4""""]"",10.637,11.237,""{""""BalletSteps"""":""""4""""}"""
"2_SGLxtrx6,""[""""file:///C:\\Annotation\\LUC\\LUC0001.mp4""""]"",18.136,18.796,""{""""BalletSteps"""":""""9""""}"""
"2_4jQGVaMD,""[""""file:///C:\\Annotation\\LUC\\LUC0001.mp4""""]"",18.796,19.536,""{""""BalletSteps"""":""""9""""}"""
"2_ABHHpfXX,""[""""file:///C:\\Annotation\\LUC\\LUC0001.mp4""""]"",19.536,20.296,""{""""BalletSteps"""":""""9""""}"""
"2_pspmlrmO,""[""""file:///C:\\Annotation\\LUC\\LUC0001.mp4""""]"",20.296,20.916,""{""""BalletSteps"""":""""9""""}"""
"2_WpKjlIO4,""[""""file:///C:\\Annotation\\LUC\\LUC0001.mp4""""]"",20.916,21.616,""{""""BalletSteps"""":""""9""""}"""
"2_WOJXXlX5,""[""""file:///C:\\Annotation\\LUC\\LUC0001.mp4""""]"",21.616,22.316,""{""""BalletSteps"""":""""9""""}"""
"2_RPXtm8Yp,""[""""file:///C:\\Annotation\\LUC\\LUC0001.mp4""""]"",22.316,22.976,""{""""BalletSteps"""":""""9""""}"""
"2_GENJrhH6,""[""""file:///C:\\Annotation\\LUC\\LUC0001.mp4""""]"",22.976,23.636,""{""""BalletSteps"""":""""9""""}"""
"2_k76VFW3k,""[""""file:///C:\\Annotation\\LUC\\LUC0001.mp4""""]"",23.636,24.376,""{""""BalletSteps"""":""""9""""}"""
"2_x4UX578N,""[""""file:///C:\\Annotation\\LUC\\LUC0001.mp4""""]"",24.376,25.076,""{""""BalletSteps"""":""""9""""}"""
"2_0SgezEXY,""[""""file:///C:\\Annotation\\LUC\\LUC0001.mp4""""]"",25.076,25.656,""{""""BalletSteps"""":""""9""""}"""
"2_XPIPSi6I,""[""""file:///C:\\Annotation\\LUC\\LUC0001.mp4""""]"",25.656,26.556,""{""""BalletSteps"""":""""9""""}"""
"2_VfYYGOvr,""[""""file:///C:\\Annotation\\LUC\\LUC0001.mp4""""]"",36.197,37.197,""{""""BalletSteps"""":""""14""""}"""
"2_R7v0K8S1,""[""""file:///C:\\Annotation\\LUC\\LUC0001.mp4""""]"",40.142,41.122,""{""""BalletSteps"""":""""14""""}"""
"2_9HyEutXE,""[""""file:///C:\\Annotation\\LUC\\LUC0001.mp4""""]"",46.031,46.531,""{""""BalletSteps"""":""""9""""}"""
"2_Ms1p6fLr,""[""""file:///C:\\Annotation\\LUC\\LUC0001.mp4""""]"",46.531,47.051,""{""""BalletSteps"""":""""9""""}"""
"2_O2PkLF1p,""[""""file:///C:\\Annotation\\LUC\\LUC0001.mp4""""]"",47.051,47.631,""{""""BalletSteps"""":""""9""""}"""
"2_gM0JD6q0,""[""""file:///C:\\Annotation\\LUC\\LUC0001.mp4""""]"",47.631,48.611,""{""""BalletSteps"""":""""14""""}"""
"3_gO202gGA,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",,,""{""""OnlyOneDancer?"""":""""0""""}"""
"3_t1s0jlEC,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",1.848,2.548,""{""""BalletSteps"""":""""14""""}"""
"3_KHttxaBN,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",3.526,4.046,""{""""BalletSteps"""":""""0""""}"""
"3_CQer12BB,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",3.526,4.046,""{""""BalletSteps"""":""""19""""}"""
"3_RgPFio0R,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",5.68,6.44,""{""""BalletSteps"""":""""14""""}"""
"3_lBiJxP5K,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",7.453,7.953,""{""""BalletSteps"""":""""0""""}"""
"3_ic1LiB9k,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",9.718,10.498,""{""""BalletSteps"""":""""14""""}"""
"3_w8x4XryX,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",16.668,17.208,""{""""BalletSteps"""":""""8""""}"""
"3_95EdX0Ol,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",17.208,17.928,""{""""BalletSteps"""":""""8""""}"""
"3_Xkv2OzG7,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",17.928,18.568,""{""""BalletSteps"""":""""8""""}"""
"3_fHTomXG3,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",18.568,19.368,""{""""BalletSteps"""":""""8""""}"""
"3_eIUcsr0k,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",19.368,20.088,""{""""BalletSteps"""":""""8""""}"""
"3_a13UIboj,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",20.088,20.768,""{""""BalletSteps"""":""""8""""}"""
"3_22czMXV0,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",20.768,21.568,""{""""BalletSteps"""":""""8""""}"""
"3_CUAU4YET,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",21.568,22.368,""{""""BalletSteps"""":""""8""""}"""
"3_34ugqAkS,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",22.368,23.108,""{""""BalletSteps"""":""""8""""}"""
"3_lrMbiNul,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",23.108,23.728,""{""""BalletSteps"""":""""8""""}"""
"3_U9eItRWU,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",23.728,24.328,""{""""BalletSteps"""":""""8""""}"""
"3_RvuTCxR0,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",24.328,24.928,""{""""BalletSteps"""":""""8""""}"""
"3_6yA5jXJs,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",24.928,25.768,""{""""BalletSteps"""":""""8""""}"""
"3_ylkEgADa,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",35.893,36.973,""{""""BalletSteps"""":""""14""""}"""
"3_ZqFS2gaX,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",40.134,41.234,""{""""BalletSteps"""":""""14""""}"""
"3_8uYMK2Cc,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",46.036,46.576,""{""""BalletSteps"""":""""8""""}"""
"3_1XxvCTd5,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",46.576,47.056,""{""""BalletSteps"""":""""8""""}"""
"3_Ct2S3rzP,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",47.056,47.496,""{""""BalletSteps"""":""""8""""}"""
"3_kjst5xcD,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",47.496,47.976,""{""""BalletSteps"""":""""8""""}"""
"3_bpHbVOXL,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",47.976,48.676,""{""""BalletSteps"""":""""8""""}"""
"3_QXG1RJgR,""[""""file:///C:\\Annotation\\LUC\\LUC0003.mp4""""]"",48.676,49.696,""{""""BalletSteps"""":""""14""""}"""
"4_1JLXvfeG,""[""""file:///C:\\Annotation\\LUC\\LUC0005.mp4""""]"",,,""{""""OnlyOneDancer?"""":""""0""""}"""
"4_uWXlqXib,""[""""file:///C:\\Annotation\\LUC\\LUC0005.mp4""""]"",1.632,2.432,""{""""BalletSteps"""":""""14""""}"""
"4_Na5SXBq4,""[""""file:///C:\\Annotation\\LUC\\LUC0005.mp4""""]"",3.467,4.207,""{""""BalletSteps"""":""""0""""}"""
"4_6McXE7ua,""[""""file:///C:\\Annotation\\LUC\\LUC0005.mp4""""]"",3.467,4.207,""{""""BalletSteps"""":""""19""""}"""
"4_ovswTAvy,""[""""file:///C:\\Annotation\\LUC\\LUC0005.mp4""""]"",5.886,6.686,""{""""BalletSteps"""":""""14""""}"""
"4_xDLdkqgk,""[""""file:///C:\\Annotation\\LUC\\LUC0005.mp4""""]"",7.872,8.232,""{""""BalletSteps"""":""""0""""}"""
"4_KOQ9cXpy,""[""""file:///C:\\Annotation\\LUC\\LUC0005.mp4""""]"",10.112,11.032,""{""""BalletSteps"""":""""14""""}"""
"4_edRXsXZD,""[""""file:///C:\\Annotation\\LUC\\LUC0005.mp4""""]"",22.608,23.408,""{""""BalletSteps"""":""""15""""}"""
"4_pzgI9WXT,""[""""file:///C:\\Annotation\\LUC\\LUC0005.mp4""""]"",35.583,36.103,""{""""BalletSteps"""":""""8""""}"""
"4_1c54KdtN,""[""""file:///C:\\Annotation\\LUC\\LUC0005.mp4""""]"",36.103,36.563,""{""""BalletSteps"""":""""8""""}"""
"4_dktr0Tlc,""[""""file:///C:\\Annotation\\LUC\\LUC0005.mp4""""]"",36.563,37.003,""{""""BalletSteps"""":""""8""""}"""
"4_FSEs23Pt,""[""""file:///C:\\Annotation\\LUC\\LUC0005.mp4""""]"",37.003,37.783,""{""""BalletSteps"""":""""8""""}"""
