# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_htWRMu2R","[""file:///C:\\Annotation\\NUP\\NUP0000.mp4""]",,,"{""OnlyOneDancer?"":""1""}"
"2_KCPGBAB7","[""file:///C:\\Annotation\\NUP\\NUP0001.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"3_8JFNQuaH","[""file:///C:\\Annotation\\NUP\\NUP0002.mp4""]",,,"{""OnlyOneDancer?"":""1""}"
"4_Fbe9AfTF","[""file:///C:\\Annotation\\NUP\\NUP0003.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_sFyXvyss","[""file:///C:\\Annotation\\NUP\\NUP0000.mp4""]",3.224,4.224,"{""BalletSteps"":""14""}"
"1_xOoXrBJV","[""file:///C:\\Annotation\\NUP\\NUP0000.mp4""]",7.66,8.26,"{""BalletSteps"":""6""}"
"1_SX9XMeXX","[""file:///C:\\Annotation\\NUP\\NUP0000.mp4""]",8.664,9.324,"{""BalletSteps"":""6""}"
"1_mLWIcXTM","[""file:///C:\\Annotation\\NUP\\NUP0000.mp4""]",9.744,10.364,"{""BalletSteps"":""6""}"
"1_6pqOQG2y","[""file:///C:\\Annotation\\NUP\\NUP0000.mp4""]",11.525,12.605,"{""BalletSteps"":""14""}"
"1_4RVHYXEq","[""file:///C:\\Annotation\\NUP\\NUP0000.mp4""]",21.217,22.217,"{""BalletSteps"":""14""}"
"1_Tb7jybmE","[""file:///C:\\Annotation\\NUP\\NUP0000.mp4""]",25.074,26.074,"{""BalletSteps"":""14""}"
"1_kr4kmk8z","[""file:///C:\\Annotation\\NUP\\NUP0000.mp4""]",29.17,30.17,"{""BalletSteps"":""14""}"
"1_JoPnzBP2","[""file:///C:\\Annotation\\NUP\\NUP0000.mp4""]",35.439,36.179,"{""BalletSteps"":""16""}"
"1_whhnXVc8","[""file:///C:\\Annotation\\NUP\\NUP0000.mp4""]",36.179,36.919,"{""BalletSteps"":""16""}"
"1_CyV1YRbq","[""file:///C:\\Annotation\\NUP\\NUP0000.mp4""]",36.919,37.679,"{""BalletSteps"":""16""}"
