# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_BPju8eqZ","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",,,"{""OnlyOneDancer?"":""1""}"
"1_nufX8dfY","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",2.815,3.435,"{""BalletSteps"":""9""}"
"1_JtSNxBd4","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",3.515,4.075,"{""BalletSteps"":""9""}"
"1_ghYcioYs","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",4.075,4.955,"{""BalletSteps"":""9""}"
"1_o6XpFYMu","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",6.472,7.072,"{""BalletSteps"":""9""}"
"1_VpCmFT5R","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",7.072,7.692,"{""BalletSteps"":""9""}"
"1_qrXMM5Yt","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",7.692,8.452,"{""BalletSteps"":""9""}"
"1_oeAX7G0b","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",10.078,10.718,"{""BalletSteps"":""9""}"
"1_kvviUdgo","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",10.718,11.378,"{""BalletSteps"":""9""}"
"1_RDSaskgX","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",11.378,11.978,"{""BalletSteps"":""9""}"
"1_r3Xk6ane","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",16.23,16.79,"{""BalletSteps"":""12""}"
"1_fG4wQRvh","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",21.137,21.697,"{""BalletSteps"":""13""}"
"1_Poj1PBSm","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",25.629,26.209,"{""BalletSteps"":""12""}"
"1_jGeppat2","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",36.712,37.232,"{""BalletSteps"":""9""}"
"1_prKbhIFq","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",37.232,38.032,"{""BalletSteps"":""9""}"
"1_VMvKMFPL","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",40.74,41.28,"{""BalletSteps"":""9""}"
"1_OX9uRhdg","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",41.28,42.1,"{""BalletSteps"":""9""}"
"1_5OKgNfLG","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",44.758,45.258,"{""BalletSteps"":""9""}"
"1_JMGMMWPP","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",45.258,45.838,"{""BalletSteps"":""9""}"
"1_BWz7fXff","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",46.042,46.642,"{""BalletSteps"":""8""}"
"1_hLQjnt4g","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",46.642,47.462,"{""BalletSteps"":""8""}"
"1_P82qo7Xg","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",48.219,48.819,"{""BalletSteps"":""6""}"
"1_oerkGUFR","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",49.391,50.051,"{""BalletSteps"":""8""}"
"1_h6qsk8mH","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",49.371,50.10642,"{""BalletSteps"":""19""}"
"1_iX4wqBwv","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",50.131,50.831,"{""BalletSteps"":""8""}"
"1_aKxrXjf4","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",50.131,50.911,"{""BalletSteps"":""19""}"
"1_eJxWvrTP","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",51.559,52.179,"{""BalletSteps"":""6""}"
"1_ZnpDovTP","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",51.559,52.199,"{""BalletSteps"":""19""}"
"1_BXSYzKwC","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",52.755,53.475,"{""BalletSteps"":""8""}"
"1_V5QulEAU","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",53.535,54.215,"{""BalletSteps"":""8""}"
"1_p0FNjX8L","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",54.951,55.591,"{""BalletSteps"":""6""}"
"1_qsxhUYSx","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",55.911,56.611,"{""BalletSteps"":""8""}"
"1_jeqj3yhy","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",56.611,57.211,"{""BalletSteps"":""8""}"
"1_qXHZPwke","[""file:///C:\\Annotation\\OD1\\OD10000.mp4""]",57.211,57.851,"{""BalletSteps"":""8""}"
