# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_UTnDBZG6","[""file:///C:\\Annotation\\ODA\\ODA0000.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_onkXcVla","[""file:///C:\\Annotation\\ODA\\ODA0000.mp4""]",4.92142,5.655,"{""BalletSteps"":""0""}"
"1_HEFOwVpY","[""file:///C:\\Annotation\\ODA\\ODA0000.mp4""]",9.72,10.46,"{""BalletSteps"":""0""}"
"1_bcuJohJZ","[""file:///C:\\Annotation\\ODA\\ODA0000.mp4""]",14.527,15.167,"{""BalletSteps"":""0""}"
"1_QLJlAy9C","[""file:///C:\\Annotation\\ODA\\ODA0000.mp4""]",21.884,22.504,"{""BalletSteps"":""1""}"
"1_Je3GheY6","[""file:///C:\\Annotation\\ODA\\ODA0000.mp4""]",26.363,26.883,"{""BalletSteps"":""1""}"
"1_wTQOZ0Es","[""file:///C:\\Annotation\\ODA\\ODA0000.mp4""]",30.74,31.16,"{""BalletSteps"":""1""}"
"1_lOrSM6qK","[""file:///C:\\Annotation\\ODA\\ODA0000.mp4""]",39.677,40.337,"{""BalletSteps"":""8""}"
"1_ZMaRmu1E","[""file:///C:\\Annotation\\ODA\\ODA0000.mp4""]",44.111,44.891,"{""BalletSteps"":""9""}"
"1_IiY9u56I","[""file:///C:\\Annotation\\ODA\\ODA0000.mp4""]",49.296,49.736,"{""BalletSteps"":""8""}"
"1_Ad9XC0L1","[""file:///C:\\Annotation\\ODA\\ODA0000.mp4""]",49.736,50.276,"{""BalletSteps"":""8""}"
"1_8RBu2H0Y","[""file:///C:\\Annotation\\ODA\\ODA0000.mp4""]",51.55,52.01,"{""BalletSteps"":""9""}"
"1_cziNb0W6","[""file:///C:\\Annotation\\ODA\\ODA0000.mp4""]",52.674,53.094,"{""BalletSteps"":""9""}"
"1_VWxU3n6V","[""file:///C:\\Annotation\\ODA\\ODA0000.mp4""]",53.699,54.079,"{""BalletSteps"":""9""}"
"1_0OOCGCVE","[""file:///C:\\Annotation\\ODA\\ODA0000.mp4""]",54.079,54.619,"{""BalletSteps"":""9""}"
"2_wDhqtpeF","[""file:///C:\\Annotation\\ODA\\ODA0001.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"2_r0peyC34","[""file:///C:\\Annotation\\ODA\\ODA0001.mp4""]",4.724,5.064,"{""BalletSteps"":""0""}"
"2_oEOYGShW","[""file:///C:\\Annotation\\ODA\\ODA0001.mp4""]",9.079,9.439,"{""BalletSteps"":""0""}"
"2_BQxjtXWX","[""file:///C:\\Annotation\\ODA\\ODA0001.mp4""]",13.401,13.721,"{""BalletSteps"":""0""}"
"2_e4qTrEBF","[""file:///C:\\Annotation\\ODA\\ODA0001.mp4""]",20.749,21.309,"{""BalletSteps"":""1""}"
"2_eoHXK2Vv","[""file:///C:\\Annotation\\ODA\\ODA0001.mp4""]",25.188,25.668,"{""BalletSteps"":""1""}"
"2_MknhixWY","[""file:///C:\\Annotation\\ODA\\ODA0001.mp4""]",29.739,30.499,"{""BalletSteps"":""1""}"
"2_6CjGZi5f","[""file:///C:\\Annotation\\ODA\\ODA0001.mp4""]",38.809,39.509,"{""BalletSteps"":""8""}"
"2_j0yjqFY6","[""file:///C:\\Annotation\\ODA\\ODA0001.mp4""]",42.967,43.647,"{""BalletSteps"":""9""}"
"2_9xALBAXN","[""file:///C:\\Annotation\\ODA\\ODA0001.mp4""]",47.393,48.073,"{""BalletSteps"":""8""}"
"2_YmW2TQ51","[""file:///C:\\Annotation\\ODA\\ODA0001.mp4""]",50.579,50.939,"{""BalletSteps"":""9""}"
"2_eXz9yhyd","[""file:///C:\\Annotation\\ODA\\ODA0001.mp4""]",51.396,51.756,"{""BalletSteps"":""9""}"
"2_12htt5op","[""file:///C:\\Annotation\\ODA\\ODA0001.mp4""]",52.223,52.683,"{""BalletSteps"":""9""}"
"2_KllP4llZ","[""file:///C:\\Annotation\\ODA\\ODA0001.mp4""]",53.173,53.593,"{""BalletSteps"":""9""}"
"2_Sb9huira","[""file:///C:\\Annotation\\ODA\\ODA0001.mp4""]",53.593,54.273,"{""BalletSteps"":""9""}"
"3_hSCzJJy4","[""file:///C:\\Annotation\\ODA\\ODA0002.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"3_A6jl3bfv","[""file:///C:\\Annotation\\ODA\\ODA0002.mp4""]",4.66,5.02,"{""BalletSteps"":""0""}"
"3_ilYhHBaH","[""file:///C:\\Annotation\\ODA\\ODA0002.mp4""]",9.228,9.588,"{""BalletSteps"":""0""}"
"3_RBZwxLsX","[""file:///C:\\Annotation\\ODA\\ODA0002.mp4""]",14.016,14.396,"{""BalletSteps"":""0""}"
"3_lsASylBX","[""file:///C:\\Annotation\\ODA\\ODA0002.mp4""]",21.394,21.914,"{""BalletSteps"":""1""}"
"3_XbdXneOM","[""file:///C:\\Annotation\\ODA\\ODA0002.mp4""]",26.1,26.58,"{""BalletSteps"":""1""}"
"3_LWzqWeUV","[""file:///C:\\Annotation\\ODA\\ODA0002.mp4""]",30.875,31.415,"{""BalletSteps"":""1""}"
