# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_Jv5aWIbY","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_gOLRNYBp","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",4.291,4.811,"{""BalletSteps"":""0""}"
"1_yLc2uDBV","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",6.688,7.268,"{""BalletSteps"":""0""}"
"1_sYvCZUM4","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",9.382,10.002,"{""BalletSteps"":""0""}"
"1_MoZzJ6Pn","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",14.055,14.495,"{""BalletSteps"":""0""}"
"1_1w2dftlr","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",16.205,16.805,"{""BalletSteps"":""0""}"
"1_X8xsjnSB","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",19.077,19.897,"{""BalletSteps"":""0""}"
"1_MKCu7qFf","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",23.781,24.301,"{""BalletSteps"":""0""}"
"1_Tr008fjr","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",26.207,27.027,"{""BalletSteps"":""0""}"
"1_XdtJfJfz","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",39.672,40.972,"{""BalletSteps"":""2""}"
"1_syax5SXD","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",42.209,43.069,"{""BalletSteps"":""12""}"
"1_8EmgVFX2","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",44.323,45.123,"{""BalletSteps"":""1""}"
"1_psXVVJF0","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",48.145,48.785,"{""BalletSteps"":""2""}"
"1_wif2RaCK","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",50.419,51.359,"{""BalletSteps"":""12""}"
"1_N9lWl5Z8","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",52.39476,53.273,"{""BalletSteps"":""1""}"
"1_X2F93XXe","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",56.517,57.457,"{""BalletSteps"":""2""}"
"1_uXAds5V5","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",58.653,59.773,"{""BalletSteps"":""12""}"
"1_QnXRricv","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",60.04392,61.051,"{""BalletSteps"":""1""}"
"1_ADZfcXIB","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",71.079,71.679,"{""BalletSteps"":""4""}"
"1_JUhJFcOQ","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",73.858,74.478,"{""BalletSteps"":""4""}"
"1_sFkiCYRj","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",78.017,78.857,"{""BalletSteps"":""0""}"
"1_o0SIOz2N","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",82.716,83.316,"{""BalletSteps"":""4""}"
"1_rOMoiEQl","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",85.21,85.77,"{""BalletSteps"":""4""}"
"1_rQSWQC34","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",89.483,90.223,"{""BalletSteps"":""0""}"
"1_wkFM2ogX","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",93.249,93.789,"{""BalletSteps"":""0""}"
"1_5pgeyMjZ","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",94.597,97.737,"{""BalletSteps"":""2""}"
"1_PBl5maOX","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",101.79,102.27,"{""BalletSteps"":""1""}"
"1_V21vEXqJ","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",122.899,123.519,"{""BalletSteps"":""9""}"
"1_vsP9sDYd","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",123.519,124.119,"{""BalletSteps"":""9""}"
"1_uqEU8im3","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",129.937,130.557,"{""BalletSteps"":""9""}"
"1_H3dSCXOL","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",130.557,131.237,"{""BalletSteps"":""9""}"
"1_hh791WMt","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",136.655,137.235,"{""BalletSteps"":""9""}"
"1_vPbqDpde","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",137.235,137.795,"{""BalletSteps"":""9""}"
"1_EwRi2zfK","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",138.284,139.604,"{""BalletSteps"":""0""}"
"2_unqZ5poh","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"2_4XVXKvIn","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",4.664,5.164,"{""BalletSteps"":""0""}"
"2_cuMWdLxE","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",6.733,7.253,"{""BalletSteps"":""0""}"
"2_yAZAqaZZ","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",8.948,9.848,"{""BalletSteps"":""0""}"
"2_xkTo0Q4C","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",13.008,13.408,"{""BalletSteps"":""0""}"
"2_PHUznKJY","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",14.875,15.375,"{""BalletSteps"":""0""}"
"2_C6jcpJvH","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",17.096,18.156,"{""BalletSteps"":""0""}"
"2_QSLOAAIB","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",21.254,21.954,"{""BalletSteps"":""0""}"
"2_36cynEX5","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",23.689,24.429,"{""BalletSteps"":""0""}"
"2_6Tqeq8HX","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",37.297,38.937,"{""BalletSteps"":""2""}"
"2_M3f6jh5y","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",40.2,41.14,"{""BalletSteps"":""13""}"
"2_Htf5ID6o","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",41.915,42.755,"{""BalletSteps"":""0""}"
"2_VXujPSoW","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",46.21,47.45,"{""BalletSteps"":""2""}"
"2_SqAlSVca","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",48.818,49.758,"{""BalletSteps"":""13""}"
"2_okqzAsdB","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",50.427,51.227,"{""BalletSteps"":""0""}"
"2_iyCGEBZe","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",54.617,55.997,"{""BalletSteps"":""2""}"
"2_LfQFo5Sk","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",57.403,58.443,"{""BalletSteps"":""13""}"
"2_X45yJKXX","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",58.946,59.786,"{""BalletSteps"":""0""}"
"2_qjHLLvMo","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",72.507,73.027,"{""BalletSteps"":""4""}"
"2_TNJja4AE","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",75.238,75.738,"{""BalletSteps"":""4""}"
"2_mLAXBKOH","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",83.162,83.662,"{""BalletSteps"":""4""}"
"2_EeWGrlOa","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",85.844,86.344,"{""BalletSteps"":""4""}"
"2_yDxfNb8i","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",100.544,100.964,"{""BalletSteps"":""1""}"
"2_TXPEbTUp","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",100.544,100.964,"{""BalletSteps"":""19""}"
"2_6l0cDHJR","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",115.992,116.612,"{""BalletSteps"":""7""}"
"2_n3MTNPjs","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",116.612,117.292,"{""BalletSteps"":""7""}"
"2_0g7jJxBj","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",124.382,125.082,"{""BalletSteps"":""7""}"
"2_67CXjWtk","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",125.082,125.802,"{""BalletSteps"":""7""}"
"2_TWIp6ChN","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",132.821,133.501,"{""BalletSteps"":""7""}"
"2_UgEcbcLo","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",133.501,134.201,"{""BalletSteps"":""7""}"
"2_kgd7Tq2E","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",134.201,134.861,"{""BalletSteps"":""7""}"
"2_Eu2DegbP","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",135.516,136.356,"{""BalletSteps"":""0""}"
"2_7W2ljeor","[""file:///C:\\Annotation\\PAA\\PAA0001.mp4""]",141.513,142.413,"{""BalletSteps"":""2""}"
"1_4wWZgfZk","[""file:///C:\\Annotation\\PAA\\PAA0000.mp4""]",101.79,102.27,"{""BalletSteps"":""19""}"
"3_Ha7gXGcS","[""file:///C:\\Annotation\\PAA\\PAA0002.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
