# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_nPQ3g47f","[""file:///C:\\Annotation\\PAR\\PAR0000.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_9fPb0nue","[""file:///C:\\Annotation\\PAR\\PAR0000.mp4""]",0.654,1.674,"{""BalletSteps"":""17""}"
"1_NUlQjBUC","[""file:///C:\\Annotation\\PAR\\PAR0000.mp4""]",3.463,4.603,"{""BalletSteps"":""17""}"
"1_VVmfqaOv","[""file:///C:\\Annotation\\PAR\\PAR0000.mp4""]",6.297,7.297,"{""BalletSteps"":""0""}"
"1_h0pJ1N71","[""file:///C:\\Annotation\\PAR\\PAR0000.mp4""]",13.81,14.40059,"{""BalletSteps"":""9""}"
"1_ksHOyyb2","[""file:///C:\\Annotation\\PAR\\PAR0000.mp4""]",14.401,14.961,"{""BalletSteps"":""9""}"
"1_aK8bXKJX","[""file:///C:\\Annotation\\PAR\\PAR0000.mp4""]",14.961,15.801,"{""BalletSteps"":""9""}"
"1_qBSGpcIw","[""file:///C:\\Annotation\\PAR\\PAR0000.mp4""]",18.403,19.803,"{""BalletSteps"":""18""}"
"1_n4E0K7Pk","[""file:///C:\\Annotation\\PAR\\PAR0000.mp4""]",18.403,19.803,"{""BalletSteps"":""19""}"
"1_ExilwFw1","[""file:///C:\\Annotation\\PAR\\PAR0000.mp4""]",20.501,21.601,"{""BalletSteps"":""0""}"
"1_SOcLXnWV","[""file:///C:\\Annotation\\PAR\\PAR0000.mp4""]",28.452,28.912,"{""BalletSteps"":""13""}"
"1_4KvdDM2P","[""file:///C:\\Annotation\\PAR\\PAR0000.mp4""]",30.846,31.366,"{""BalletSteps"":""12""}"
"1_tAVYsk37","[""file:///C:\\Annotation\\PAR\\PAR0000.mp4""]",33.733,34.213,"{""BalletSteps"":""13""}"
"1_fndXkEvV","[""file:///C:\\Annotation\\PAR\\PAR0000.mp4""]",36.525,37.065,"{""BalletSteps"":""12""}"
"1_bePLjpFH","[""file:///C:\\Annotation\\PAR\\PAR0000.mp4""]",39.261,40.041,"{""BalletSteps"":""8""}"
"1_hN27A54N","[""file:///C:\\Annotation\\PAR\\PAR0000.mp4""]",40.041,40.661,"{""BalletSteps"":""8""}"
"1_ZeFXSPqn","[""file:///C:\\Annotation\\PAR\\PAR0000.mp4""]",41.012,41.412,"{""BalletSteps"":""0""}"
"1_ABVP2XYL","[""file:///C:\\Annotation\\PAR\\PAR0000.mp4""]",42.65,43.27,"{""BalletSteps"":""8""}"
"1_NWddIMDa","[""file:///C:\\Annotation\\PAR\\PAR0000.mp4""]",43.27,43.95,"{""BalletSteps"":""8""}"
"1_vZRXzalk","[""file:///C:\\Annotation\\PAR\\PAR0000.mp4""]",42.65,44.77,"{""BalletSteps"":""19""}"
"1_nUKX1i1f","[""file:///C:\\Annotation\\PAR\\PAR0000.mp4""]",44.333,44.753,"{""BalletSteps"":""0""}"
"1_Y0LGfmWV","[""file:///C:\\Annotation\\PAR\\PAR0000.mp4""]",67.845,68.545,"{""BalletSteps"":""8""}"
"1_GgMMCnXE","[""file:///C:\\Annotation\\PAR\\PAR0000.mp4""]",68.545,69.145,"{""BalletSteps"":""8""}"
"1_kyVsCSB4","[""file:///C:\\Annotation\\PAR\\PAR0000.mp4""]",71.153,71.613,"{""BalletSteps"":""9""}"
