# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_unI7l4wI","[""file:///C:\\Annotation\\PAV\\PAV0000.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_KZV95TXI","[""file:///C:\\Annotation\\PAV\\PAV0000.mp4""]",36.509,37.109,"{""BalletSteps"":""4""}"
"1_vQdkTjku","[""file:///C:\\Annotation\\PAV\\PAV0000.mp4""]",37.936,38.516,"{""BalletSteps"":""9""}"
"1_oOGX8870","[""file:///C:\\Annotation\\PAV\\PAV0000.mp4""]",38.516,39.076,"{""BalletSteps"":""9""}"
"1_l6qLbt3t","[""file:///C:\\Annotation\\PAV\\PAV0000.mp4""]",40.526,41.106,"{""BalletSteps"":""4""}"
"1_Lp6x8KYY","[""file:///C:\\Annotation\\PAV\\PAV0000.mp4""]",41.982,42.462,"{""BalletSteps"":""9""}"
"1_ptrNv4s5","[""file:///C:\\Annotation\\PAV\\PAV0000.mp4""]",42.462,43.142,"{""BalletSteps"":""9""}"
"1_bZhuQZN6","[""file:///C:\\Annotation\\PAV\\PAV0000.mp4""]",44.693,45.273,"{""BalletSteps"":""4""}"
"1_JKvXR0Vc","[""file:///C:\\Annotation\\PAV\\PAV0000.mp4""]",54.619,55.119,"{""BalletSteps"":""16""}"
"1_KIOI87fJ","[""file:///C:\\Annotation\\PAV\\PAV0000.mp4""]",57.025,57.665,"{""BalletSteps"":""7""}"
"1_486k33Q2","[""file:///C:\\Annotation\\PAV\\PAV0000.mp4""]",57.025,57.665,"{""BalletSteps"":""19""}"
"1_kPRoy5B0","[""file:///C:\\Annotation\\PAV\\PAV0000.mp4""]",58.779,59.279,"{""BalletSteps"":""16""}"
"1_jXQqfa6m","[""file:///C:\\Annotation\\PAV\\PAV0000.mp4""]",61.255,61.875,"{""BalletSteps"":""7""}"
"1_PZaszMBV","[""file:///C:\\Annotation\\PAV\\PAV0000.mp4""]",63.465,64.025,"{""BalletSteps"":""1""}"
"1_45USs4M5","[""file:///C:\\Annotation\\PAV\\PAV0000.mp4""]",65.658,66.158,"{""BalletSteps"":""15""}"
"1_Ns2tXMVI","[""file:///C:\\Annotation\\PAV\\PAV0000.mp4""]",70.176,70.956,"{""BalletSteps"":""8""}"
"1_86ssSHlh","[""file:///C:\\Annotation\\PAV\\PAV0000.mp4""]",72.261,72.961,"{""BalletSteps"":""8""}"
"1_B8XgXbE3","[""file:///C:\\Annotation\\PAV\\PAV0000.mp4""]",72.961,73.661,"{""BalletSteps"":""8""}"
"1_npC1FkAt","[""file:///C:\\Annotation\\PAV\\PAV0000.mp4""]",73.661,74.681,"{""BalletSteps"":""8""}"
"1_dWWjXZ9z","[""file:///C:\\Annotation\\PAV\\PAV0000.mp4""]",74.681,75.721,"{""BalletSteps"":""8""}"
"1_EcHiQLJm","[""file:///C:\\Annotation\\PAV\\PAV0000.mp4""]",75.721,76.661,"{""BalletSteps"":""8""}"
"1_XToJPi0l","[""file:///C:\\Annotation\\PAV\\PAV0000.mp4""]",77.743,78.383,"{""BalletSteps"":""9""}"
"2_xLspaXzK","[""file:///C:\\Annotation\\PAV\\PAV0001.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"2_ZZNbr10j","[""file:///C:\\Annotation\\PAV\\PAV0001.mp4""]",35.693,36.293,"{""BalletSteps"":""4""}"
"2_wbdau6CK","[""file:///C:\\Annotation\\PAV\\PAV0001.mp4""]",37.085,37.425,"{""BalletSteps"":""9""}"
"2_EMkh9pM8","[""file:///C:\\Annotation\\PAV\\PAV0001.mp4""]",37.425,38.225,"{""BalletSteps"":""9""}"
"2_v2RKFaM0","[""file:///C:\\Annotation\\PAV\\PAV0001.mp4""]",40.118,40.678,"{""BalletSteps"":""4""}"
"2_fWswOr0B","[""file:///C:\\Annotation\\PAV\\PAV0001.mp4""]",41.663,41.963,"{""BalletSteps"":""9""}"
"2_Iuv2XDgN","[""file:///C:\\Annotation\\PAV\\PAV0001.mp4""]",41.963,42.723,"{""BalletSteps"":""9""}"
"2_VfdXXOzA","[""file:///C:\\Annotation\\PAV\\PAV0001.mp4""]",44.22,44.8,"{""BalletSteps"":""4""}"
