# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_lAYihXP4","[""file:///C:\\Annotation\\PHD\\PHD0000.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_HDV0Zc6u","[""file:///C:\\Annotation\\PHD\\PHD0000.mp4""]",1.11,1.49,"{""BalletSteps"":""0""}"
"1_UKgipp4a","[""file:///C:\\Annotation\\PHD\\PHD0000.mp4""]",5.886,6.646,"{""BalletSteps"":""10""}"
"1_548Vt9C6","[""file:///C:\\Annotation\\PHD\\PHD0000.mp4""]",6.646,7.506,"{""BalletSteps"":""11""}"
"1_6jKSneZU","[""file:///C:\\Annotation\\PHD\\PHD0000.mp4""]",7.506,8.206,"{""BalletSteps"":""10""}"
"1_FCOtUEbO","[""file:///C:\\Annotation\\PHD\\PHD0000.mp4""]",11.067,11.367,"{""BalletSteps"":""0""}"
"1_yacczkIo","[""file:///C:\\Annotation\\PHD\\PHD0000.mp4""]",14.961,15.701,"{""BalletSteps"":""10""}"
"1_dNt2VD0a","[""file:///C:\\Annotation\\PHD\\PHD0000.mp4""]",15.741,16.461,"{""BalletSteps"":""11""}"
"1_tuBlXuBG","[""file:///C:\\Annotation\\PHD\\PHD0000.mp4""]",16.461,17.181,"{""BalletSteps"":""10""}"
"1_pkp9NcYq","[""file:///C:\\Annotation\\PHD\\PHD0000.mp4""]",19.86,20.26,"{""BalletSteps"":""0""}"
"1_daGtJJ20","[""file:///C:\\Annotation\\PHD\\PHD0000.mp4""]",21.287,21.947,"{""BalletSteps"":""2""}"
"1_XeDiXUnX","[""file:///C:\\Annotation\\PHD\\PHD0000.mp4""]",24.56,25.14,"{""BalletSteps"":""2""}"
"1_c8B8Q1lz","[""file:///C:\\Annotation\\PHD\\PHD0000.mp4""]",47.841,49.081,"{""BalletSteps"":""2""}"
"1_HpldWszZ","[""file:///C:\\Annotation\\PHD\\PHD0000.mp4""]",57.901,58.301,"{""BalletSteps"":""0""}"
"1_KTy0lr0O","[""file:///C:\\Annotation\\PHD\\PHD0000.mp4""]",63.65,64.03,"{""BalletSteps"":""0""}"
