# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_JgUqXHSa","[""file:///C:\\Annotation\\QOD\\QOD0000.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"20_z7hDdhQW","[""file:///C:\\Annotation\\QOD\\QOD0019.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_skNMxmXA","[""file:///C:\\Annotation\\QOD\\QOD0000.mp4""]",3.039,3.999,"{""BalletSteps"":""13""}"
"1_DI280z4P","[""file:///C:\\Annotation\\QOD\\QOD0000.mp4""]",6.562,7.422,"{""BalletSteps"":""12""}"
"1_qOLILWO5","[""file:///C:\\Annotation\\QOD\\QOD0000.mp4""]",9.844,10.704,"{""BalletSteps"":""13""}"
"1_1QYU5FpT","[""file:///C:\\Annotation\\QOD\\QOD0000.mp4""]",13.088,13.968,"{""BalletSteps"":""12""}"
"1_ut0wZHkl","[""file:///C:\\Annotation\\QOD\\QOD0000.mp4""]",17.151,17.911,"{""BalletSteps"":""0""}"
"1_TFPmPJWx","[""file:///C:\\Annotation\\QOD\\QOD0000.mp4""]",20.042,20.582,"{""BalletSteps"":""1""}"
"1_EtU4l3HP","[""file:///C:\\Annotation\\QOD\\QOD0000.mp4""]",31.287,32.187,"{""BalletSteps"":""12""}"
"1_9HGxtd1O","[""file:///C:\\Annotation\\QOD\\QOD0000.mp4""]",34.848,35.628,"{""BalletSteps"":""13""}"
"1_9i7opnhf","[""file:///C:\\Annotation\\QOD\\QOD0000.mp4""]",37.901,38.621,"{""BalletSteps"":""12""}"
"1_2FYgccNm","[""file:///C:\\Annotation\\QOD\\QOD0000.mp4""]",41.059,41.759,"{""BalletSteps"":""13""}"
"1_XpYUigj0","[""file:///C:\\Annotation\\QOD\\QOD0000.mp4""]",44.428,45.008,"{""BalletSteps"":""1""}"
"1_UmXHlOwl","[""file:///C:\\Annotation\\QOD\\QOD0000.mp4""]",47.213,47.713,"{""BalletSteps"":""0""}"
"1_XmWUe1s4","[""file:///C:\\Annotation\\QOD\\QOD0000.mp4""]",58.486,59.206,"{""BalletSteps"":""9""}"
"1_794IjRVO","[""file:///C:\\Annotation\\QOD\\QOD0000.mp4""]",59.206,59.806,"{""BalletSteps"":""9""}"
"1_bXhg32ZX","[""file:///C:\\Annotation\\QOD\\QOD0000.mp4""]",59.806,60.506,"{""BalletSteps"":""9""}"
"1_w5gAsxwX","[""file:///C:\\Annotation\\QOD\\QOD0000.mp4""]",60.888,61.308,"{""BalletSteps"":""0""}"
"1_MIXzyiJH","[""file:///C:\\Annotation\\QOD\\QOD0000.mp4""]",70.281,70.921,"{""BalletSteps"":""9""}"
"1_XshLScKw","[""file:///C:\\Annotation\\QOD\\QOD0000.mp4""]",70.921,71.461,"{""BalletSteps"":""9""}"
"1_jXRW4nl0","[""file:///C:\\Annotation\\QOD\\QOD0000.mp4""]",71.461,72.061,"{""BalletSteps"":""9""}"
"1_FjSPjJlE","[""file:///C:\\Annotation\\QOD\\QOD0000.mp4""]",72.061,72.981,"{""BalletSteps"":""9""}"
"1_z8NtI4eE","[""file:///C:\\Annotation\\QOD\\QOD0000.mp4""]",78.105,78.625,"{""BalletSteps"":""13""}"
"1_lBXBysNK","[""file:///C:\\Annotation\\QOD\\QOD0000.mp4""]",80.53,81.17,"{""BalletSteps"":""13""}"
"2_jzINjLzn","[""file:///C:\\Annotation\\QOD\\QOD0001.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_riI4xay8","[""file:///C:\\Annotation\\QOD\\QOD0000.mp4""]",83.065,83.585,"{""BalletSteps"":""13""}"
"1_N4bFdWfM","[""file:///C:\\Annotation\\QOD\\QOD0000.mp4""]",85.457,86.017,"{""BalletSteps"":""13""}"
"1_2R9WONXv","[""file:///C:\\Annotation\\QOD\\QOD0000.mp4""]",87.813,88.433,"{""BalletSteps"":""13""}"
