# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_5DaQFh6w","[""file:///C:\\Annotation\\RMT\\RMT0001.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"2_6wdjS7TV","[""file:///C:\\Annotation\\RMT\\RMT0002.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"3_KydlJ1Xl","[""file:///C:\\Annotation\\RMT\\RMT0003.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"2_cFfG0Fav","[""file:///C:\\Annotation\\RMT\\RMT0002.mp4""]",1.579,2.87976,"{""BalletSteps"":""0""}"
"2_c7XYKng6","[""file:///C:\\Annotation\\RMT\\RMT0002.mp4""]",6.54,7.82,"{""BalletSteps"":""0""}"
"2_pdrZypsX","[""file:///C:\\Annotation\\RMT\\RMT0002.mp4""]",11.427,12.527,"{""BalletSteps"":""1""}"
"2_KEnlXGiZ","[""file:///C:\\Annotation\\RMT\\RMT0002.mp4""]",15.837,17.257,"{""BalletSteps"":""1""}"
"2_EAmkIL17","[""file:///C:\\Annotation\\RMT\\RMT0002.mp4""]",21.033,22.233,"{""BalletSteps"":""0""}"
"2_GSRxAVNg","[""file:///C:\\Annotation\\RMT\\RMT0002.mp4""]",25.652,26.892,"{""BalletSteps"":""0""}"
"2_c5rXo5CH","[""file:///C:\\Annotation\\RMT\\RMT0002.mp4""]",41.378,42.018,"{""BalletSteps"":""12""}"
"2_QIYbb8t0","[""file:///C:\\Annotation\\RMT\\RMT0002.mp4""]",50.221,50.741,"{""BalletSteps"":""12""}"
"2_9wtpZY8w","[""file:///C:\\Annotation\\RMT\\RMT0002.mp4""]",58.693,59.113,"{""BalletSteps"":""12""}"
"2_X6lXzXFK","[""file:///C:\\Annotation\\RMT\\RMT0002.mp4""]",97.83,99.51,"{""BalletSteps"":""2""}"
"20_wiRigFa5","[""file:///C:\\Annotation\\RMT\\RMT0024.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_1942dibD","[""file:///C:\\Annotation\\RMT\\RMT0001.mp4""]",1.723,3.023,"{""BalletSteps"":""0""}"
"1_2gP85XOf","[""file:///C:\\Annotation\\RMT\\RMT0001.mp4""]",6.56,7.92,"{""BalletSteps"":""0""}"
"1_7i6LXAj9","[""file:///C:\\Annotation\\RMT\\RMT0001.mp4""]",11.574,12.634,"{""BalletSteps"":""1""}"
"1_4LBL6XPR","[""file:///C:\\Annotation\\RMT\\RMT0001.mp4""]",16.255,17.435,"{""BalletSteps"":""1""}"
"1_BEVaTRvx","[""file:///C:\\Annotation\\RMT\\RMT0001.mp4""]",21.007,22.247,"{""BalletSteps"":""0""}"
"1_wWXVKncX","[""file:///C:\\Annotation\\RMT\\RMT0001.mp4""]",25.742,27.022,"{""BalletSteps"":""0""}"
"1_8auR1y9z","[""file:///C:\\Annotation\\RMT\\RMT0001.mp4""]",41.31,41.87,"{""BalletSteps"":""12""}"
"1_GImPvsah","[""file:///C:\\Annotation\\RMT\\RMT0001.mp4""]",50.14,50.6,"{""BalletSteps"":""12""}"
"1_XmxQx6Bk","[""file:///C:\\Annotation\\RMT\\RMT0001.mp4""]",58.895,59.375,"{""BalletSteps"":""12""}"
"1_VcQSNNKP","[""file:///C:\\Annotation\\RMT\\RMT0001.mp4""]",97.798,99.438,"{""BalletSteps"":""2""}"
"3_lg6bDitX","[""file:///C:\\Annotation\\RMT\\RMT0003.mp4""]",1.673,2.933,"{""BalletSteps"":""0""}"
"3_CT9bsLos","[""file:///C:\\Annotation\\RMT\\RMT0003.mp4""]",6.652,7.512,"{""BalletSteps"":""0""}"
"3_605b75k7","[""file:///C:\\Annotation\\RMT\\RMT0003.mp4""]",10.745,11.965,"{""BalletSteps"":""1""}"
"3_DYdXxhGA","[""file:///C:\\Annotation\\RMT\\RMT0003.mp4""]",15.721,16.881,"{""BalletSteps"":""1""}"
"3_A9Nwe5TS","[""file:///C:\\Annotation\\RMT\\RMT0003.mp4""]",20.526,21.666,"{""BalletSteps"":""0""}"
"3_Bawc3uUX","[""file:///C:\\Annotation\\RMT\\RMT0003.mp4""]",25.481,26.481,"{""BalletSteps"":""0""}"
"3_o7FLRmg7","[""file:///C:\\Annotation\\RMT\\RMT0003.mp4""]",38.87,39.39,"{""BalletSteps"":""12""}"
"3_6jm4zh7d","[""file:///C:\\Annotation\\RMT\\RMT0003.mp4""]",46.243,46.81226,"{""BalletSteps"":""12""}"
"3_SmudFZ4d","[""file:///C:\\Annotation\\RMT\\RMT0003.mp4""]",44.206,44.486,"{""BalletSteps"":""0""}"
"3_ARNzcWLB","[""file:///C:\\Annotation\\RMT\\RMT0003.mp4""]",51.448,51.868,"{""BalletSteps"":""0""}"
"3_McQPkyt1","[""file:///C:\\Annotation\\RMT\\RMT0003.mp4""]",53.563,54.063,"{""BalletSteps"":""12""}"
"3_XAzsXSZq","[""file:///C:\\Annotation\\RMT\\RMT0003.mp4""]",121.505,121.945,"{""BalletSteps"":""2""}"
"4_PYpUrnqr","[""file:///C:\\Annotation\\RMT\\RMT0004.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"4_2KUxNSDx","[""file:///C:\\Annotation\\RMT\\RMT0004.mp4""]",1.884,2.884,"{""BalletSteps"":""0""}"
"4_JDXcnM5X","[""file:///C:\\Annotation\\RMT\\RMT0004.mp4""]",6.495,7.675,"{""BalletSteps"":""0""}"
"4_XGhcy21B","[""file:///C:\\Annotation\\RMT\\RMT0004.mp4""]",11.241,12.361,"{""BalletSteps"":""1""}"
"4_aH2BA6Xs","[""file:///C:\\Annotation\\RMT\\RMT0004.mp4""]",15.917,16.917,"{""BalletSteps"":""1""}"
"4_Vpv5yBXX","[""file:///C:\\Annotation\\RMT\\RMT0004.mp4""]",20.056,21.28226,"{""BalletSteps"":""0""}"
"4_aTMGTFbv","[""file:///C:\\Annotation\\RMT\\RMT0004.mp4""]",24.722,25.722,"{""BalletSteps"":""0""}"
"4_arZXgOOe","[""file:///C:\\Annotation\\RMT\\RMT0004.mp4""]",30.582,30.982,"{""BalletSteps"":""1""}"
"4_be6GOSRh","[""file:///C:\\Annotation\\RMT\\RMT0004.mp4""]",63.858,65.178,"{""BalletSteps"":""2""}"
"4_BDcF3AbX","[""file:///C:\\Annotation\\RMT\\RMT0004.mp4""]",67.57,69.15,"{""BalletSteps"":""2""}"
"4_j3ytqYMF","[""file:///C:\\Annotation\\RMT\\RMT0004.mp4""]",71.301,71.91142,"{""BalletSteps"":""2""}"
"4_9EkYh3GH","[""file:///C:\\Annotation\\RMT\\RMT0004.mp4""]",77.179,77.939,"{""BalletSteps"":""8""}"
