# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_6mXbRDXJ","[""file:///C:\\Annotation\\SAT\\SAT0000.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_Kfb5vfXX","[""file:///C:\\Annotation\\SAT\\SAT0000.mp4""]",11.122,12.042,"{""BalletSteps"":""14""}"
"1_ieAEB2Ss","[""file:///C:\\Annotation\\SAT\\SAT0000.mp4""]",16.908,17.388,"{""BalletSteps"":""6""}"
"1_TbX8G30n","[""file:///C:\\Annotation\\SAT\\SAT0000.mp4""]",17.84,18.38,"{""BalletSteps"":""6""}"
"1_XUvTEBwt","[""file:///C:\\Annotation\\SAT\\SAT0000.mp4""]",19.143,19.863,"{""BalletSteps"":""14""}"
"1_2uVxvCVU","[""file:///C:\\Annotation\\SAT\\SAT0000.mp4""]",19.143,23.623,"{""BalletSteps"":""19""}"
"1_l7mCjxf8","[""file:///C:\\Annotation\\SAT\\SAT0000.mp4""]",20.763,21.323,"{""BalletSteps"":""7""}"
"1_vi1fBb2O","[""file:///C:\\Annotation\\SAT\\SAT0000.mp4""]",21.704,22.204,"{""BalletSteps"":""7""}"
"1_hhtmqcrj","[""file:///C:\\Annotation\\SAT\\SAT0000.mp4""]",22.999,23.619,"{""BalletSteps"":""14""}"
"1_y2umDUXU","[""file:///C:\\Annotation\\SAT\\SAT0000.mp4""]",33.501,34.201,"{""BalletSteps"":""4""}"
"1_1ngVn85X","[""file:///C:\\Annotation\\SAT\\SAT0000.mp4""]",35.525,36.265,"{""BalletSteps"":""4""}"
"1_MMNJXWKv","[""file:///C:\\Annotation\\SAT\\SAT0000.mp4""]",45.867,46.547,"{""BalletSteps"":""9""}"
"1_oNgc6556","[""file:///C:\\Annotation\\SAT\\SAT0000.mp4""]",46.781,47.721,"{""BalletSteps"":""14""}"
"2_Fi52EPro","[""file:///C:\\Annotation\\SAT\\SAT0001.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"2_ChlqXU0L","[""file:///C:\\Annotation\\SAT\\SAT0001.mp4""]",10.683,11.503,"{""BalletSteps"":""14""}"
"2_qehnhPxO","[""file:///C:\\Annotation\\SAT\\SAT0001.mp4""]",18.853,19.493,"{""BalletSteps"":""6""}"
"2_UBukzAs6","[""file:///C:\\Annotation\\SAT\\SAT0001.mp4""]",22.708,23.288,"{""BalletSteps"":""7""}"
"2_63Cat4aM","[""file:///C:\\Annotation\\SAT\\SAT0001.mp4""]",22.708,24.768,"{""BalletSteps"":""19""}"
"2_OQ4crzt6","[""file:///C:\\Annotation\\SAT\\SAT0001.mp4""]",31.629,32.189,"{""BalletSteps"":""16""}"
"2_YAaOZdUh","[""file:///C:\\Annotation\\SAT\\SAT0001.mp4""]",32.572,33.332,"{""BalletSteps"":""4""}"
"2_hYHSNZJu","[""file:///C:\\Annotation\\SAT\\SAT0001.mp4""]",33.68,34.26,"{""BalletSteps"":""16""}"
"2_Cwt9TBo8","[""file:///C:\\Annotation\\SAT\\SAT0001.mp4""]",34.625,35.365,"{""BalletSteps"":""4""}"
"2_X3JTH1u6","[""file:///C:\\Annotation\\SAT\\SAT0001.mp4""]",35.686,36.246,"{""BalletSteps"":""16""}"
"2_2YXwqKy9","[""file:///C:\\Annotation\\SAT\\SAT0001.mp4""]",36.669,37.329,"{""BalletSteps"":""4""}"
"2_7qEBWTS6","[""file:///C:\\Annotation\\SAT\\SAT0001.mp4""]",37.653,38.173,"{""BalletSteps"":""16""}"
"2_oPIsbl1i","[""file:///C:\\Annotation\\SAT\\SAT0001.mp4""]",38.554,39.234,"{""BalletSteps"":""4""}"
"2_oLd9mjHq","[""file:///C:\\Annotation\\SAT\\SAT0001.mp4""]",39.515,39.915,"{""BalletSteps"":""0""}"
"2_GL6VTRSr","[""file:///C:\\Annotation\\SAT\\SAT0001.mp4""]",44.901,45.381,"{""BalletSteps"":""9""}"
"2_nRC1h0mZ","[""file:///C:\\Annotation\\SAT\\SAT0001.mp4""]",45.381,45.921,"{""BalletSteps"":""9""}"
"2_281raarg","[""file:///C:\\Annotation\\SAT\\SAT0001.mp4""]",45.921,46.441,"{""BalletSteps"":""9""}"
"2_u7M6l0kn","[""file:///C:\\Annotation\\SAT\\SAT0001.mp4""]",24.166,24.766,"{""BalletSteps"":""15""}"
"3_Tk8xzAaa","[""file:///C:\\Annotation\\SAT\\SAT0002.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"3_eCiv5ngc","[""file:///C:\\Annotation\\SAT\\SAT0002.mp4""]",10.951,11.771,"{""BalletSteps"":""14""}"
"3_NTVfYxb6","[""file:///C:\\Annotation\\SAT\\SAT0002.mp4""]",14.041,14.841,"{""BalletSteps"":""17""}"
"3_dc7AFjDb","[""file:///C:\\Annotation\\SAT\\SAT0002.mp4""]",15.818,16.358,"{""BalletSteps"":""7""}"
"3_FKwjXBRa","[""file:///C:\\Annotation\\SAT\\SAT0002.mp4""]",16.671,17.291,"{""BalletSteps"":""7""}"
"3_cOLG3srH","[""file:///C:\\Annotation\\SAT\\SAT0002.mp4""]",17.595,18.175,"{""BalletSteps"":""7""}"
"3_Hat6yxNF","[""file:///C:\\Annotation\\SAT\\SAT0002.mp4""]",19.48,20.02,"{""BalletSteps"":""6""}"
"3_XHEXweGq","[""file:///C:\\Annotation\\SAT\\SAT0002.mp4""]",19.48,21.8,"{""BalletSteps"":""19""}"
"3_pXulBwOJ","[""file:///C:\\Annotation\\SAT\\SAT0002.mp4""]",20.377,20.897,"{""BalletSteps"":""6""}"
"3_NBwXWtIG","[""file:///C:\\Annotation\\SAT\\SAT0002.mp4""]",21.237,21.797,"{""BalletSteps"":""6""}"
"3_eerw0kog","[""file:///C:\\Annotation\\SAT\\SAT0002.mp4""]",23.207,23.807,"{""BalletSteps"":""7""}"
"3_YHgk8YXX","[""file:///C:\\Annotation\\SAT\\SAT0002.mp4""]",31.874,32.594,"{""BalletSteps"":""4""}"
"3_pX7RsCQn","[""file:///C:\\Annotation\\SAT\\SAT0002.mp4""]",33.829,34.609,"{""BalletSteps"":""4""}"
"3_zkqfGSPj","[""file:///C:\\Annotation\\SAT\\SAT0002.mp4""]",35.83,36.49,"{""BalletSteps"":""4""}"
"3_cianHeS3","[""file:///C:\\Annotation\\SAT\\SAT0002.mp4""]",36.882,37.302,"{""BalletSteps"":""0""}"
"3_C2XtqaxS","[""file:///C:\\Annotation\\SAT\\SAT0002.mp4""]",39.175,39.995,"{""BalletSteps"":""14""}"
"3_PKyr7r7N","[""file:///C:\\Annotation\\SAT\\SAT0002.mp4""]",42.067,42.907,"{""BalletSteps"":""14""}"
"3_2CvDn3J8","[""file:///C:\\Annotation\\SAT\\SAT0002.mp4""]",43.018,43.698,"{""BalletSteps"":""9""}"
"3_1EVHn53a","[""file:///C:\\Annotation\\SAT\\SAT0002.mp4""]",43.898,44.698,"{""BalletSteps"":""14""}"
"4_UHjkNyqj","[""file:///C:\\Annotation\\SAT\\SAT0003.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"4_8eUMn2J9","[""file:///C:\\Annotation\\SAT\\SAT0003.mp4""]",6.364,7.244,"{""BalletSteps"":""14""}"
"4_XqDBIEU8","[""file:///C:\\Annotation\\SAT\\SAT0003.mp4""]",13.096,13.636,"{""BalletSteps"":""16""}"
"4_ycQxwAzn","[""file:///C:\\Annotation\\SAT\\SAT0003.mp4""]",16.172,16.712,"{""BalletSteps"":""7""}"
"4_drGy1T85","[""file:///C:\\Annotation\\SAT\\SAT0003.mp4""]",17.086,17.626,"{""BalletSteps"":""7""}"
"4_izNAPso4","[""file:///C:\\Annotation\\SAT\\SAT0003.mp4""]",23.879,24.419,"{""BalletSteps"":""7""}"
"4_69uP2k6J","[""file:///C:\\Annotation\\SAT\\SAT0003.mp4""]",24.819,25.419,"{""BalletSteps"":""7""}"
"4_oCsPWmJ9","[""file:///C:\\Annotation\\SAT\\SAT0003.mp4""]",32.768,33.428,"{""BalletSteps"":""5""}"
"4_XFff1wor","[""file:///C:\\Annotation\\SAT\\SAT0003.mp4""]",34.972,35.652,"{""BalletSteps"":""5""}"
"4_XqA4DPYN","[""file:///C:\\Annotation\\SAT\\SAT0003.mp4""]",37.017,37.717,"{""BalletSteps"":""5""}"
