# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_4KWYAjZL","[""file:///C:\\Annotation\\SBP\\SBP0001.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_nnATqqB3","[""file:///C:\\Annotation\\SBP\\SBP0001.mp4""]",2.441,3.241,"{""BalletSteps"":""4""}"
"1_UDmMhzoC","[""file:///C:\\Annotation\\SBP\\SBP0001.mp4""]",3.59142,3.872,"{""BalletSteps"":""0""}"
"1_FwSKipqX","[""file:///C:\\Annotation\\SBP\\SBP0001.mp4""]",7.287,8.067,"{""BalletSteps"":""5""}"
"1_mwuHnBiL","[""file:///C:\\Annotation\\SBP\\SBP0001.mp4""]",8.333,8.633,"{""BalletSteps"":""1""}"
"1_blx1X1rW","[""file:///C:\\Annotation\\SBP\\SBP0001.mp4""]",11.953,12.673,"{""BalletSteps"":""4""}"
"1_IE3Fu1D7","[""file:///C:\\Annotation\\SBP\\SBP0001.mp4""]",13.074,13.314,"{""BalletSteps"":""0""}"
"1_lnoXA7Sh","[""file:///C:\\Annotation\\SBP\\SBP0001.mp4""]",18.438,19.358,"{""BalletSteps"":""14""}"
"1_JyNqwge5","[""file:///C:\\Annotation\\SBP\\SBP0001.mp4""]",21.741,22.661,"{""BalletSteps"":""14""}"
"1_PSPw9pXm","[""file:///C:\\Annotation\\SBP\\SBP0001.mp4""]",25.163,25.983,"{""BalletSteps"":""14""}"
"1_LUylXWnP","[""file:///C:\\Annotation\\SBP\\SBP0001.mp4""]",28.503,29.343,"{""BalletSteps"":""14""}"
"1_1WDS3yhn","[""file:///C:\\Annotation\\SBP\\SBP0001.mp4""]",36.882,37.402,"{""BalletSteps"":""9""}"
"1_X0FgOniN","[""file:///C:\\Annotation\\SBP\\SBP0001.mp4""]",37.402,38.042,"{""BalletSteps"":""9""}"
"1_W7lpcIlT","[""file:///C:\\Annotation\\SBP\\SBP0001.mp4""]",48.008,48.468,"{""BalletSteps"":""7""}"
"1_XJQOldgK","[""file:///C:\\Annotation\\SBP\\SBP0001.mp4""]",48.901,49.441,"{""BalletSteps"":""7""}"
"1_6Vaiup3b","[""file:///C:\\Annotation\\SBP\\SBP0001.mp4""]",48.008,49.448,"{""BalletSteps"":""19""}"
"1_1PpSXKMD","[""file:///C:\\Annotation\\SBP\\SBP0001.mp4""]",50.735,51.235,"{""BalletSteps"":""6""}"
"1_DB1WmQfN","[""file:///C:\\Annotation\\SBP\\SBP0001.mp4""]",51.67,52.13,"{""BalletSteps"":""6""}"
"1_Pp0oufgq","[""file:///C:\\Annotation\\SBP\\SBP0001.mp4""]",52.546,53.066,"{""BalletSteps"":""6""}"
"1_xTxO8vXs","[""file:///C:\\Annotation\\SBP\\SBP0001.mp4""]",53.455,53.955,"{""BalletSteps"":""6""}"
"1_FmMnB1L6","[""file:///C:\\Annotation\\SBP\\SBP0001.mp4""]",54.34,54.88,"{""BalletSteps"":""6""}"
"1_Dym6x2nI","[""file:///C:\\Annotation\\SBP\\SBP0001.mp4""]",54.331,61.071,"{""BalletSteps"":""19""}"
"1_ytgEMbwX","[""file:///C:\\Annotation\\SBP\\SBP0001.mp4""]",60.531,61.071,"{""BalletSteps"":""7""}"
"2_6GumoGSw","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"2_1afFqsVk","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",2.566,3.346,"{""BalletSteps"":""4""}"
"2_nUVCdzfg","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",3.587,3.887,"{""BalletSteps"":""0""}"
"2_IkVVO7Y9","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",7.13,7.87,"{""BalletSteps"":""5""}"
"2_71eIoCfI","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",8.177,8.437,"{""BalletSteps"":""1""}"
"2_aXyX2GKD","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",11.795,12.515,"{""BalletSteps"":""4""}"
"2_Dj40kl2R","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",12.831,13.111,"{""BalletSteps"":""0""}"
"2_uCCufg6B","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",17.717,18.637,"{""BalletSteps"":""14""}"
"2_tg3OpT3j","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",21.386,22.246,"{""BalletSteps"":""14""}"
"2_6Jcu8BGG","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",24.79,25.65,"{""BalletSteps"":""14""}"
"2_7Fi2EqZg","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",31.95,32.41,"{""BalletSteps"":""8""}"
"2_8POTZeXx","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",32.41,32.83,"{""BalletSteps"":""8""}"
"2_HxLipfI2","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",32.83,33.51,"{""BalletSteps"":""8""}"
"2_0pJZ7Dbp","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",42.638,43.278,"{""BalletSteps"":""7""}"
"2_p5qF0y4I","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",46.775,47.355,"{""BalletSteps"":""6""}"
"2_uKmolhTg","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",46.775,49.275,"{""BalletSteps"":""19""}"
"2_LubqqXK1","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",48.711,49.271,"{""BalletSteps"":""6""}"
"2_znjhiebo","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",47.774,48.314,"{""BalletSteps"":""6""}"
"2_I3dsEf1y","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",49.765,50.225,"{""BalletSteps"":""7""}"
"2_XjklLw5U","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",50.716,51.236,"{""BalletSteps"":""7""}"
"2_ShAz6Fg3","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",51.732,52.272,"{""BalletSteps"":""7""}"
"2_44jibrGC","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",52.775,53.315,"{""BalletSteps"":""7""}"
"2_OOgaXsrE","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",54.805,55.345,"{""BalletSteps"":""6""}"
"2_N4tS2GX9","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",54.805,59.645,"{""BalletSteps"":""19""}"
"2_sndwCheR","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",57.011,57.511,"{""BalletSteps"":""6""}"
"2_xbjpLX9P","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",59.136,59.64726,"{""BalletSteps"":""6""}"
"2_XE8T9HLP","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",61.106,61.746,"{""BalletSteps"":""7""}"
"2_kbBBm9YO","[""file:///C:\\Annotation\\SBP\\SBP0002.mp4""]",63.119,63.719,"{""BalletSteps"":""7""}"
"3_oV8XQW43","[""file:///C:\\Annotation\\SBP\\SBP0003.mp4""]",,,"{""OnlyOneDancer?"":""1""}"
"3_XrbDBKrS","[""file:///C:\\Annotation\\SBP\\SBP0003.mp4""]",3.253,4.033,"{""BalletSteps"":""4""}"
"3_0HOKM2c8","[""file:///C:\\Annotation\\SBP\\SBP0003.mp4""]",4.445,4.765,"{""BalletSteps"":""0""}"
"3_TXD9mkMP","[""file:///C:\\Annotation\\SBP\\SBP0003.mp4""]",8.325,9.065,"{""BalletSteps"":""5""}"
"3_03kiXxjX","[""file:///C:\\Annotation\\SBP\\SBP0003.mp4""]",9.542,9.862,"{""BalletSteps"":""1""}"
"3_X8GVIPBr","[""file:///C:\\Annotation\\SBP\\SBP0003.mp4""]",13.338,14.118,"{""BalletSteps"":""4""}"
"3_9wrvA0A7","[""file:///C:\\Annotation\\SBP\\SBP0003.mp4""]",14.552,14.812,"{""BalletSteps"":""0""}"
"3_YhCtKgtJ","[""file:///C:\\Annotation\\SBP\\SBP0003.mp4""]",20.977,21.937,"{""BalletSteps"":""14""}"
"3_Lues4xy1","[""file:///C:\\Annotation\\SBP\\SBP0003.mp4""]",24.993,25.933,"{""BalletSteps"":""14""}"
"3_a3qX5CcK","[""file:///C:\\Annotation\\SBP\\SBP0003.mp4""]",29.007,29.827,"{""BalletSteps"":""14""}"
"3_hAb0fFjz","[""file:///C:\\Annotation\\SBP\\SBP0003.mp4""]",33.014,33.834,"{""BalletSteps"":""14""}"
"3_cgEVNCvO","[""file:///C:\\Annotation\\SBP\\SBP0003.mp4""]",41.25,41.67,"{""BalletSteps"":""8""}"
"3_4q2Xb7zY","[""file:///C:\\Annotation\\SBP\\SBP0003.mp4""]",41.67,42.15,"{""BalletSteps"":""8""}"
"3_j9Wl0tly","[""file:///C:\\Annotation\\SBP\\SBP0003.mp4""]",42.15,42.79,"{""BalletSteps"":""8""}"
"3_tMfnjgDG","[""file:///C:\\Annotation\\SBP\\SBP0003.mp4""]",46.309,46.829,"{""BalletSteps"":""7""}"
"3_gRwKkgCP","[""file:///C:\\Annotation\\SBP\\SBP0003.mp4""]",47.244,47.804,"{""BalletSteps"":""7""}"
"3_UAixF8vG","[""file:///C:\\Annotation\\SBP\\SBP0003.mp4""]",50.156,50.676,"{""BalletSteps"":""6""}"
"3_g2Q9uPEp","[""file:///C:\\Annotation\\SBP\\SBP0003.mp4""]",50.156,55.176,"{""BalletSteps"":""19""}"
"3_EQb5h9G4","[""file:///C:\\Annotation\\SBP\\SBP0003.mp4""]",51.115,51.635,"{""BalletSteps"":""6""}"
"3_bnoBXSfi","[""file:///C:\\Annotation\\SBP\\SBP0003.mp4""]",52.01,52.59,"{""BalletSteps"":""6""}"
"3_Kumk1l8D","[""file:///C:\\Annotation\\SBP\\SBP0003.mp4""]",54.641,55.161,"{""BalletSteps"":""6""}"
"3_jYjpUXSh","[""file:///C:\\Annotation\\SBP\\SBP0003.mp4""]",58.556,59.196,"{""BalletSteps"":""7""}"
"3_kCAP0k0X","[""file:///C:\\Annotation\\SBP\\SBP0003.mp4""]",60.463,61.123,"{""BalletSteps"":""7""}"
"3_R5oIY0Px","[""file:///C:\\Annotation\\SBP\\SBP0003.mp4""]",61.287,61.727,"{""BalletSteps"":""8""}"
"4_aXFX36FA","[""file:///C:\\Annotation\\SBP\\SBP0004.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"4_tpzvXpm8","[""file:///C:\\Annotation\\SBP\\SBP0004.mp4""]",2.478,3.318,"{""BalletSteps"":""4""}"
"4_zovRSkyC","[""file:///C:\\Annotation\\SBP\\SBP0004.mp4""]",3.814,4.114,"{""BalletSteps"":""0""}"
"4_AEZSCzr0","[""file:///C:\\Annotation\\SBP\\SBP0004.mp4""]",7.234,7.974,"{""BalletSteps"":""5""}"
"4_I8nRbhJL","[""file:///C:\\Annotation\\SBP\\SBP0004.mp4""]",8.588,8.808,"{""BalletSteps"":""1""}"
"4_fztkfI6o","[""file:///C:\\Annotation\\SBP\\SBP0004.mp4""]",11.752,12.552,"{""BalletSteps"":""4""}"
"4_bj238tCF","[""file:///C:\\Annotation\\SBP\\SBP0004.mp4""]",13.044,13.284,"{""BalletSteps"":""0""}"
"4_Rz4jz3Sb","[""file:///C:\\Annotation\\SBP\\SBP0004.mp4""]",18.55,19.41,"{""BalletSteps"":""14""}"
"4_b3oRnlXz","[""file:///C:\\Annotation\\SBP\\SBP0004.mp4""]",21.833,22.773,"{""BalletSteps"":""14""}"
"4_n7kG2ERA","[""file:///C:\\Annotation\\SBP\\SBP0004.mp4""]",25.334,26.294,"{""BalletSteps"":""14""}"
"4_XV3gswuQ","[""file:///C:\\Annotation\\SBP\\SBP0004.mp4""]",28.943,29.843,"{""BalletSteps"":""14""}"
"4_Guq3PukM","[""file:///C:\\Annotation\\SBP\\SBP0004.mp4""]",38.248,38.708,"{""BalletSteps"":""8""}"
"4_nRQDmHR3","[""file:///C:\\Annotation\\SBP\\SBP0004.mp4""]",38.708,39.208,"{""BalletSteps"":""8""}"
"4_5f0YzaeP","[""file:///C:\\Annotation\\SBP\\SBP0004.mp4""]",39.208,39.688,"{""BalletSteps"":""8""}"
"4_8vfxX5Ty","[""file:///C:\\Annotation\\SBP\\SBP0004.mp4""]",39.688,40.248,"{""BalletSteps"":""8""}"
"4_deIWVSF9","[""file:///C:\\Annotation\\SBP\\SBP0004.mp4""]",41.05,41.51,"{""BalletSteps"":""7""}"
"4_81vwWNLt","[""file:///C:\\Annotation\\SBP\\SBP0004.mp4""]",41.977,42.517,"{""BalletSteps"":""7""}"
"4_gwaqI6wD","[""file:///C:\\Annotation\\SBP\\SBP0004.mp4""]",42.91,43.39,"{""BalletSteps"":""7""}"
"4_NICWx0Rf","[""file:///C:\\Annotation\\SBP\\SBP0004.mp4""]",43.93,44.39,"{""BalletSteps"":""6""}"
"4_cmpHH3e4","[""file:///C:\\Annotation\\SBP\\SBP0004.mp4""]",43.93,47.27,"{""BalletSteps"":""19""}"
"4_a6nxEpVJ","[""file:///C:\\Annotation\\SBP\\SBP0004.mp4""]",44.86,45.36,"{""BalletSteps"":""6""}"
"4_UxXN8Y8k","[""file:///C:\\Annotation\\SBP\\SBP0004.mp4""]",45.882,46.282,"{""BalletSteps"":""6""}"
"4_3pRXPO7i","[""file:///C:\\Annotation\\SBP\\SBP0004.mp4""]",46.762,47.262,"{""BalletSteps"":""6""}"
"4_7X7vlI0F","[""file:///C:\\Annotation\\SBP\\SBP0004.mp4""]",52.442,53.062,"{""BalletSteps"":""7""}"
