# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_bmcNwKP1","[""file:///C:\\Annotation\\SIE\\SIE0000.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"2_GDKBH1YH","[""file:///C:\\Annotation\\SIE\\SIE0001.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"3_3qjsiKqX","[""file:///C:\\Annotation\\SIE\\SIE0004.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"4_WfqVFhme","[""file:///C:\\Annotation\\SIE\\SIE0005.mp4""]",,,"{""OnlyOneDancer?"":""1""}"
"1_aWQI1OMT","[""file:///C:\\Annotation\\SIE\\SIE0000.mp4""]",6.903,7.903,"{""BalletSteps"":""15""}"
"1_rCQjnVXX","[""file:///C:\\Annotation\\SIE\\SIE0000.mp4""]",11.411,12.831,"{""BalletSteps"":""14""}"
"1_vW6cIjCs","[""file:///C:\\Annotation\\SIE\\SIE0000.mp4""]",16.509,17.509,"{""BalletSteps"":""15""}"
"1_GwXdvZx3","[""file:///C:\\Annotation\\SIE\\SIE0000.mp4""]",23.651,24.451,"{""BalletSteps"":""7""}"
"1_GcUdQ7W6","[""file:///C:\\Annotation\\SIE\\SIE0000.mp4""]",29.092,29.792,"{""BalletSteps"":""8""}"
"1_2U4Xs2ra","[""file:///C:\\Annotation\\SIE\\SIE0000.mp4""]",29.792,30.312,"{""BalletSteps"":""8""}"
"1_aZXQgXiq","[""file:///C:\\Annotation\\SIE\\SIE0000.mp4""]",30.312,30.912,"{""BalletSteps"":""8""}"
"1_FLGxYkPg","[""file:///C:\\Annotation\\SIE\\SIE0000.mp4""]",32.472,32.852,"{""BalletSteps"":""0""}"
"20_JXTR7q9l","[""file:///C:\\Annotation\\SIE\\SIE0035.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_GPoLNzvF","[""file:///C:\\Annotation\\SIE\\SIE0000.mp4""]",34.355,35.195,"{""BalletSteps"":""6""}"
"1_Eh0cl9xe","[""file:///C:\\Annotation\\SIE\\SIE0000.mp4""]",42.993,43.693,"{""BalletSteps"":""0""}"
"1_70kbx1Ww","[""file:///C:\\Annotation\\SIE\\SIE0000.mp4""]",47.288,47.968,"{""BalletSteps"":""0""}"
"1_jt2QHHCK","[""file:///C:\\Annotation\\SIE\\SIE0000.mp4""]",51.838,52.398,"{""BalletSteps"":""0""}"
"1_uuMsFNhn","[""file:///C:\\Annotation\\SIE\\SIE0000.mp4""]",61.348,62.668,"{""BalletSteps"":""14""}"
"1_sXjYCD5d","[""file:///C:\\Annotation\\SIE\\SIE0000.mp4""]",64.797,65.557,"{""BalletSteps"":""8""}"
"1_VWZJtXdF","[""file:///C:\\Annotation\\SIE\\SIE0000.mp4""]",65.557,66.037,"{""BalletSteps"":""8""}"
"1_itpNKEdU","[""file:///C:\\Annotation\\SIE\\SIE0000.mp4""]",66.037,66.857,"{""BalletSteps"":""8""}"
"1_H4FQM50j","[""file:///C:\\Annotation\\SIE\\SIE0000.mp4""]",70.443,71.843,"{""BalletSteps"":""14""}"
"1_XG9ZmtcI","[""file:///C:\\Annotation\\SIE\\SIE0000.mp4""]",74.291,74.971,"{""BalletSteps"":""8""}"
"1_n75uPsxL","[""file:///C:\\Annotation\\SIE\\SIE0000.mp4""]",74.971,75.471,"{""BalletSteps"":""8""}"
"1_ABYn8A5S","[""file:///C:\\Annotation\\SIE\\SIE0000.mp4""]",75.471,76.271,"{""BalletSteps"":""8""}"
"2_OqNxjdsI","[""file:///C:\\Annotation\\SIE\\SIE0001.mp4""]",6.199,7.179,"{""BalletSteps"":""16""}"
"2_RwAqPGDD","[""file:///C:\\Annotation\\SIE\\SIE0001.mp4""]",13.929,14.809,"{""BalletSteps"":""15""}"
"2_bzUeRzZq","[""file:///C:\\Annotation\\SIE\\SIE0001.mp4""]",19.978,20.738,"{""BalletSteps"":""7""}"
"2_3X6cgVXw","[""file:///C:\\Annotation\\SIE\\SIE0001.mp4""]",24.932,25.552,"{""BalletSteps"":""9""}"
"2_rlslxULu","[""file:///C:\\Annotation\\SIE\\SIE0001.mp4""]",25.552,25.972,"{""BalletSteps"":""9""}"
"2_QAW5CehR","[""file:///C:\\Annotation\\SIE\\SIE0001.mp4""]",25.972,26.412,"{""BalletSteps"":""9""}"
"2_HZTqn53n","[""file:///C:\\Annotation\\SIE\\SIE0001.mp4""]",26.412,27.132,"{""BalletSteps"":""9""}"
"2_g7RyRUjj","[""file:///C:\\Annotation\\SIE\\SIE0001.mp4""]",27.263,27.743,"{""BalletSteps"":""0""}"
"2_MbJlK5Gl","[""file:///C:\\Annotation\\SIE\\SIE0001.mp4""]",42.862,43.722,"{""BalletSteps"":""14""}"
"2_685OLRad","[""file:///C:\\Annotation\\SIE\\SIE0001.mp4""]",53.463,54.503,"{""BalletSteps"":""14""}"
"2_BmdvsevF","[""file:///C:\\Annotation\\SIE\\SIE0001.mp4""]",57.24,58.36,"{""BalletSteps"":""14""}"
"2_pAF5u4Te","[""file:///C:\\Annotation\\SIE\\SIE0001.mp4""]",63.986,64.606,"{""BalletSteps"":""9""}"
"2_5d7OCAf6","[""file:///C:\\Annotation\\SIE\\SIE0001.mp4""]",64.606,65.066,"{""BalletSteps"":""9""}"
"2_8nMhYhdW","[""file:///C:\\Annotation\\SIE\\SIE0001.mp4""]",65.066,65.686,"{""BalletSteps"":""9""}"
"3_qXx5mXer","[""file:///C:\\Annotation\\SIE\\SIE0004.mp4""]",5.402,6.402,"{""BalletSteps"":""15""}"
"3_dFHufzf1","[""file:///C:\\Annotation\\SIE\\SIE0004.mp4""]",10.286,11.986,"{""BalletSteps"":""14""}"
"3_KpXHzwIH","[""file:///C:\\Annotation\\SIE\\SIE0004.mp4""]",14.439,15.439,"{""BalletSteps"":""15""}"
"3_DtsdFtiD","[""file:///C:\\Annotation\\SIE\\SIE0004.mp4""]",21.038,21.958,"{""BalletSteps"":""7""}"
"3_YGliT8GF","[""file:///C:\\Annotation\\SIE\\SIE0004.mp4""]",25.77,26.33,"{""BalletSteps"":""9""}"
"3_SXnlKpXI","[""file:///C:\\Annotation\\SIE\\SIE0004.mp4""]",26.33,26.79,"{""BalletSteps"":""9""}"
"3_UeTrWnKF","[""file:///C:\\Annotation\\SIE\\SIE0004.mp4""]",26.75,27.37,"{""BalletSteps"":""9""}"
"3_9TX3aWs2","[""file:///C:\\Annotation\\SIE\\SIE0004.mp4""]",27.37,28.11,"{""BalletSteps"":""9""}"
"3_G8kNYP5r","[""file:///C:\\Annotation\\SIE\\SIE0004.mp4""]",29.58559,29.903,"{""BalletSteps"":""0""}"
