# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_YUqiy4zb","[""file:///C:\\Annotation\\SOL\\SOL0001.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_BNqUY1Nk","[""file:///C:\\Annotation\\SOL\\SOL0001.mp4""]",1.908,2.768,"{""BalletSteps"":""15""}"
"1_6UZ8YD3m","[""file:///C:\\Annotation\\SOL\\SOL0001.mp4""]",6.914,7.774,"{""BalletSteps"":""16""}"
"1_M2nmsqVs","[""file:///C:\\Annotation\\SOL\\SOL0001.mp4""]",9.385,10.165,"{""BalletSteps"":""6""}"
"1_S92G7lgu","[""file:///C:\\Annotation\\SOL\\SOL0001.mp4""]",11.784,12.604,"{""BalletSteps"":""15""}"
"1_V0rff3oW","[""file:///C:\\Annotation\\SOL\\SOL0001.mp4""]",20.275,21.195,"{""BalletSteps"":""17""}"
"1_5sXvEb0G","[""file:///C:\\Annotation\\SOL\\SOL0001.mp4""]",21.468,22.408,"{""BalletSteps"":""18""}"
"1_XGBTX2K8","[""file:///C:\\Annotation\\SOL\\SOL0001.mp4""]",24.817,25.297,"{""BalletSteps"":""9""}"
"1_W567NE12","[""file:///C:\\Annotation\\SOL\\SOL0001.mp4""]",25.297,25.897,"{""BalletSteps"":""9""}"
"1_u8NBPAzW","[""file:///C:\\Annotation\\SOL\\SOL0001.mp4""]",25.897,26.437,"{""BalletSteps"":""9""}"
"1_P8Q1zfmC","[""file:///C:\\Annotation\\SOL\\SOL0001.mp4""]",26.437,27.097,"{""BalletSteps"":""9""}"
"1_pPiU2acw","[""file:///C:\\Annotation\\SOL\\SOL0001.mp4""]",27.097,27.677,"{""BalletSteps"":""9""}"
"1_BInVO3Se","[""file:///C:\\Annotation\\SOL\\SOL0001.mp4""]",27.677,28.317,"{""BalletSteps"":""9""}"
"1_47BvSCbA","[""file:///C:\\Annotation\\SOL\\SOL0001.mp4""]",28.317,29.017,"{""BalletSteps"":""9""}"
"1_kl8jY0Kp","[""file:///C:\\Annotation\\SOL\\SOL0001.mp4""]",29.017,29.597,"{""BalletSteps"":""9""}"
"1_TmerV03H","[""file:///C:\\Annotation\\SOL\\SOL0001.mp4""]",29.597,30.017,"{""BalletSteps"":""9""}"
"1_gSEEdmPS","[""file:///C:\\Annotation\\SOL\\SOL0001.mp4""]",30.017,30.517,"{""BalletSteps"":""9""}"
