# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_XMjxGWDX","[""file:///C:\\Annotation\\SWA\\SWA0001.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_XpXDnjqu","[""file:///C:\\Annotation\\SWA\\SWA0001.mp4""]",5.033,5.533,"{""BalletSteps"":""0""}"
"1_hQXwR1oC","[""file:///C:\\Annotation\\SWA\\SWA0001.mp4""]",7.474,7.889,"{""BalletSteps"":""8""}"
"1_GXaPJhJb","[""file:///C:\\Annotation\\SWA\\SWA0001.mp4""]",8.23142,8.604,"{""BalletSteps"":""9""}"
"1_20FJcLL2","[""file:///C:\\Annotation\\SWA\\SWA0001.mp4""]",9.753,10.213,"{""BalletSteps"":""0""}"
"1_RPax1Yv1","[""file:///C:\\Annotation\\SWA\\SWA0001.mp4""]",12.028,12.508,"{""BalletSteps"":""8""}"
"1_30SAERH9","[""file:///C:\\Annotation\\SWA\\SWA0001.mp4""]",12.705,13.145,"{""BalletSteps"":""9""}"
"1_iEMKfj3Z","[""file:///C:\\Annotation\\SWA\\SWA0001.mp4""]",13.145,13.665,"{""BalletSteps"":""9""}"
"1_3yS8WfPH","[""file:///C:\\Annotation\\SWA\\SWA0001.mp4""]",14.319,14.819,"{""BalletSteps"":""0""}"
"1_AXI81Ac5","[""file:///C:\\Annotation\\SWA\\SWA0001.mp4""]",16.713,17.273,"{""BalletSteps"":""8""}"
"1_zKr5PHbZ","[""file:///C:\\Annotation\\SWA\\SWA0001.mp4""]",17.273,17.913,"{""BalletSteps"":""8""}"
"1_sX2phCRF","[""file:///C:\\Annotation\\SWA\\SWA0001.mp4""]",23.748,24.288,"{""BalletSteps"":""13""}"
"1_PPkY78Iq","[""file:///C:\\Annotation\\SWA\\SWA0001.mp4""]",25.085,25.785,"{""BalletSteps"":""2""}"
"1_2ByC0rkB","[""file:///C:\\Annotation\\SWA\\SWA0001.mp4""]",26.145,26.605,"{""BalletSteps"":""12""}"
"1_GvotTp8H","[""file:///C:\\Annotation\\SWA\\SWA0001.mp4""]",27.465,27.865,"{""BalletSteps"":""2""}"
"1_TCClfNKK","[""file:///C:\\Annotation\\SWA\\SWA0001.mp4""]",28.277,28.777,"{""BalletSteps"":""13""}"
"1_9fyBxXAr","[""file:///C:\\Annotation\\SWA\\SWA0001.mp4""]",29.71,30.21,"{""BalletSteps"":""2""}"
"1_rhCOR6uE","[""file:///C:\\Annotation\\SWA\\SWA0001.mp4""]",30.562,31.042,"{""BalletSteps"":""12""}"
