# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_ZfyUrRdi","[""file:///C:\\Annotation\\TCF\\TCF0000.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"2_lFRWe5sy","[""file:///C:\\Annotation\\TCF\\TCF0002.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_BDAd8kSE","[""file:///C:\\Annotation\\TCF\\TCF0000.mp4""]",2.946,3.286,"{""BalletSteps"":""0""}"
"1_TsxowNsM","[""file:///C:\\Annotation\\TCF\\TCF0000.mp4""]",6.038,6.438,"{""BalletSteps"":""0""}"
"1_seg6F82Z","[""file:///C:\\Annotation\\TCF\\TCF0000.mp4""]",8.1,8.42,"{""BalletSteps"":""0""}"
"1_Ue0AUdNY","[""file:///C:\\Annotation\\TCF\\TCF0000.mp4""]",10.76,11.34,"{""BalletSteps"":""12""}"
"1_e1oDktkc","[""file:///C:\\Annotation\\TCF\\TCF0000.mp4""]",12.896,13.37642,"{""BalletSteps"":""12""}"
"1_GO9uze7O","[""file:///C:\\Annotation\\TCF\\TCF0000.mp4""]",14.959,15.479,"{""BalletSteps"":""12""}"
"1_hlbtiS7S","[""file:///C:\\Annotation\\TCF\\TCF0000.mp4""]",37.889,38.749,"{""BalletSteps"":""8""}"
"1_H05lTvsd","[""file:///C:\\Annotation\\TCF\\TCF0000.mp4""]",39.724,40.264,"{""BalletSteps"":""9""}"
"1_f7FTEHyO","[""file:///C:\\Annotation\\TCF\\TCF0000.mp4""]",40.264,41.064,"{""BalletSteps"":""8""}"
"1_naNQKLeD","[""file:///C:\\Annotation\\TCF\\TCF0000.mp4""]",41.884,42.704,"{""BalletSteps"":""9""}"
"1_mQNimsbw","[""file:///C:\\Annotation\\TCF\\TCF0000.mp4""]",44.198,44.938,"{""BalletSteps"":""9""}"
"1_MfEUbQMq","[""file:///C:\\Annotation\\TCF\\TCF0000.mp4""]",44.894,45.694,"{""BalletSteps"":""8""}"
"1_8NHqif5d","[""file:///C:\\Annotation\\TCF\\TCF0000.mp4""]",45.694,46.374,"{""BalletSteps"":""8""}"
"1_UqZrzpZb","[""file:///C:\\Annotation\\TCF\\TCF0000.mp4""]",46.374,47.054,"{""BalletSteps"":""8""}"
"2_5fXiCmLW","[""file:///C:\\Annotation\\TCF\\TCF0002.mp4""]",2.88,3.16,"{""BalletSteps"":""0""}"
"2_3TxF5bYg","[""file:///C:\\Annotation\\TCF\\TCF0002.mp4""]",5.909,6.269,"{""BalletSteps"":""0""}"
"2_XBw8o8G3","[""file:///C:\\Annotation\\TCF\\TCF0002.mp4""]",7.911,8.291,"{""BalletSteps"":""0""}"
"2_YkqNaPF6","[""file:///C:\\Annotation\\TCF\\TCF0002.mp4""]",10.531,11.071,"{""BalletSteps"":""12""}"
"2_9pbFtWpN","[""file:///C:\\Annotation\\TCF\\TCF0002.mp4""]",12.438,12.938,"{""BalletSteps"":""12""}"
"2_iFJq1BJg","[""file:///C:\\Annotation\\TCF\\TCF0002.mp4""]",14.408,15.068,"{""BalletSteps"":""12""}"
"2_OOsg7LPY","[""file:///C:\\Annotation\\TCF\\TCF0002.mp4""]",36.973,37.793,"{""BalletSteps"":""8""}"
"2_dbfzwlys","[""file:///C:\\Annotation\\TCF\\TCF0002.mp4""]",38.614,39.194,"{""BalletSteps"":""9""}"
"2_UZF5mE7G","[""file:///C:\\Annotation\\TCF\\TCF0002.mp4""]",39.194,39.994,"{""BalletSteps"":""8""}"
"2_24iEIiFw","[""file:///C:\\Annotation\\TCF\\TCF0002.mp4""]",40.745,41.405,"{""BalletSteps"":""9""}"
"2_lbXKzkEu","[""file:///C:\\Annotation\\TCF\\TCF0002.mp4""]",41.405,42.185,"{""BalletSteps"":""8""}"
"3_tcMFSpjB","[""file:///C:\\Annotation\\TCF\\TCF0003.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"3_ardVxsLD","[""file:///C:\\Annotation\\TCF\\TCF0003.mp4""]",2.493,2.893,"{""BalletSteps"":""0""}"
"3_okBySfo4","[""file:///C:\\Annotation\\TCF\\TCF0003.mp4""]",5.371,5.671,"{""BalletSteps"":""0""}"
"3_k1Gy6sDp","[""file:///C:\\Annotation\\TCF\\TCF0003.mp4""]",7.193,7.613,"{""BalletSteps"":""0""}"
"3_LnNszukn","[""file:///C:\\Annotation\\TCF\\TCF0003.mp4""]",9.662,10.122,"{""BalletSteps"":""12""}"
"3_RQ2f2sCh","[""file:///C:\\Annotation\\TCF\\TCF0003.mp4""]",11.508,11.948,"{""BalletSteps"":""12""}"
"3_31mT4wHv","[""file:///C:\\Annotation\\TCF\\TCF0003.mp4""]",13.219,13.859,"{""BalletSteps"":""12""}"
