# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_JcarACbi","[""file:///C:\\Annotation\\TCM\\TCM0000.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_trXkVePe","[""file:///C:\\Annotation\\TCM\\TCM0000.mp4""]",3.35,4.23,"{""BalletSteps"":""15""}"
"1_TJ79Tasv","[""file:///C:\\Annotation\\TCM\\TCM0000.mp4""]",4.771,5.29476,"{""BalletSteps"":""0""}"
"1_t5bvBaVL","[""file:///C:\\Annotation\\TCM\\TCM0000.mp4""]",6.509,7.329,"{""BalletSteps"":""9""}"
"1_ZC79kgB8","[""file:///C:\\Annotation\\TCM\\TCM0000.mp4""]",10.443,11.323,"{""BalletSteps"":""16""}"
"1_0Yp4pRWh","[""file:///C:\\Annotation\\TCM\\TCM0000.mp4""]",15.058,15.998,"{""BalletSteps"":""10""}"
"1_w9yelPat","[""file:///C:\\Annotation\\TCM\\TCM0000.mp4""]",16.925,17.825,"{""BalletSteps"":""10""}"
"1_lNXc4JQD","[""file:///C:\\Annotation\\TCM\\TCM0000.mp4""]",18.795,19.655,"{""BalletSteps"":""10""}"
"1_3uaXR4tG","[""file:///C:\\Annotation\\TCM\\TCM0000.mp4""]",20.474,21.374,"{""BalletSteps"":""10""}"
"1_ZSNkKyb6","[""file:///C:\\Annotation\\TCM\\TCM0000.mp4""]",31.842,32.942,"{""BalletSteps"":""14""}"
"1_CbbZHBGo","[""file:///C:\\Annotation\\TCM\\TCM0000.mp4""]",35.525,36.525,"{""BalletSteps"":""14""}"
"1_o68D4G4A","[""file:///C:\\Annotation\\TCM\\TCM0000.mp4""]",39.395,40.275,"{""BalletSteps"":""14""}"
"1_8jUUWULH","[""file:///C:\\Annotation\\TCM\\TCM0000.mp4""]",40.355,41.055,"{""BalletSteps"":""9""}"
"1_j4lhXUDI","[""file:///C:\\Annotation\\TCM\\TCM0000.mp4""]",41.055,41.995,"{""BalletSteps"":""14""}"
"1_YUgYCnpX","[""file:///C:\\Annotation\\TCM\\TCM0000.mp4""]",42.075,42.855,"{""BalletSteps"":""9""}"
"1_rrqh12W6","[""file:///C:\\Annotation\\TCM\\TCM0000.mp4""]",42.855,43.975,"{""BalletSteps"":""14""}"
"2_lffYjBdX","[""file:///C:\\Annotation\\TCM\\TCM0001.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"2_TxuDg5C8","[""file:///C:\\Annotation\\TCM\\TCM0001.mp4""]",4.709,5.589,"{""BalletSteps"":""15""}"
"2_vXiogeXW","[""file:///C:\\Annotation\\TCM\\TCM0001.mp4""]",7.684,8.684,"{""BalletSteps"":""14""}"
"2_ZXKDbdBX","[""file:///C:\\Annotation\\TCM\\TCM0001.mp4""]",12.517,13.437,"{""BalletSteps"":""16""}"
"2_wRpNBw37","[""file:///C:\\Annotation\\TCM\\TCM0001.mp4""]",18.313,19.153,"{""BalletSteps"":""10""}"
"2_T8Ty7ECA","[""file:///C:\\Annotation\\TCM\\TCM0001.mp4""]",20.139,21.059,"{""BalletSteps"":""10""}"
"2_6zerg9v9","[""file:///C:\\Annotation\\TCM\\TCM0001.mp4""]",22.075,22.995,"{""BalletSteps"":""10""}"
"2_VDgTVEK5","[""file:///C:\\Annotation\\TCM\\TCM0001.mp4""]",24.058,24.938,"{""BalletSteps"":""10""}"
"2_0WtZAcZX","[""file:///C:\\Annotation\\TCM\\TCM0001.mp4""]",27.891,28.411,"{""BalletSteps"":""9""}"
"2_CmsGGfKt","[""file:///C:\\Annotation\\TCM\\TCM0001.mp4""]",28.411,28.851,"{""BalletSteps"":""9""}"
