# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_YQygb6dF","[""file:///C:\\Annotation\\TMF\\TMF0000.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_VytVHf6y","[""file:///C:\\Annotation\\TMF\\TMF0000.mp4""]",9.93,10.43,"{""BalletSteps"":""0""}"
"1_1vHeJ2F6","[""file:///C:\\Annotation\\TMF\\TMF0000.mp4""]",14.735,15.115,"{""BalletSteps"":""8""}"
"1_VfnblqJe","[""file:///C:\\Annotation\\TMF\\TMF0000.mp4""]",15.115,15.815,"{""BalletSteps"":""8""}"
"1_5TxZPtML","[""file:///C:\\Annotation\\TMF\\TMF0000.mp4""]",29.119,29.559,"{""BalletSteps"":""0""}"
"1_yJIqLYYD","[""file:///C:\\Annotation\\TMF\\TMF0000.mp4""]",33.793,34.213,"{""BalletSteps"":""8""}"
"1_xMh9FBgP","[""file:///C:\\Annotation\\TMF\\TMF0000.mp4""]",34.213,34.953,"{""BalletSteps"":""8""}"
"1_YgYUuXsA","[""file:///C:\\Annotation\\TMF\\TMF0000.mp4""]",41.605,42.885,"{""BalletSteps"":""19""}"
"1_YGg1LiGl","[""file:///C:\\Annotation\\TMF\\TMF0000.mp4""]",41.879,42.399,"{""BalletSteps"":""13""}"
"1_RkrXdSQR","[""file:///C:\\Annotation\\TMF\\TMF0000.mp4""]",44.551,45.091,"{""BalletSteps"":""13""}"
"1_JvIimzLZ","[""file:///C:\\Annotation\\TMF\\TMF0000.mp4""]",47.894,48.394,"{""BalletSteps"":""1""}"
"1_q6FXBeRl","[""file:///C:\\Annotation\\TMF\\TMF0000.mp4""]",50.384,52.244,"{""BalletSteps"":""19""}"
"1_PrsaiV87","[""file:///C:\\Annotation\\TMF\\TMF0000.mp4""]",51.203,51.863,"{""BalletSteps"":""13""}"
"1_nT3JifVG","[""file:///C:\\Annotation\\TMF\\TMF0000.mp4""]",61.836,62.456,"{""BalletSteps"":""0""}"
"1_oOFCv96O","[""file:///C:\\Annotation\\TMF\\TMF0000.mp4""]",64.77,65.29,"{""BalletSteps"":""0""}"
"1_cuw1NVP6","[""file:///C:\\Annotation\\TMF\\TMF0000.mp4""]",67.6,68.04,"{""BalletSteps"":""0""}"
"1_XL9THMEH","[""file:///C:\\Annotation\\TMF\\TMF0000.mp4""]",70.271,70.771,"{""BalletSteps"":""0""}"
"1_tK2VubVd","[""file:///C:\\Annotation\\TMF\\TMF0000.mp4""]",72.876,73.356,"{""BalletSteps"":""0""}"
"1_bs5H6X2W","[""file:///C:\\Annotation\\TMF\\TMF0000.mp4""]",76.846,77.386,"{""BalletSteps"":""9""}"
"1_V7v1ExOA","[""file:///C:\\Annotation\\TMF\\TMF0000.mp4""]",77.812,78.272,"{""BalletSteps"":""9""}"
"1_XAjLXXF1","[""file:///C:\\Annotation\\TMF\\TMF0000.mp4""]",78.634,79.114,"{""BalletSteps"":""9""}"
"1_1zqaFL9F","[""file:///C:\\Annotation\\TMF\\TMF0000.mp4""]",79.666,80.066,"{""BalletSteps"":""8""}"
"1_GtePvdX2","[""file:///C:\\Annotation\\TMF\\TMF0000.mp4""]",80.066,80.706,"{""BalletSteps"":""8""}"
"2_7RJnVfgX","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"2_KJzN9kJh","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",15.259,15.679,"{""BalletSteps"":""9""}"
"2_lADbvC7a","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",15.679,16.339,"{""BalletSteps"":""9""}"
"2_QU9hTL0k","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",19.678,20.198,"{""BalletSteps"":""0""}"
"2_qjbupLjh","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",35.374,35.814,"{""BalletSteps"":""9""}"
"2_bcJYo6GR","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",35.814,36.534,"{""BalletSteps"":""9""}"
"2_r8DXdJfY","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",38.858,39.178,"{""BalletSteps"":""1""}"
"2_07WTSMOY","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",43.353,45.033,"{""BalletSteps"":""19""}"
"2_dX6XzZBv","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",43.893,44.393,"{""BalletSteps"":""13""}"
"2_OTmAyxXX","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",46.327,46.787,"{""BalletSteps"":""12""}"
"2_4UeXwRsq","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",51.118,51.718,"{""BalletSteps"":""1""}"
"2_LLJX1p5L","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",53.064,54.784,"{""BalletSteps"":""19""}"
"2_iTBClRL4","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",53.744,54.224,"{""BalletSteps"":""13""}"
"2_XFh6IzeG","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",63.29,64.15,"{""BalletSteps"":""8""}"
"2_LRZ5XzuT","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",64.628,65.068,"{""BalletSteps"":""0""}"
"2_Ox1Fx9HQ","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",66.376,67.036,"{""BalletSteps"":""8""}"
"2_6rGuibvV","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",67.473,67.953,"{""BalletSteps"":""0""}"
"2_7qsHwJbv","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",69.205,69.885,"{""BalletSteps"":""8""}"
"2_HPCtpmxA","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",70.325,70.825,"{""BalletSteps"":""0""}"
"2_X4Z8jl67","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",71.945,72.565,"{""BalletSteps"":""8""}"
"2_4XCpZCFf","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",73.03,73.53,"{""BalletSteps"":""0""}"
"2_7BnKpe8i","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",74.673,75.313,"{""BalletSteps"":""8""}"
"2_MoXyxvea","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",75.895,76.755,"{""BalletSteps"":""0""}"
"2_gDpVvHcY","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",78.36,80.78,"{""BalletSteps"":""19""}"
"2_yO9vgXYT","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",78.564,79.344,"{""BalletSteps"":""8""}"
"2_UMMFnW6T","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",79.693,80.533,"{""BalletSteps"":""8""}"
"2_IKpmysA4","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",81.02,81.78,"{""BalletSteps"":""8""}"
"2_yXpaCJxg","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",82.226,82.886,"{""BalletSteps"":""8""}"
"2_XRdmM3pO","[""file:///C:\\Annotation\\TMF\\TMF0001.mp4""]",82.886,83.506,"{""BalletSteps"":""8""}"
"3_iDIg9RRL","[""file:///C:\\Annotation\\TMF\\TMF0002.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"3_ODXjgU4q","[""file:///C:\\Annotation\\TMF\\TMF0002.mp4""]",14.452,14.852,"{""BalletSteps"":""9""}"
"3_0ythsGWu","[""file:///C:\\Annotation\\TMF\\TMF0002.mp4""]",14.852,15.512,"{""BalletSteps"":""9""}"
"3_amu8Qcm6","[""file:///C:\\Annotation\\TMF\\TMF0002.mp4""]",18.182,18.842,"{""BalletSteps"":""0""}"
"3_z8GWTbFm","[""file:///C:\\Annotation\\TMF\\TMF0002.mp4""]",33.733,34.133,"{""BalletSteps"":""9""}"
"3_h3Lgec75","[""file:///C:\\Annotation\\TMF\\TMF0002.mp4""]",34.133,34.873,"{""BalletSteps"":""9""}"
"3_hYvhSr4I","[""file:///C:\\Annotation\\TMF\\TMF0002.mp4""]",41.002,43.342,"{""BalletSteps"":""19""}"
"3_olo95lRN","[""file:///C:\\Annotation\\TMF\\TMF0002.mp4""]",42.162,42.782,"{""BalletSteps"":""12""}"
"3_dYl3SILj","[""file:///C:\\Annotation\\TMF\\TMF0002.mp4""]",44.687,45.127,"{""BalletSteps"":""1""}"
"3_tB0KGm2M","[""file:///C:\\Annotation\\TMF\\TMF0002.mp4""]",48.072,48.612,"{""BalletSteps"":""0""}"
"3_8Y9JBpgc","[""file:///C:\\Annotation\\TMF\\TMF0002.mp4""]",50.752,52.512,"{""BalletSteps"":""19""}"
"3_HRX0fmTH","[""file:///C:\\Annotation\\TMF\\TMF0002.mp4""]",51.412,52.012,"{""BalletSteps"":""12""}"
"3_cCsE8zxU","[""file:///C:\\Annotation\\TMF\\TMF0002.mp4""]",53.741,54.341,"{""BalletSteps"":""1""}"
"3_GV5WcVqs","[""file:///C:\\Annotation\\TMF\\TMF0002.mp4""]",61.734,62.114,"{""BalletSteps"":""1""}"
