# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_dL3SjAiv","[""file:///C:\\Annotation\\TMM\\TMM0001.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_d773cXnq","[""file:///C:\\Annotation\\TMM\\TMM0001.mp4""]",1.905,2.765,"{""BalletSteps"":""14""}"
"1_H7uXUW92","[""file:///C:\\Annotation\\TMM\\TMM0001.mp4""]",5.871,6.391,"{""BalletSteps"":""15""}"
"1_XnOIi7V0","[""file:///C:\\Annotation\\TMM\\TMM0001.mp4""]",6.88,7.46,"{""BalletSteps"":""16""}"
"1_CQ6cexD0","[""file:///C:\\Annotation\\TMM\\TMM0001.mp4""]",7.986,8.646,"{""BalletSteps"":""15""}"
"1_cGTXQXkk","[""file:///C:\\Annotation\\TMM\\TMM0001.mp4""]",18.183,18.743,"{""BalletSteps"":""8""}"
"1_p7lBzGwb","[""file:///C:\\Annotation\\TMM\\TMM0001.mp4""]",18.743,19.343,"{""BalletSteps"":""8""}"
"1_Hlxaov4V","[""file:///C:\\Annotation\\TMM\\TMM0001.mp4""]",19.343,20.003,"{""BalletSteps"":""8""}"
"1_UFrzl3et","[""file:///C:\\Annotation\\TMM\\TMM0001.mp4""]",20.003,20.643,"{""BalletSteps"":""8""}"
"1_EB3XtgmG","[""file:///C:\\Annotation\\TMM\\TMM0001.mp4""]",20.643,21.343,"{""BalletSteps"":""8""}"
"1_QQYC52jN","[""file:///C:\\Annotation\\TMM\\TMM0001.mp4""]",21.343,21.803,"{""BalletSteps"":""8""}"
"1_bSb7dpf8","[""file:///C:\\Annotation\\TMM\\TMM0001.mp4""]",21.803,22.243,"{""BalletSteps"":""8""}"
"1_uMINBDyc","[""file:///C:\\Annotation\\TMM\\TMM0001.mp4""]",22.243,22.683,"{""BalletSteps"":""8""}"
"1_9JR8nI0n","[""file:///C:\\Annotation\\TMM\\TMM0001.mp4""]",22.683,23.163,"{""BalletSteps"":""8""}"
"1_fhCI8U6m","[""file:///C:\\Annotation\\TMM\\TMM0001.mp4""]",23.163,24.243,"{""BalletSteps"":""8""}"
"1_YKw8XPXX","[""file:///C:\\Annotation\\TMM\\TMM0001.mp4""]",26.398,26.938,"{""BalletSteps"":""8""}"
