# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_K072euyO","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"1_FGH032oJ","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",10.162,10.722,"{""BalletSteps"":""2""}"
"1_fnt7L1kh","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",24.034,24.674,"{""BalletSteps"":""6""}"
"1_KehZXRmX","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",27.735,28.435,"{""BalletSteps"":""2""}"
"1_bAphGtYF","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",30.998,32.038,"{""BalletSteps"":""2""}"
"1_OEij4xve","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",34.457,35.277,"{""BalletSteps"":""2""}"
"1_fz7SGaFr","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",36.305,38.205,"{""BalletSteps"":""2""}"
"1_fIYD0Z5H","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",39.151,39.451,"{""BalletSteps"":""0""}"
"1_QmXUDJpc","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",40.614,40.914,"{""BalletSteps"":""0""}"
"1_GWA2AVhQ","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",41.343,41.763,"{""BalletSteps"":""9""}"
"1_j33iXCiz","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",39.891,40.291,"{""BalletSteps"":""9""}"
"1_SR3GLkJL","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",42.129,42.389,"{""BalletSteps"":""0""}"
"1_vVa53utW","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",42.852,43.352,"{""BalletSteps"":""9""}"
"1_j1ayCp0W","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",43.631,43.911,"{""BalletSteps"":""0""}"
"1_5o8F2MZX","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",44.359,44.819,"{""BalletSteps"":""9""}"
"1_3Oxae7In","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",55.936,56.596,"{""BalletSteps"":""6""}"
"1_ZMlrKAL9","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",75.513,76.413,"{""BalletSteps"":""8""}"
"1_wCTrJNeH","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",76.413,77.373,"{""BalletSteps"":""8""}"
"1_aYX0N9qk","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",78.749,79.509,"{""BalletSteps"":""8""}"
"1_y5OUi2v4","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",78.749,83.369,"{""BalletSteps"":""19""}"
"1_AMnXhUCX","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",79.509,80.329,"{""BalletSteps"":""8""}"
"1_Bx2LnNi4","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",81.657,82.457,"{""BalletSteps"":""8""}"
"1_UpHY1uyE","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",82.457,83.357,"{""BalletSteps"":""8""}"
"1_bKCXyQ6c","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",88.596,89.456,"{""BalletSteps"":""9""}"
"1_giZRP0Vb","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",90.228,90.888,"{""BalletSteps"":""9""}"
"1_4jqPwcXi","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",91.79,92.49,"{""BalletSteps"":""9""}"
"1_zKimI9CW","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",93.295,94.015,"{""BalletSteps"":""9""}"
"1_TVmoqXSx","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",94.793,95.493,"{""BalletSteps"":""9""}"
"1_l2XmVmCU","[""file:///C:\\Annotation\\WAL\\WAL0000.mp4""]",96.381,97.161,"{""BalletSteps"":""9""}"
"2_ugUngiSS","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"2_22va9P0o","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",13.12,13.8,"{""BalletSteps"":""6""}"
"2_i2z8FZI8","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",11.12,11.56,"{""BalletSteps"":""9""}"
"2_eetQFA9f","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",26.732,27.252,"{""BalletSteps"":""9""}"
"2_Uztirvlz","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",34.397,35.217,"{""BalletSteps"":""2""}"
"2_ceXZhMfD","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",38.195,39.035,"{""BalletSteps"":""2""}"
"2_cC80VqBw","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",41.944,42.364,"{""BalletSteps"":""2""}"
"2_WxoDmDjW","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",47.233,47.553,"{""BalletSteps"":""0""}"
"2_81tmrmdw","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",48.361,48.921,"{""BalletSteps"":""9""}"
"2_kvXrJZUm","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",49.286,49.666,"{""BalletSteps"":""0""}"
"2_W6SbfQif","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",50.304,50.884,"{""BalletSteps"":""9""}"
"2_nCRf9arL","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",51.195,51.575,"{""BalletSteps"":""0""}"
"2_aQcPXbGP","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",52.227,52.887,"{""BalletSteps"":""9""}"
"2_NO0wUgCg","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",53.153,53.513,"{""BalletSteps"":""0""}"
"2_oa58Os6D","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",54.227,54.907,"{""BalletSteps"":""9""}"
"2_FXeXAnc3","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",74.563,75.383,"{""BalletSteps"":""2""}"
"2_X5eoD9oP","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",78.083,78.403,"{""BalletSteps"":""9""}"
"2_MaV5d1VG","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",78.403,78.983,"{""BalletSteps"":""9""}"
"2_Pr8chhwG","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",80.961,81.341,"{""BalletSteps"":""9""}"
"2_JvwEOXxX","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",81.341,82.041,"{""BalletSteps"":""9""}"
"2_gei3KYhL","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",89.105,90.085,"{""BalletSteps"":""8""}"
"2_1X1pJgiJ","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",90.085,91.065,"{""BalletSteps"":""8""}"
"2_wNVfmX6K","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",89.105,95.845,"{""BalletSteps"":""19""}"
"2_nt7NwtA9","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",91.065,91.985,"{""BalletSteps"":""8""}"
"2_Tot3ykit","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",91.985,92.865,"{""BalletSteps"":""8""}"
"2_OYvewUwA","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",92.865,93.745,"{""BalletSteps"":""8""}"
"2_L9e9uhUr","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",93.745,94.705,"{""BalletSteps"":""8""}"
"2_JrYJam9Y","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",94.705,95.845,"{""BalletSteps"":""8""}"
"2_bTv2Dnfn","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",100.298,101.638,"{""BalletSteps"":""2""}"
"2_oXybmWoT","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",103.189,104.049,"{""BalletSteps"":""9""}"
"2_VhALxn0p","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",104.049,105.109,"{""BalletSteps"":""9""}"
"2_woJbtwRE","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",105.109,106.049,"{""BalletSteps"":""9""}"
"2_Xr2yLuRl","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",106.049,106.989,"{""BalletSteps"":""9""}"
"2_6wXlifdY","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",106.989,107.929,"{""BalletSteps"":""9""}"
"2_gJw1Gm7x","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",107.929,108.889,"{""BalletSteps"":""9""}"
"2_VuQR2fWd","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",108.889,109.829,"{""BalletSteps"":""9""}"
"2_XQOqhj5j","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",109.829,110.769,"{""BalletSteps"":""9""}"
"2_X84RzIB0","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",112.342,113.422,"{""BalletSteps"":""2""}"
"2_Up4xUX5X","[""file:///C:\\Annotation\\WAL\\WAL0001.mp4""]",115.788,116.448,"{""BalletSteps"":""6""}"
"3_tX9NRzm5","[""file:///C:\\Annotation\\WAL\\WAL0002.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"3_BegLwe3R","[""file:///C:\\Annotation\\WAL\\WAL0002.mp4""]",10.65,11.27,"{""BalletSteps"":""2""}"
"3_5WQJrWkn","[""file:///C:\\Annotation\\WAL\\WAL0002.mp4""]",15.485,16.365,"{""BalletSteps"":""8""}"
"3_ifV0Hoah","[""file:///C:\\Annotation\\WAL\\WAL0002.mp4""]",23.995,24.755,"{""BalletSteps"":""7""}"
"3_DQaKxE3c","[""file:///C:\\Annotation\\WAL\\WAL0002.mp4""]",27.965,28.605,"{""BalletSteps"":""2""}"
"3_wJ0vyfs8","[""file:///C:\\Annotation\\WAL\\WAL0002.mp4""]",31.265,32.305,"{""BalletSteps"":""2""}"
"3_vnOgzqNu","[""file:///C:\\Annotation\\WAL\\WAL0002.mp4""]",34.663,37.843,"{""BalletSteps"":""2""}"
"3_KVnnGBIF","[""file:///C:\\Annotation\\WAL\\WAL0002.mp4""]",39.782,40.062,"{""BalletSteps"":""1""}"
"3_TvGxnrLG","[""file:///C:\\Annotation\\WAL\\WAL0002.mp4""]",40.657,41.437,"{""BalletSteps"":""8""}"
"3_E9UZbA7r","[""file:///C:\\Annotation\\WAL\\WAL0002.mp4""]",41.606,41.866,"{""BalletSteps"":""1""}"
"3_1zr2QCXz","[""file:///C:\\Annotation\\WAL\\WAL0002.mp4""]",42.421,43.141,"{""BalletSteps"":""8""}"
"3_h2Xm5npx","[""file:///C:\\Annotation\\WAL\\WAL0002.mp4""]",43.301,43.581,"{""BalletSteps"":""1""}"
"3_XafIXPdn","[""file:///C:\\Annotation\\WAL\\WAL0002.mp4""]",44.067,44.787,"{""BalletSteps"":""8""}"
